1,河野 真也,河野 真也.1,2,芦澤 望,芦澤 望.1,3,前沢 丈史,前沢 丈史.1,4,尾崎 雄二,尾崎 雄二.1,5,井上 忠政,井上 忠政.1,6,池田　奈津美,池田　奈津美.1
2.0,3.0,12.7,1.0,3.0,32.4,1.0,2.0,48.4,1.0,2.0,261.1,1.0,2.0,34.0,1.0,2.0,832.3
2.0,4.0,31.1,1.0,4.0,60.8,1.0,4.0,67.8,1.0,3.0,245.0,1.0,3.0,31.6,1.0,3.0,757.7
2.0,5.0,11.0,1.0,5.0,26.8,1.0,5.0,28.6,1.0,5.0,161.6,1.0,4.0,81.3,1.0,4.0,1113.0
2.0,6.0,118.1,1.0,6.0,193.2,1.0,6.0,150.8,1.0,6.0,487.6,1.0,6.0,97.6,1.0,5.0,642.5
3.0,2.0,16.3,3.0,1.0,78.5,2.0,1.0,93.6,2.0,1.0,420.9,2.0,1.0,56.0,2.0,1.0,1109.0
3.0,4.0,37.1,3.0,4.0,182.6,2.0,4.0,179.9,2.0,3.0,566.3,2.0,3.0,64.2,2.0,3.0,1439.0
3.0,5.0,11.8,3.0,5.0,65.5,2.0,5.0,76.1,2.0,5.0,313.9,2.0,4.0,148.1,2.0,4.0,2126.0
3.0,6.0,111.0,3.0,6.0,381.5,2.0,6.0,322.2,2.0,6.0,898.1,2.0,6.0,174.3,2.0,5.0,1030.0
4.0,2.0,63.3,4.0,1.0,214.0,4.0,1.0,126.9,3.0,1.0,290.9,3.0,1.0,49.5,3.0,1.0,1008.0
4.0,3.0,67.6,4.0,3.0,340.5,4.0,2.0,214.5,3.0,2.0,523.2,3.0,2.0,68.3,3.0,2.0,1639.0
4.0,5.0,57.3,4.0,5.0,201.1,4.0,5.0,96.2,3.0,5.0,194.2,3.0,4.0,130.9,3.0,4.0,1938.0
4.0,6.0,190.7,4.0,6.0,749.1,4.0,6.0,325.7,3.0,6.0,657.9,3.0,6.0,164.8,3.0,5.0,1001.0
5.0,2.0,15.0,5.0,1.0,51.1,5.0,1.0,38.8,5.0,1.0,145.2,4.0,1.0,149.8,4.0,1.0,1664.0
5.0,3.0,14.6,5.0,3.0,60.2,5.0,2.0,53.0,5.0,2.0,202.5,4.0,2.0,188.2,4.0,2.0,2126.0
5.0,4.0,40.1,5.0,4.0,136.1,5.0,4.0,72.0,5.0,3.0,163.0,4.0,3.0,171.6,4.0,3.0,2154.0
5.0,6.0,67.3,5.0,6.0,204.8,5.0,6.0,112.2,5.0,6.0,280.7,4.0,6.0,278.8,4.0,5.0,1781.0
6.0,2.0,281.4,6.0,1.0,587.5,6.0,1.0,403.4,6.0,1.0,900.6,6.0,1.0,205.2,5.0,1.0,551.2
6.0,3.0,265.8,6.0,3.0,874.3,6.0,2.0,567.3,6.0,2.0,1152.0,6.0,2.0,247.6,5.0,2.0,834.4
6.0,4.0,343.0,6.0,4.0,923.3,6.0,4.0,620.7,6.0,3.0,992.8,6.0,3.0,274.9,5.0,3.0,794.2
6.0,5.0,226.8,6.0,5.0,489.0,6.0,5.0,381.5,6.0,5.0,715.0,6.0,4.0,371.6,5.0,4.0,1144.0
