1,村松 栄太,村松 栄太.1,2,森清 友翔,森清 友翔.1,3,仲本 舜,仲本 舜.1,4,柳瀬 幹太,柳瀬 幹太.1,5,藤本 元輝,藤本 元輝.1,6,藤原 碧生,藤原 碧生.1
2.0,3.0,45.1,1.0,3.0,145.5,1.0,2.0,102.8,1.0,2.0,135.1,1.0,2.0,461.3,1.0,2.0,63.8
2.0,4.0,42.3,1.0,4.0,147.8,1.0,4.0,60.5,1.0,3.0,100.4,1.0,3.0,521.5,1.0,3.0,39.2
2.0,5.0,102.6,1.0,5.0,270.9,1.0,5.0,141.5,1.0,5.0,144.7,1.0,4.0,357.5,1.0,4.0,24.9
2.0,6.0,32.2,1.0,6.0,96.3,1.0,6.0,33.0,1.0,6.0,30.1,1.0,6.0,188.4,1.0,5.0,79.5
3.0,2.0,39.2,3.0,1.0,213.7,2.0,1.0,171.5,2.0,1.0,243.2,2.0,1.0,645.5,2.0,1.0,139.9
3.0,4.0,24.6,3.0,4.0,417.9,2.0,4.0,246.0,2.0,3.0,429.8,2.0,3.0,1051.0,2.0,3.0,197.5
3.0,5.0,67.8,3.0,5.0,641.2,2.0,5.0,464.5,2.0,5.0,427.0,2.0,4.0,843.0,2.0,4.0,159.7
3.0,6.0,16.0,3.0,6.0,205.0,2.0,6.0,131.0,2.0,6.0,148.8,2.0,6.0,465.7,2.0,5.0,370.4
4.0,2.0,46.4,4.0,1.0,229.3,4.0,1.0,92.6,3.0,1.0,152.2,3.0,1.0,658.5,3.0,1.0,71.2
4.0,3.0,32.5,4.0,3.0,478.2,4.0,2.0,242.3,3.0,2.0,437.5,3.0,2.0,1171.0,3.0,2.0,161.7
4.0,5.0,72.8,4.0,5.0,617.0,4.0,5.0,224.8,3.0,5.0,338.3,3.0,4.0,683.8,3.0,4.0,85.7
4.0,6.0,14.7,4.0,6.0,194.6,4.0,6.0,66.0,3.0,6.0,95.5,3.0,6.0,348.6,3.0,5.0,197.5
5.0,2.0,151.5,5.0,1.0,493.9,5.0,1.0,269.7,5.0,1.0,155.3,4.0,1.0,371.8,4.0,1.0,38.3
5.0,3.0,143.0,5.0,3.0,893.1,5.0,2.0,482.9,5.0,2.0,327.6,4.0,2.0,667.5,4.0,2.0,125.2
5.0,4.0,130.9,5.0,4.0,808.2,5.0,4.0,322.2,5.0,3.0,329.2,4.0,3.0,716.4,4.0,3.0,86.4
5.0,6.0,78.6,5.0,6.0,410.0,5.0,6.0,158.1,5.0,6.0,63.7,4.0,6.0,185.3,4.0,5.0,86.6
6.0,2.0,33.7,6.0,1.0,159.4,6.0,1.0,42.5,6.0,1.0,26.4,6.0,1.0,169.4,5.0,1.0,171.2
6.0,3.0,19.1,6.0,3.0,239.4,6.0,2.0,104.4,6.0,2.0,83.6,6.0,2.0,323.2,5.0,2.0,337.8
6.0,4.0,14.3,6.0,4.0,210.0,6.0,4.0,54.5,6.0,3.0,59.5,6.0,3.0,264.6,5.0,3.0,222.5
6.0,5.0,56.4,6.0,5.0,369.7,6.0,5.0,111.7,6.0,5.0,47.7,6.0,4.0,164.6,5.0,4.0,149.5
