1,森 竜也,森 竜也.1,2,佐藤　謙史朗,佐藤　謙史朗.1,3,牧原 崇,牧原 崇.1,4,関野 文,関野 文.1,5,大澤 大夢,大澤 大夢.1,6,出畑 孝典,出畑 孝典.1
2.0,3.0,20.4,1.0,3.0,34.2,1.0,2.0,54.8,1.0,2.0,115.3,1.0,2.0,871.5,1.0,2.0,221.8
2.0,4.0,22.8,1.0,4.0,40.8,1.0,4.0,43.3,1.0,3.0,98.0,1.0,3.0,577.7,1.0,3.0,161.3
2.0,5.0,83.1,1.0,5.0,128.0,1.0,5.0,123.9,1.0,5.0,208.1,1.0,4.0,820.2,1.0,4.0,218.1
2.0,6.0,31.5,1.0,6.0,36.8,1.0,6.0,34.3,1.0,6.0,75.2,1.0,6.0,515.6,1.0,5.0,544.9
3.0,2.0,19.0,3.0,1.0,59.0,2.0,1.0,77.2,2.0,1.0,153.3,2.0,1.0,1179.0,2.0,1.0,247.2
3.0,4.0,14.4,3.0,4.0,46.2,2.0,4.0,59.3,2.0,3.0,123.2,2.0,3.0,992.8,2.0,3.0,171.1
3.0,5.0,60.0,3.0,5.0,152.4,2.0,5.0,161.1,2.0,5.0,308.6,2.0,4.0,1039.0,2.0,4.0,181.7
3.0,6.0,17.6,3.0,6.0,38.4,2.0,6.0,46.1,2.0,6.0,90.7,2.0,6.0,755.6,2.0,5.0,525.3
4.0,2.0,37.3,4.0,1.0,73.3,4.0,1.0,63.8,3.0,1.0,110.7,3.0,1.0,886.6,3.0,1.0,204.2
4.0,3.0,26.9,4.0,3.0,59.5,4.0,2.0,64.7,3.0,2.0,117.0,3.0,2.0,1111.0,3.0,2.0,155.8
4.0,5.0,88.9,4.0,5.0,201.0,4.0,5.0,112.2,3.0,5.0,228.2,3.0,4.0,864.1,3.0,4.0,123.0
4.0,6.0,29.1,4.0,6.0,47.4,4.0,6.0,31.6,3.0,6.0,59.4,3.0,6.0,606.2,3.0,5.0,358.3
5.0,2.0,196.9,5.0,1.0,435.7,5.0,1.0,302.5,5.0,1.0,379.6,4.0,1.0,1140.0,4.0,1.0,274.4
5.0,3.0,159.7,5.0,3.0,338.2,5.0,2.0,296.9,5.0,2.0,387.3,4.0,2.0,1149.0,4.0,2.0,199.7
5.0,4.0,220.7,5.0,4.0,395.8,5.0,4.0,241.1,5.0,3.0,324.2,4.0,3.0,961.7,4.0,3.0,144.4
5.0,6.0,169.8,5.0,6.0,261.9,5.0,6.0,157.7,5.0,6.0,173.7,4.0,6.0,543.9,4.0,5.0,414.5
6.0,2.0,74.8,6.0,1.0,111.3,6.0,1.0,73.1,6.0,1.0,94.3,6.0,1.0,766.9,5.0,1.0,854.5
6.0,3.0,49.4,6.0,3.0,74.9,6.0,2.0,63.1,6.0,2.0,86.1,6.0,2.0,1009.0,5.0,2.0,713.4
6.0,4.0,69.3,6.0,4.0,78.0,6.0,4.0,50.4,6.0,3.0,61.8,6.0,3.0,716.7,5.0,3.0,548.8
6.0,5.0,196.5,6.0,5.0,266.7,6.0,5.0,126.5,6.0,5.0,151.2,6.0,4.0,655.5,5.0,4.0,567.0
