1,野田部　宏子,野田部　宏子.1,2,原 加央理,原 加央理.1,3,細川 裕子,細川 裕子.1,4,水口 由紀,水口 由紀.1,5,廣中　智紗衣,廣中　智紗衣.1,6,武藤 綾子,武藤 綾子.1
2.0,3.0,13.2,1.0,3.0,25.7,1.0,2.0,21.5,1.0,2.0,557.2,1.0,2.0,115.7,1.0,2.0,1028.0
2.0,4.0,54.3,1.0,4.0,87.0,1.0,4.0,60.3,1.0,3.0,454.1,1.0,3.0,67.8,1.0,3.0,853.7
2.0,5.0,24.1,1.0,5.0,35.1,1.0,5.0,13.7,1.0,5.0,542.2,1.0,4.0,330.5,1.0,4.0,1940.0
2.0,6.0,87.0,1.0,6.0,149.7,1.0,6.0,66.1,1.0,6.0,865.3,1.0,6.0,193.9,1.0,5.0,1191.0
3.0,2.0,11.0,3.0,1.0,32.3,2.0,1.0,36.8,2.0,1.0,686.5,2.0,1.0,157.3,2.0,1.0,1321.0
3.0,4.0,30.3,3.0,4.0,80.3,2.0,4.0,79.2,2.0,3.0,586.0,2.0,3.0,117.3,2.0,3.0,1354.0
3.0,5.0,8.3,3.0,5.0,27.1,2.0,5.0,26.0,2.0,5.0,631.1,2.0,4.0,398.4,2.0,4.0,2250.0
3.0,6.0,37.3,3.0,6.0,120.1,2.0,6.0,110.6,2.0,6.0,1132.0,2.0,6.0,299.2,2.0,5.0,1280.0
4.0,2.0,115.2,4.0,1.0,236.3,4.0,1.0,144.6,3.0,1.0,500.6,3.0,1.0,73.5,3.0,1.0,997.7
4.0,3.0,78.0,4.0,3.0,194.9,4.0,2.0,146.1,3.0,2.0,574.5,3.0,2.0,97.2,3.0,2.0,1242.0
4.0,5.0,123.7,4.0,5.0,238.4,4.0,5.0,100.3,3.0,5.0,380.1,3.0,4.0,239.0,3.0,4.0,1669.0
4.0,6.0,235.8,4.0,6.0,522.1,4.0,6.0,260.9,3.0,6.0,925.5,3.0,6.0,187.1,3.0,5.0,841.5
5.0,2.0,36.5,5.0,1.0,69.8,5.0,1.0,24.5,5.0,1.0,676.6,4.0,1.0,693.9,4.0,1.0,2387.0
5.0,3.0,20.5,5.0,3.0,50.2,5.0,2.0,31.9,5.0,2.0,692.6,4.0,2.0,652.8,4.0,2.0,2542.0
5.0,4.0,124.8,5.0,4.0,191.9,5.0,4.0,75.2,5.0,3.0,512.6,4.0,3.0,467.7,4.0,3.0,2180.0
5.0,6.0,81.9,5.0,6.0,186.9,5.0,6.0,69.3,5.0,6.0,954.4,4.0,6.0,881.5,4.0,5.0,2542.0
6.0,2.0,263.5,6.0,1.0,525.6,6.0,1.0,189.6,6.0,1.0,1346.0,6.0,1.0,377.2,5.0,1.0,1134.0
6.0,3.0,177.4,6.0,3.0,442.4,6.0,2.0,261.0,6.0,2.0,1586.0,6.0,2.0,415.3,5.0,2.0,1134.0
6.0,4.0,440.7,6.0,4.0,941.6,6.0,4.0,344.7,6.0,3.0,1389.0,6.0,3.0,337.3,5.0,3.0,801.3
6.0,5.0,228.1,6.0,5.0,457.0,6.0,5.0,161.8,6.0,5.0,1649.0,6.0,4.0,889.3,5.0,4.0,2029.0
