1,野田部　宏子,野田部　宏子.1,2,大庭 元明,大庭 元明.1,3,戸敷 晃美,戸敷 晃美.1,4,沖島 広和,沖島 広和.1,5,前田 将太,前田 将太.1,6,岩崎 正哉,岩崎 正哉.1
2.0,3.0,42.5,1.0,3.0,91.0,1.0,2.0,132.8,1.0,2.0,208.4,1.0,2.0,46.1,1.0,2.0,1151.0
2.0,4.0,48.9,1.0,4.0,90.9,1.0,4.0,79.1,1.0,3.0,154.8,1.0,3.0,27.5,1.0,3.0,1406.0
2.0,5.0,29.4,1.0,5.0,55.4,1.0,5.0,40.1,1.0,5.0,72.2,1.0,4.0,42.1,1.0,4.0,1138.0
2.0,6.0,149.6,1.0,6.0,228.3,1.0,6.0,176.3,1.0,6.0,188.2,1.0,6.0,55.3,1.0,5.0,732.2
3.0,2.0,37.1,3.0,1.0,154.9,2.0,1.0,189.9,2.0,1.0,257.9,2.0,1.0,73.6,2.0,1.0,1164.0
3.0,4.0,31.4,3.0,4.0,186.8,2.0,4.0,150.5,2.0,3.0,366.1,2.0,3.0,84.3,2.0,3.0,2450.0
3.0,5.0,15.5,3.0,5.0,98.9,2.0,5.0,96.5,2.0,5.0,126.5,2.0,4.0,66.5,2.0,4.0,1235.0
3.0,6.0,90.3,3.0,6.0,376.1,2.0,6.0,291.9,2.0,6.0,295.0,2.0,6.0,85.9,2.0,5.0,803.9
4.0,2.0,59.8,4.0,1.0,173.8,4.0,1.0,125.0,3.0,1.0,205.6,3.0,1.0,37.9,3.0,1.0,1026.0
4.0,3.0,47.3,4.0,3.0,220.3,4.0,2.0,174.0,3.0,2.0,350.5,3.0,2.0,85.6,3.0,2.0,2374.0
4.0,5.0,27.2,4.0,5.0,103.9,4.0,5.0,62.4,3.0,5.0,100.4,3.0,4.0,52.8,3.0,4.0,1808.0
4.0,6.0,95.2,4.0,6.0,257.1,4.0,6.0,151.7,3.0,6.0,255.5,3.0,6.0,67.0,3.0,5.0,915.3
5.0,2.0,28.8,5.0,1.0,64.5,5.0,1.0,40.7,5.0,1.0,59.4,4.0,1.0,56.6,4.0,1.0,937.9
5.0,3.0,15.9,5.0,3.0,89.9,5.0,2.0,76.7,5.0,2.0,88.6,4.0,2.0,63.8,4.0,2.0,1040.0
5.0,4.0,24.7,5.0,4.0,77.3,5.0,4.0,43.8,5.0,3.0,74.9,4.0,3.0,60.0,4.0,3.0,1591.0
5.0,6.0,50.7,5.0,6.0,123.5,5.0,6.0,70.0,5.0,6.0,49.4,4.0,6.0,42.4,4.0,5.0,306.3
6.0,2.0,399.8,6.0,1.0,585.5,6.0,1.0,459.7,6.0,1.0,321.5,6.0,1.0,89.4,5.0,1.0,543.6
6.0,3.0,305.4,6.0,3.0,841.8,6.0,2.0,606.5,6.0,2.0,429.2,6.0,2.0,114.2,5.0,2.0,645.2
6.0,4.0,329.6,6.0,4.0,564.8,6.0,4.0,373.7,6.0,3.0,444.9,6.0,3.0,107.8,5.0,3.0,735.8
6.0,5.0,191.3,6.0,5.0,360.0,6.0,5.0,232.8,6.0,5.0,130.7,6.0,4.0,71.2,5.0,4.0,280.3
