first,second,third,odds
3,1,1642,2.0
5,1026,4,3167.0
4,1,1476,3.0
5,1460,4,3370.0
5,1,1800,4.0
6,1,2527,5.0
4,1077,3,3370.0
5,1173,4,1904.0
