1,田中 孝明,田中 孝明.1,2,渡辺 浩司,渡辺 浩司.1,3,山田 丈,山田 丈.1,4,富田 恕生,富田 恕生.1,5,小川　日紀太,小川　日紀太.1,6,村上 彰一,村上 彰一.1
2.0,3.0,17.1,1.0,3.0,9.5,1.0,2.0,41.9,1.0,2.0,95.4,1.0,2.0,299.2,1.0,2.0,955.2
2.0,4.0,28.2,1.0,4.0,13.9,1.0,4.0,57.0,1.0,3.0,167.2,1.0,3.0,455.7,1.0,3.0,1795.0
2.0,5.0,58.9,1.0,5.0,32.9,1.0,5.0,94.3,1.0,5.0,229.6,1.0,4.0,461.3,1.0,4.0,1935.0
2.0,6.0,115.0,1.0,6.0,55.6,1.0,6.0,182.3,1.0,6.0,340.2,1.0,6.0,730.4,1.0,5.0,2483.0
3.0,2.0,27.0,3.0,1.0,11.5,2.0,1.0,29.7,2.0,1.0,79.4,2.0,1.0,271.9,2.0,1.0,1128.0
3.0,4.0,44.8,3.0,4.0,11.3,2.0,4.0,24.3,2.0,3.0,69.3,2.0,3.0,220.7,2.0,3.0,723.4
3.0,5.0,76.2,3.0,5.0,22.6,2.0,5.0,39.9,2.0,5.0,107.7,2.0,4.0,219.1,2.0,4.0,780.2
3.0,6.0,172.8,3.0,6.0,47.1,2.0,6.0,74.4,2.0,6.0,141.7,2.0,6.0,382.1,2.0,5.0,1192.0
4.0,2.0,65.3,4.0,1.0,30.0,4.0,1.0,77.5,3.0,1.0,168.5,3.0,1.0,482.2,3.0,1.0,1505.0
4.0,3.0,86.0,4.0,3.0,22.7,4.0,2.0,45.9,3.0,2.0,85.1,3.0,2.0,256.0,3.0,2.0,851.5
4.0,5.0,165.2,4.0,5.0,59.0,4.0,5.0,90.6,3.0,5.0,192.2,3.0,4.0,486.9,3.0,4.0,1552.0
4.0,6.0,276.4,4.0,6.0,73.3,4.0,6.0,160.2,3.0,6.0,275.4,3.0,6.0,551.9,3.0,5.0,1432.0
5.0,2.0,200.2,5.0,1.0,90.5,5.0,1.0,168.1,5.0,1.0,227.8,4.0,1.0,468.6,4.0,1.0,1674.0
5.0,3.0,220.4,5.0,3.0,69.4,5.0,2.0,102.4,5.0,2.0,151.1,4.0,2.0,258.7,4.0,2.0,871.4
5.0,4.0,292.7,5.0,4.0,89.3,5.0,4.0,150.6,5.0,3.0,265.1,4.0,3.0,479.1,4.0,3.0,1585.0
5.0,6.0,645.1,5.0,6.0,161.4,5.0,6.0,255.1,5.0,6.0,302.2,4.0,6.0,568.7,4.0,5.0,1602.0
6.0,2.0,543.8,6.0,1.0,245.9,6.0,1.0,455.7,6.0,1.0,483.8,6.0,1.0,745.1,5.0,1.0,2069.0
6.0,3.0,801.1,6.0,3.0,197.1,6.0,2.0,255.1,6.0,2.0,281.1,6.0,2.0,515.6,5.0,2.0,1342.0
6.0,4.0,827.8,6.0,4.0,208.7,6.0,4.0,400.5,6.0,3.0,495.0,6.0,3.0,668.2,5.0,3.0,1460.0
6.0,5.0,1000.0,6.0,5.0,309.8,6.0,5.0,430.6,6.0,5.0,450.2,6.0,4.0,851.5,5.0,4.0,1774.0
