1,桑原 啓,桑原 啓.1,2,渡辺 史之,渡辺 史之.1,3,冨田 秀幸,冨田 秀幸.1,4,河合 三弘,河合 三弘.1,5,田中 豪,田中 豪.1,6,小林 甘寧,小林 甘寧.1
2.0,3.0,13.2,1.0,3.0,74.9,1.0,2.0,81.6,1.0,2.0,138.2,1.0,2.0,47.9,1.0,2.0,1249.0
2.0,4.0,21.2,1.0,4.0,98.3,1.0,4.0,65.5,1.0,3.0,89.3,1.0,3.0,36.0,1.0,3.0,1171.0
2.0,5.0,14.2,1.0,5.0,63.7,1.0,5.0,36.1,1.0,5.0,65.4,1.0,4.0,56.3,1.0,4.0,1696.0
2.0,6.0,227.3,1.0,6.0,471.7,1.0,6.0,387.9,1.0,6.0,469.7,1.0,6.0,164.9,1.0,5.0,1042.0
3.0,2.0,15.5,3.0,1.0,134.0,2.0,1.0,143.9,2.0,1.0,226.9,2.0,1.0,89.5,2.0,1.0,1647.0
3.0,4.0,14.2,3.0,4.0,223.3,2.0,4.0,180.4,2.0,3.0,246.0,2.0,3.0,133.9,2.0,3.0,2914.0
3.0,5.0,9.4,3.0,5.0,139.3,2.0,5.0,140.8,2.0,5.0,174.0,2.0,4.0,180.1,2.0,4.0,2368.0
3.0,6.0,216.1,3.0,6.0,1103.0,2.0,6.0,714.9,2.0,6.0,719.5,2.0,6.0,425.7,2.0,5.0,2583.0
4.0,2.0,29.6,4.0,1.0,211.6,4.0,1.0,111.5,3.0,1.0,126.4,3.0,1.0,64.9,3.0,1.0,2229.0
4.0,3.0,19.1,4.0,3.0,263.1,4.0,2.0,228.2,3.0,2.0,238.3,3.0,2.0,127.0,3.0,2.0,3552.0
4.0,5.0,19.8,4.0,5.0,192.6,4.0,5.0,75.9,3.0,5.0,87.0,3.0,4.0,111.2,3.0,4.0,2914.0
4.0,6.0,283.4,4.0,6.0,1125.0,4.0,6.0,835.8,3.0,6.0,867.7,3.0,6.0,442.3,3.0,5.0,2842.0
5.0,2.0,16.6,5.0,1.0,118.4,5.0,1.0,58.0,5.0,1.0,63.5,4.0,1.0,82.0,4.0,1.0,2105.0
5.0,3.0,13.2,5.0,3.0,168.9,5.0,2.0,109.7,5.0,2.0,108.5,4.0,2.0,135.8,4.0,2.0,2706.0
5.0,4.0,23.2,5.0,4.0,177.3,5.0,4.0,84.3,5.0,3.0,64.8,4.0,3.0,90.7,4.0,3.0,3667.0
5.0,6.0,123.5,5.0,6.0,697.4,5.0,6.0,430.6,5.0,6.0,270.0,4.0,6.0,316.6,4.0,5.0,1722.0
6.0,2.0,672.6,6.0,1.0,1601.0,6.0,1.0,1321.0,6.0,1.0,902.2,6.0,1.0,435.5,5.0,1.0,916.7
6.0,3.0,710.5,6.0,3.0,2105.0,6.0,2.0,1557.0,6.0,2.0,1249.0,6.0,2.0,653.3,5.0,2.0,1722.0
6.0,4.0,701.7,6.0,4.0,1863.0,6.0,4.0,2144.0,6.0,3.0,1515.0,6.0,3.0,638.6,5.0,3.0,1776.0
6.0,5.0,462.1,6.0,5.0,1515.0,6.0,5.0,1421.0,6.0,5.0,867.7,6.0,4.0,601.4,5.0,4.0,1052.0
