1,木場 悠介,木場 悠介.1,2,吉田 俊彦,吉田 俊彦.1,3,貫地谷　直人,貫地谷　直人.1,4,魚谷 香織,魚谷 香織.1,5,木村 光宏,木村 光宏.1,6,重富 伸也,重富 伸也.1
2.0,3.0,35.7,1.0,3.0,56.0,1.0,2.0,433.4,1.0,2.0,62.8,1.0,2.0,48.9,1.0,2.0,42.7
2.0,4.0,9.8,1.0,4.0,14.4,1.0,4.0,458.2,1.0,3.0,217.9,1.0,3.0,233.0,1.0,3.0,161.0
2.0,5.0,10.3,1.0,5.0,15.1,1.0,5.0,451.4,1.0,5.0,106.9,1.0,4.0,71.4,1.0,4.0,74.4
2.0,6.0,30.0,1.0,6.0,40.3,1.0,6.0,707.7,1.0,6.0,128.3,1.0,6.0,142.8,1.0,5.0,71.5
3.0,2.0,138.4,3.0,1.0,256.1,2.0,1.0,528.7,2.0,1.0,67.2,2.0,1.0,52.5,2.0,1.0,39.8
3.0,4.0,178.7,3.0,4.0,271.2,2.0,4.0,395.5,2.0,3.0,219.3,2.0,3.0,180.9,2.0,3.0,110.0
3.0,5.0,190.5,3.0,5.0,345.7,2.0,5.0,474.2,2.0,5.0,104.4,2.0,4.0,54.9,2.0,4.0,52.2
3.0,6.0,233.0,3.0,6.0,341.4,2.0,6.0,669.3,2.0,6.0,128.1,2.0,6.0,113.2,2.0,5.0,55.8
4.0,2.0,25.7,4.0,1.0,34.8,4.0,1.0,715.1,3.0,1.0,405.6,3.0,1.0,610.7,3.0,1.0,359.0
4.0,3.0,106.8,4.0,3.0,136.7,4.0,2.0,541.3,3.0,2.0,402.6,3.0,2.0,481.8,3.0,2.0,337.1
4.0,5.0,45.7,4.0,5.0,48.2,4.0,5.0,594.6,3.0,5.0,483.5,3.0,4.0,519.6,3.0,4.0,436.2
4.0,6.0,72.7,4.0,6.0,83.5,4.0,6.0,707.7,3.0,6.0,423.3,3.0,6.0,804.0,3.0,5.0,387.6
5.0,2.0,21.0,5.0,1.0,49.6,5.0,1.0,876.6,5.0,1.0,162.4,4.0,1.0,122.0,4.0,1.0,134.3
5.0,3.0,128.9,5.0,3.0,185.1,5.0,2.0,896.9,5.0,2.0,132.9,4.0,2.0,98.6,4.0,2.0,115.9
5.0,4.0,35.2,5.0,4.0,53.7,5.0,4.0,1006.0,5.0,3.0,368.7,4.0,3.0,304.6,4.0,3.0,297.3
5.0,6.0,75.3,5.0,6.0,111.6,5.0,6.0,813.6,5.0,6.0,202.3,4.0,6.0,196.0,4.0,5.0,174.2
6.0,2.0,65.0,6.0,1.0,104.5,6.0,1.0,950.2,6.0,1.0,210.0,6.0,1.0,226.6,5.0,1.0,108.4
6.0,3.0,263.3,6.0,3.0,335.9,6.0,2.0,873.8,6.0,2.0,195.5,6.0,2.0,166.1,5.0,2.0,97.6
6.0,4.0,109.4,6.0,4.0,127.1,6.0,4.0,1074.0,6.0,3.0,445.5,6.0,3.0,484.4,5.0,3.0,267.2
6.0,5.0,114.7,6.0,5.0,147.4,6.0,5.0,1069.0,6.0,5.0,267.4,6.0,4.0,202.0,5.0,4.0,155.9
