1,原田　才一郎,原田　才一郎.1,2,高橋 竜矢,高橋 竜矢.1,3,木谷 賢太,木谷 賢太.1,4,藤原 孝斗,藤原 孝斗.1,5,上瀧 絢也,上瀧 絢也.1,6,大森 翼,大森 翼.1
2.0,3.0,3.6,1.0,3.0,17.3,1.0,2.0,53.3,1.0,2.0,113.8,1.0,2.0,289.0,1.0,2.0,1229.0
2.0,4.0,7.0,1.0,4.0,30.6,1.0,4.0,97.5,1.0,3.0,180.4,1.0,3.0,440.1,1.0,3.0,1966.0
2.0,5.0,20.7,1.0,5.0,65.1,1.0,5.0,161.8,1.0,5.0,185.8,1.0,4.0,467.6,1.0,4.0,1539.0
2.0,6.0,38.4,1.0,6.0,109.5,1.0,6.0,273.4,1.0,6.0,260.7,1.0,6.0,811.3,1.0,5.0,1995.0
3.0,2.0,5.8,3.0,1.0,55.0,2.0,1.0,81.1,2.0,1.0,193.2,2.0,1.0,468.4,2.0,1.0,1870.0
3.0,4.0,11.1,3.0,4.0,131.9,2.0,4.0,189.8,2.0,3.0,364.0,2.0,3.0,787.6,2.0,3.0,2517.0
3.0,5.0,28.1,3.0,5.0,219.8,2.0,5.0,315.4,2.0,5.0,507.2,2.0,4.0,941.8,2.0,4.0,1980.0
3.0,6.0,54.1,3.0,6.0,380.4,2.0,6.0,450.4,2.0,6.0,595.9,2.0,6.0,1122.0,2.0,5.0,2835.0
4.0,2.0,17.7,4.0,1.0,123.9,4.0,1.0,247.8,3.0,1.0,369.4,3.0,1.0,874.5,3.0,1.0,2927.0
4.0,3.0,25.2,4.0,3.0,236.0,4.0,2.0,337.9,3.0,2.0,487.0,3.0,2.0,975.9,3.0,2.0,2693.0
4.0,5.0,55.1,4.0,5.0,438.6,4.0,5.0,670.0,3.0,5.0,785.3,3.0,4.0,1207.0,3.0,4.0,3096.0
4.0,6.0,82.0,4.0,6.0,517.0,4.0,6.0,855.1,3.0,6.0,891.9,3.0,6.0,2120.0,3.0,5.0,3409.0
5.0,2.0,65.5,5.0,1.0,250.5,5.0,1.0,581.7,5.0,1.0,303.3,4.0,1.0,601.2,4.0,1.0,1603.0
5.0,3.0,87.3,5.0,3.0,344.0,5.0,2.0,487.0,5.0,2.0,459.6,4.0,2.0,925.6,4.0,2.0,1910.0
5.0,4.0,109.9,5.0,4.0,574.3,5.0,4.0,701.4,5.0,3.0,752.4,4.0,3.0,1186.0,4.0,3.0,3640.0
5.0,6.0,238.7,5.0,6.0,833.9,5.0,6.0,1241.0,5.0,6.0,645.9,4.0,6.0,1346.0,4.0,5.0,3168.0
6.0,2.0,191.8,6.0,1.0,642.8,6.0,1.0,951.8,6.0,1.0,765.2,6.0,1.0,1951.0,5.0,1.0,2517.0
6.0,3.0,243.7,6.0,3.0,925.6,6.0,2.0,1252.0,6.0,2.0,1008.0,6.0,2.0,2615.0,5.0,2.0,3689.0
6.0,4.0,255.8,6.0,4.0,919.3,6.0,4.0,1131.0,6.0,3.0,1402.0,6.0,3.0,2383.0,5.0,3.0,4275.0
6.0,5.0,398.4,6.0,5.0,1176.0,6.0,5.0,1488.0,6.0,5.0,1264.0,6.0,4.0,1966.0,5.0,4.0,2992.0
