1,松田　大志郎,松田　大志郎.1,2,仲谷 颯仁,仲谷 颯仁.1,3,末永 由楽,末永 由楽.1,4,大庭 元明,大庭 元明.1,5,今井 貴士,今井 貴士.1,6,藤井 公人,藤井 公人.1
2.0,3.0,4.7,1.0,3.0,34.3,1.0,2.0,65.2,1.0,2.0,266.3,1.0,2.0,80.7,1.0,2.0,1016.0
2.0,4.0,7.7,1.0,4.0,55.6,1.0,4.0,81.9,1.0,3.0,306.0,1.0,3.0,102.5,1.0,3.0,1452.0
2.0,5.0,8.0,1.0,5.0,42.8,1.0,5.0,64.8,1.0,5.0,304.0,1.0,4.0,214.0,1.0,4.0,1860.0
2.0,6.0,48.8,1.0,6.0,222.6,1.0,6.0,262.0,1.0,6.0,648.2,1.0,6.0,280.4,1.0,5.0,1663.0
3.0,2.0,9.0,3.0,1.0,99.5,2.0,1.0,130.9,2.0,1.0,390.2,2.0,1.0,157.2,2.0,1.0,1099.0
3.0,4.0,13.9,3.0,4.0,282.5,2.0,4.0,364.8,2.0,3.0,933.8,2.0,3.0,309.2,2.0,3.0,3137.0
3.0,5.0,13.9,3.0,5.0,198.5,2.0,5.0,254.5,2.0,5.0,757.8,2.0,4.0,561.6,2.0,4.0,3592.0
3.0,6.0,66.4,3.0,6.0,833.0,2.0,6.0,765.2,2.0,6.0,1461.0,2.0,6.0,691.1,2.0,5.0,3201.0
4.0,2.0,18.1,4.0,1.0,231.8,4.0,1.0,238.7,3.0,1.0,474.9,3.0,1.0,210.4,3.0,1.0,1448.0
4.0,3.0,28.0,4.0,3.0,524.6,4.0,2.0,514.3,3.0,2.0,1164.0,3.0,2.0,408.5,3.0,2.0,3137.0
4.0,5.0,38.2,4.0,5.0,448.6,4.0,5.0,482.7,3.0,5.0,1052.0,3.0,4.0,833.0,3.0,4.0,2704.0
4.0,6.0,95.1,4.0,6.0,1064.0,4.0,6.0,999.2,3.0,6.0,2073.0,3.0,6.0,1344.0,3.0,5.0,3676.0
5.0,2.0,17.6,5.0,1.0,144.5,5.0,1.0,179.2,5.0,1.0,411.4,4.0,1.0,454.7,4.0,1.0,2544.0
5.0,3.0,24.0,5.0,3.0,270.4,5.0,2.0,321.6,5.0,2.0,661.9,4.0,2.0,672.3,4.0,2.0,4202.0
5.0,4.0,51.0,5.0,4.0,473.9,5.0,4.0,525.8,5.0,3.0,899.8,4.0,3.0,901.6,4.0,3.0,3512.0
5.0,6.0,96.5,5.0,6.0,873.1,5.0,6.0,1018.0,5.0,6.0,995.0,4.0,6.0,1052.0,4.0,5.0,3116.0
6.0,2.0,204.9,6.0,1.0,970.4,6.0,1.0,898.1,6.0,1.0,1278.0,6.0,1.0,699.3,5.0,1.0,1475.0
6.0,3.0,248.1,6.0,3.0,1897.0,6.0,2.0,1952.0,6.0,2.0,2189.0,6.0,2.0,972.4,5.0,2.0,2199.0
6.0,4.0,339.3,6.0,4.0,1944.0,6.0,4.0,1913.0,6.0,3.0,2413.0,6.0,3.0,1558.0,5.0,3.0,4202.0
6.0,5.0,280.9,6.0,5.0,1494.0,6.0,5.0,2251.0,6.0,5.0,1936.0,6.0,4.0,1439.0,5.0,4.0,2978.0
