1,柴田 大輔,柴田 大輔.1,2,鳥飼 眞,鳥飼 眞.1,3,屋良 龍紀,屋良 龍紀.1,4,吉本 玲緒,吉本 玲緒.1,5,泉 具巳,泉 具巳.1,6,竹上 真司,竹上 真司.1
2.0,3.0,13.9,1.0,3.0,28.0,1.0,2.0,132.6,1.0,2.0,374.2,1.0,2.0,26.0,1.0,2.0,210.6
2.0,4.0,38.1,1.0,4.0,60.9,1.0,4.0,307.6,1.0,3.0,604.1,1.0,3.0,99.4,1.0,3.0,615.2
2.0,5.0,7.2,1.0,5.0,11.6,1.0,5.0,126.3,1.0,5.0,332.0,1.0,4.0,145.3,1.0,4.0,1166.0
2.0,6.0,17.3,1.0,6.0,18.2,1.0,6.0,215.2,1.0,6.0,530.6,1.0,6.0,37.3,1.0,5.0,226.9
3.0,2.0,32.1,3.0,1.0,83.8,2.0,1.0,132.8,2.0,1.0,519.6,2.0,1.0,36.9,2.0,1.0,241.0
3.0,4.0,73.0,3.0,4.0,193.2,2.0,4.0,221.3,2.0,3.0,759.7,2.0,3.0,124.2,2.0,3.0,887.5
3.0,5.0,41.9,3.0,5.0,82.6,2.0,5.0,114.7,2.0,5.0,436.0,2.0,4.0,200.5,2.0,4.0,1013.0
3.0,6.0,100.3,3.0,6.0,153.5,2.0,6.0,203.8,2.0,6.0,777.4,2.0,6.0,40.4,2.0,5.0,208.5
4.0,2.0,100.8,4.0,1.0,228.9,4.0,1.0,479.8,3.0,1.0,842.7,3.0,1.0,198.5,3.0,1.0,887.5
4.0,3.0,125.3,4.0,3.0,321.4,4.0,2.0,569.8,3.0,2.0,737.4,3.0,2.0,208.9,3.0,2.0,815.3
4.0,5.0,109.6,4.0,5.0,220.4,4.0,5.0,477.5,3.0,5.0,808.7,3.0,4.0,607.8,3.0,4.0,1699.0
4.0,6.0,169.9,4.0,6.0,360.7,4.0,6.0,835.7,3.0,6.0,1355.0,3.0,6.0,302.0,3.0,5.0,808.7
5.0,2.0,12.5,5.0,1.0,24.9,5.0,1.0,169.9,5.0,1.0,315.3,4.0,1.0,302.9,4.0,1.0,1238.0
5.0,3.0,44.7,5.0,3.0,79.7,5.0,2.0,175.0,5.0,2.0,359.4,4.0,2.0,354.3,4.0,2.0,1090.0
5.0,4.0,95.6,5.0,4.0,145.5,5.0,4.0,374.2,5.0,3.0,686.9,4.0,3.0,642.8,4.0,3.0,1432.0
5.0,6.0,24.8,5.0,6.0,38.1,5.0,6.0,250.7,5.0,6.0,379.8,4.0,6.0,370.0,4.0,5.0,1238.0
6.0,2.0,66.9,6.0,1.0,91.0,6.0,1.0,491.6,6.0,1.0,946.1,6.0,1.0,53.8,5.0,1.0,201.3
6.0,3.0,181.3,6.0,3.0,248.2,6.0,2.0,449.7,6.0,2.0,928.6,6.0,2.0,50.4,5.0,2.0,175.3
6.0,4.0,298.4,6.0,4.0,426.7,6.0,4.0,1126.0,6.0,3.0,1253.0,6.0,3.0,189.9,5.0,3.0,579.7
6.0,5.0,68.8,6.0,5.0,84.4,6.0,5.0,522.3,6.0,5.0,795.9,6.0,4.0,284.9,5.0,4.0,983.2
