1,後藤 陽介,後藤 陽介.1,2,田中 孝明,田中 孝明.1,3,大田 直弥,大田 直弥.1,4,下河 誉史,下河 誉史.1,5,榎 幸司,榎 幸司.1,6,後藤 正宗,後藤 正宗.1
2.0,3.0,49.6,1.0,3.0,144.7,1.0,2.0,173.7,1.0,2.0,133.5,1.0,2.0,126.0,1.0,2.0,185.6
2.0,4.0,33.5,1.0,4.0,136.0,1.0,4.0,76.6,1.0,3.0,133.7,1.0,3.0,71.5,1.0,3.0,151.6
2.0,5.0,36.2,1.0,5.0,145.6,1.0,5.0,69.1,1.0,5.0,41.7,1.0,4.0,48.3,1.0,4.0,78.6
2.0,6.0,57.6,1.0,6.0,218.2,1.0,6.0,104.6,1.0,6.0,58.5,1.0,6.0,45.2,1.0,5.0,75.1
3.0,2.0,46.3,3.0,1.0,383.3,2.0,1.0,273.6,2.0,1.0,259.5,2.0,1.0,322.9,2.0,1.0,516.2
3.0,4.0,23.9,3.0,4.0,575.0,2.0,4.0,570.3,2.0,3.0,577.3,2.0,3.0,398.4,2.0,3.0,900.9
3.0,5.0,21.2,3.0,5.0,349.2,2.0,5.0,340.8,2.0,5.0,260.9,2.0,4.0,397.3,2.0,4.0,489.4
3.0,6.0,31.8,3.0,6.0,736.7,2.0,6.0,725.4,2.0,6.0,249.0,2.0,6.0,314.3,2.0,5.0,527.8
4.0,2.0,35.2,4.0,1.0,266.8,4.0,1.0,196.7,3.0,1.0,242.6,3.0,1.0,172.7,3.0,1.0,351.0
4.0,3.0,32.6,4.0,3.0,579.7,4.0,2.0,507.0,3.0,2.0,594.3,3.0,2.0,375.2,3.0,2.0,790.2
4.0,5.0,14.2,4.0,5.0,326.6,4.0,5.0,139.0,3.0,5.0,191.1,3.0,4.0,180.6,3.0,4.0,271.5
4.0,6.0,22.2,4.0,6.0,404.1,4.0,6.0,237.3,3.0,6.0,230.0,3.0,6.0,181.1,3.0,5.0,246.8
5.0,2.0,42.6,5.0,1.0,310.8,5.0,1.0,129.3,5.0,1.0,46.2,4.0,1.0,63.5,4.0,1.0,148.1
5.0,3.0,26.3,5.0,3.0,381.2,5.0,2.0,238.9,5.0,2.0,157.3,4.0,2.0,223.1,4.0,2.0,370.3
5.0,4.0,17.9,5.0,4.0,384.3,5.0,4.0,139.9,5.0,3.0,117.7,4.0,3.0,130.3,4.0,3.0,258.6
5.0,6.0,21.0,5.0,6.0,421.0,5.0,6.0,157.1,5.0,6.0,31.9,4.0,6.0,37.4,4.0,5.0,94.2
6.0,2.0,71.9,6.0,1.0,556.9,6.0,1.0,308.8,6.0,1.0,97.6,6.0,1.0,75.3,5.0,1.0,115.8
6.0,3.0,49.4,6.0,3.0,878.6,6.0,2.0,857.3,6.0,2.0,252.1,6.0,2.0,254.8,5.0,2.0,339.2
6.0,4.0,29.7,6.0,4.0,533.7,6.0,4.0,292.2,6.0,3.0,215.6,6.0,3.0,134.8,5.0,3.0,204.4
6.0,5.0,32.2,6.0,5.0,693.4,6.0,5.0,277.3,6.0,5.0,61.2,6.0,4.0,56.7,5.0,4.0,84.9
