1,黄金井　力良,黄金井　力良.1,2,渡邉 英児,渡邉 英児.1,3,黒田 剛,黒田 剛.1,4,上野　真之介,上野　真之介.1,5,豊田 泰洋,豊田 泰洋.1,6,待鳥 雄紀,待鳥 雄紀.1
2.0,3.0,76.2,1.0,3.0,150.6,1.0,2.0,165.0,1.0,2.0,13.6,1.0,2.0,755.2,1.0,2.0,362.1
2.0,4.0,23.0,1.0,4.0,45.4,1.0,4.0,81.6,1.0,3.0,40.6,1.0,3.0,1008.0,1.0,3.0,835.0
2.0,5.0,178.8,1.0,5.0,265.8,1.0,5.0,327.6,1.0,5.0,26.7,1.0,4.0,399.9,1.0,4.0,195.6
2.0,6.0,71.4,1.0,6.0,108.6,1.0,6.0,212.8,1.0,6.0,12.0,1.0,6.0,654.7,1.0,5.0,758.2
3.0,2.0,88.8,3.0,1.0,294.3,2.0,1.0,255.8,2.0,1.0,22.3,2.0,1.0,1013.0,2.0,1.0,483.5
3.0,4.0,51.0,3.0,4.0,284.2,2.0,4.0,219.6,2.0,3.0,81.6,2.0,3.0,1755.0,2.0,3.0,1019.0
3.0,5.0,246.1,3.0,5.0,896.2,2.0,5.0,739.0,2.0,5.0,47.5,2.0,4.0,577.0,2.0,4.0,224.8
3.0,6.0,155.3,3.0,6.0,522.9,2.0,6.0,425.0,2.0,6.0,20.7,2.0,6.0,810.0,2.0,5.0,904.8
4.0,2.0,14.9,4.0,1.0,51.3,4.0,1.0,78.3,3.0,1.0,69.4,3.0,1.0,1404.0,3.0,1.0,1177.0
4.0,3.0,33.7,4.0,3.0,155.6,4.0,2.0,140.7,3.0,2.0,111.9,3.0,2.0,1974.0,3.0,2.0,1238.0
4.0,5.0,45.3,4.0,5.0,151.8,4.0,5.0,152.4,3.0,5.0,99.9,3.0,4.0,1002.0,3.0,4.0,530.9
4.0,6.0,20.9,4.0,6.0,62.0,4.0,6.0,87.8,3.0,6.0,63.1,3.0,6.0,1486.0,3.0,5.0,1492.0
5.0,2.0,336.9,5.0,1.0,752.2,5.0,1.0,770.5,5.0,1.0,29.3,4.0,1.0,255.8,4.0,1.0,141.7
5.0,3.0,411.1,5.0,3.0,1155.0,5.0,2.0,974.6,5.0,2.0,36.5,4.0,2.0,314.1,4.0,2.0,147.0
5.0,4.0,172.4,5.0,4.0,477.4,5.0,4.0,456.2,5.0,3.0,78.8,4.0,3.0,536.2,4.0,3.0,354.9
5.0,6.0,304.0,5.0,6.0,643.6,5.0,6.0,700.7,5.0,6.0,18.5,4.0,6.0,134.4,4.0,5.0,160.2
6.0,2.0,147.4,6.0,1.0,289.6,6.0,1.0,433.7,6.0,1.0,16.6,6.0,1.0,786.5,5.0,1.0,1005.0
6.0,3.0,321.5,6.0,3.0,677.0,6.0,2.0,492.3,6.0,2.0,17.0,6.0,2.0,829.5,5.0,2.0,1061.0
6.0,4.0,75.2,6.0,4.0,152.0,6.0,4.0,259.6,6.0,3.0,63.5,6.0,3.0,1311.0,5.0,3.0,1560.0
6.0,5.0,301.8,6.0,5.0,500.8,6.0,5.0,708.6,6.0,5.0,19.8,6.0,4.0,213.7,5.0,4.0,243.1
