1,木下 翔太,木下 翔太.1,2,長谷川 充,長谷川 充.1,3,西橋 奈未,西橋 奈未.1,4,庄司　樹良々,庄司　樹良々.1,5,青木 蓮,青木 蓮.1,6,杉山 正樹,杉山 正樹.1
2.0,3.0,13.4,1.0,3.0,71.6,1.0,2.0,64.8,1.0,2.0,116.0,1.0,2.0,130.1,1.0,2.0,191.7
2.0,4.0,17.8,1.0,4.0,91.5,1.0,4.0,66.8,1.0,3.0,128.2,1.0,3.0,136.8,1.0,3.0,186.7
2.0,5.0,24.6,1.0,5.0,116.0,1.0,5.0,62.5,1.0,5.0,68.8,1.0,4.0,104.5,1.0,4.0,235.4
2.0,6.0,20.0,1.0,6.0,92.9,1.0,6.0,58.9,1.0,6.0,63.3,1.0,6.0,79.2,1.0,5.0,259.1
3.0,2.0,12.8,3.0,1.0,175.5,2.0,1.0,171.4,2.0,1.0,274.1,2.0,1.0,350.9,2.0,1.0,369.2
3.0,4.0,14.7,3.0,4.0,365.3,2.0,4.0,327.6,2.0,3.0,490.4,2.0,3.0,624.2,2.0,3.0,673.7
3.0,5.0,18.0,3.0,5.0,473.5,2.0,5.0,343.6,2.0,5.0,263.7,2.0,4.0,546.4,2.0,4.0,800.9
3.0,6.0,15.4,3.0,6.0,339.6,2.0,6.0,282.0,2.0,6.0,250.2,2.0,6.0,395.0,2.0,5.0,836.3
4.0,2.0,26.3,4.0,1.0,288.6,4.0,1.0,153.3,3.0,1.0,248.6,3.0,1.0,310.1,3.0,1.0,324.8
4.0,3.0,29.1,4.0,3.0,556.8,4.0,2.0,288.2,3.0,2.0,448.9,3.0,2.0,575.9,3.0,2.0,695.4
4.0,5.0,30.6,4.0,5.0,563.0,4.0,5.0,199.6,3.0,5.0,301.8,3.0,4.0,537.0,3.0,4.0,778.9
4.0,6.0,30.3,4.0,6.0,474.0,4.0,6.0,168.4,3.0,6.0,256.9,3.0,6.0,374.8,3.0,5.0,767.7
5.0,2.0,40.7,5.0,1.0,432.4,5.0,1.0,177.3,5.0,1.0,62.0,4.0,1.0,104.6,4.0,1.0,366.3
5.0,3.0,38.4,5.0,3.0,785.6,5.0,2.0,363.4,5.0,2.0,111.8,4.0,2.0,183.5,4.0,2.0,734.8
5.0,4.0,44.7,5.0,4.0,776.9,5.0,4.0,275.1,5.0,3.0,185.6,4.0,3.0,321.9,4.0,3.0,741.4
5.0,6.0,37.2,5.0,6.0,669.2,5.0,6.0,210.8,5.0,6.0,50.1,4.0,6.0,87.4,4.0,5.0,263.1
6.0,2.0,47.6,6.0,1.0,308.0,6.0,1.0,154.5,6.0,1.0,92.0,6.0,1.0,142.5,5.0,1.0,350.3
6.0,3.0,39.2,6.0,3.0,577.0,6.0,2.0,359.6,6.0,2.0,183.2,6.0,2.0,280.3,5.0,2.0,624.2
6.0,4.0,56.4,6.0,4.0,613.2,6.0,4.0,306.0,6.0,3.0,232.7,6.0,3.0,294.0,5.0,3.0,621.6
6.0,5.0,62.5,6.0,5.0,748.7,6.0,5.0,295.6,6.0,5.0,77.5,6.0,4.0,133.6,5.0,4.0,255.4
