1,竹田 辰也,竹田 辰也.1,2,高山 弘斗,高山 弘斗.1,3,市川 美宏,市川 美宏.1,4,岡部 浩,岡部 浩.1,5,池上 隆行,池上 隆行.1,6,水摩 敦,水摩 敦.1
2.0,3.0,40.0,1.0,3.0,404.3,1.0,2.0,306.4,1.0,2.0,309.6,1.0,2.0,852.0,1.0,2.0,101.2
2.0,4.0,41.2,1.0,4.0,458.2,1.0,4.0,104.9,1.0,3.0,200.9,1.0,3.0,405.7,1.0,3.0,50.5
2.0,5.0,64.0,1.0,5.0,694.0,1.0,5.0,161.7,1.0,5.0,189.1,1.0,4.0,445.9,1.0,4.0,47.2
2.0,6.0,30.7,1.0,6.0,335.8,1.0,6.0,84.5,1.0,6.0,100.1,1.0,6.0,256.8,1.0,5.0,88.7
3.0,2.0,28.3,3.0,1.0,732.2,2.0,1.0,764.1,2.0,1.0,666.3,2.0,1.0,1371.0,2.0,1.0,313.4
3.0,4.0,9.6,3.0,4.0,1233.0,2.0,4.0,1092.0,2.0,3.0,1224.0,2.0,3.0,2135.0,2.0,3.0,606.8
3.0,5.0,17.5,3.0,5.0,1393.0,2.0,5.0,1480.0,2.0,5.0,1423.0,2.0,4.0,2486.0,2.0,4.0,655.8
3.0,6.0,6.3,3.0,6.0,1095.0,2.0,6.0,1031.0,2.0,6.0,1028.0,2.0,6.0,1903.0,2.0,5.0,946.4
4.0,2.0,40.2,4.0,1.0,1095.0,4.0,1.0,251.2,3.0,1.0,382.0,3.0,1.0,760.6,3.0,1.0,159.1
4.0,3.0,15.2,4.0,3.0,1717.0,4.0,2.0,1037.0,3.0,2.0,1281.0,3.0,2.0,2467.0,3.0,2.0,576.4
4.0,5.0,28.3,4.0,5.0,2266.0,4.0,5.0,581.4,3.0,5.0,938.4,3.0,4.0,1708.0,3.0,4.0,256.2
4.0,6.0,11.0,4.0,6.0,1571.0,4.0,6.0,302.5,3.0,6.0,421.7,3.0,6.0,1207.0,3.0,5.0,538.2
5.0,2.0,87.0,5.0,1.0,1882.0,5.0,1.0,499.4,5.0,1.0,356.3,4.0,1.0,575.4,4.0,1.0,130.3
5.0,3.0,41.2,5.0,3.0,2974.0,5.0,2.0,1753.0,5.0,2.0,1177.0,4.0,2.0,2069.0,4.0,2.0,577.4
5.0,4.0,50.9,5.0,4.0,2665.0,5.0,4.0,1047.0,5.0,3.0,1021.0,4.0,3.0,1556.0,4.0,3.0,303.4
5.0,6.0,31.2,5.0,6.0,2665.0,5.0,6.0,691.2,5.0,6.0,333.4,4.0,6.0,704.3,4.0,5.0,339.6
6.0,2.0,28.1,6.0,1.0,523.0,6.0,1.0,170.4,6.0,1.0,148.2,6.0,1.0,348.4,5.0,1.0,285.2
6.0,3.0,7.5,6.0,3.0,962.8,6.0,2.0,841.3,6.0,2.0,694.0,6.0,2.0,1625.0,5.0,2.0,1064.0
6.0,4.0,10.7,6.0,4.0,1117.0,6.0,4.0,332.4,6.0,3.0,400.9,6.0,3.0,758.9,5.0,3.0,632.1
6.0,5.0,22.5,6.0,5.0,1393.0,6.0,5.0,482.1,6.0,5.0,292.5,6.0,4.0,667.6,5.0,4.0,464.6
