1,中谷 朋子,中谷 朋子.1,2,今井 美亜,今井 美亜.1,3,清水 愛海,清水 愛海.1,4,鈴木 成美,鈴木 成美.1,5,神里 琴音,神里 琴音.1,6,福島 陽子,福島 陽子.1
2.0,3.0,6.1,1.0,3.0,14.9,1.0,2.0,24.6,1.0,2.0,84.4,1.0,2.0,168.2,1.0,2.0,988.1
2.0,4.0,7.9,1.0,4.0,20.9,1.0,4.0,46.4,1.0,3.0,120.7,1.0,3.0,244.0,1.0,3.0,1788.0
2.0,5.0,17.8,1.0,5.0,35.9,1.0,5.0,68.0,1.0,5.0,163.5,1.0,4.0,391.4,1.0,4.0,2119.0
2.0,6.0,44.1,1.0,6.0,96.8,1.0,6.0,191.2,1.0,6.0,328.3,1.0,6.0,578.5,1.0,5.0,2638.0
3.0,2.0,9.2,3.0,1.0,34.3,2.0,1.0,37.2,2.0,1.0,128.7,2.0,1.0,222.6,2.0,1.0,1556.0
3.0,4.0,17.0,3.0,4.0,68.4,2.0,4.0,86.6,2.0,3.0,216.8,2.0,3.0,344.6,2.0,3.0,2664.0
3.0,5.0,29.3,3.0,5.0,109.5,2.0,5.0,135.5,2.0,5.0,251.8,2.0,4.0,492.2,2.0,4.0,1613.0
3.0,6.0,76.8,3.0,6.0,274.9,2.0,6.0,326.5,2.0,6.0,407.4,2.0,6.0,639.5,2.0,5.0,2625.0
4.0,2.0,19.8,4.0,1.0,60.7,4.0,1.0,94.7,3.0,1.0,201.2,3.0,1.0,397.9,3.0,1.0,2651.0
4.0,3.0,27.4,4.0,3.0,100.3,4.0,2.0,122.9,3.0,2.0,283.5,3.0,2.0,488.5,3.0,2.0,3689.0
4.0,5.0,50.8,4.0,5.0,147.2,4.0,5.0,180.3,3.0,5.0,441.9,3.0,4.0,753.7,3.0,4.0,2947.0
4.0,6.0,101.4,4.0,6.0,271.2,4.0,6.0,387.6,3.0,6.0,888.3,3.0,6.0,1256.0,3.0,5.0,3937.0
5.0,2.0,49.7,5.0,1.0,126.4,5.0,1.0,165.6,5.0,1.0,232.7,4.0,1.0,563.1,4.0,1.0,3050.0
5.0,3.0,69.7,5.0,3.0,202.7,5.0,2.0,220.7,5.0,2.0,273.9,4.0,2.0,583.6,4.0,2.0,1654.0
5.0,4.0,107.1,5.0,4.0,246.9,5.0,4.0,321.3,5.0,3.0,403.7,4.0,3.0,758.1,4.0,3.0,3318.0
5.0,6.0,192.1,5.0,6.0,500.1,5.0,6.0,653.8,5.0,6.0,454.0,4.0,6.0,1079.0,4.0,5.0,3277.0
6.0,2.0,240.3,6.0,1.0,515.7,6.0,1.0,774.8,6.0,1.0,795.8,6.0,1.0,1137.0,5.0,1.0,3237.0
6.0,3.0,343.7,6.0,3.0,806.8,6.0,2.0,877.9,6.0,2.0,692.4,6.0,2.0,1204.0,5.0,2.0,3360.0
6.0,4.0,411.5,6.0,4.0,676.4,6.0,4.0,1224.0,6.0,3.0,1213.0,6.0,3.0,1538.0,5.0,3.0,4588.0
6.0,5.0,430.0,6.0,5.0,945.6,6.0,5.0,1325.0,6.0,5.0,1003.0,6.0,4.0,1643.0,5.0,4.0,3339.0
