1,土屋 智則,土屋 智則.1,2,春園 功太,春園 功太.1,3,下條　雄太郎,下條　雄太郎.1,4,高倉 和士,高倉 和士.1,5,宮之原　輝紀,宮之原　輝紀.1,6,馬場 貴也,馬場 貴也.1
2.0,3.0,20.6,1.0,3.0,63.8,1.0,2.0,75.4,1.0,2.0,169.4,1.0,2.0,216.9,1.0,2.0,253.0
2.0,4.0,27.2,1.0,4.0,76.0,1.0,4.0,39.5,1.0,3.0,111.8,1.0,3.0,125.8,1.0,3.0,124.7
2.0,5.0,47.6,1.0,5.0,124.2,1.0,5.0,52.9,1.0,5.0,144.6,1.0,4.0,181.3,1.0,4.0,221.7
2.0,6.0,28.9,1.0,6.0,74.4,1.0,6.0,28.0,1.0,6.0,88.2,1.0,6.0,114.4,1.0,5.0,297.4
3.0,2.0,22.6,3.0,1.0,133.3,2.0,1.0,146.9,2.0,1.0,330.3,2.0,1.0,544.7,2.0,1.0,411.4
3.0,4.0,12.3,3.0,4.0,154.6,2.0,4.0,154.2,2.0,3.0,368.9,2.0,3.0,668.2,2.0,3.0,453.1
3.0,5.0,18.5,3.0,5.0,260.1,2.0,5.0,207.9,2.0,5.0,491.9,2.0,4.0,909.9,2.0,4.0,624.0
3.0,6.0,10.5,3.0,6.0,131.2,2.0,6.0,109.2,2.0,6.0,257.9,2.0,6.0,555.9,2.0,5.0,972.4
4.0,2.0,37.8,4.0,1.0,176.8,4.0,1.0,70.9,3.0,1.0,163.9,3.0,1.0,236.6,3.0,1.0,159.8
4.0,3.0,23.8,4.0,3.0,231.2,4.0,2.0,130.5,3.0,2.0,273.1,3.0,2.0,482.3,3.0,2.0,390.8
4.0,5.0,44.8,4.0,5.0,408.8,4.0,5.0,90.6,3.0,5.0,197.8,3.0,4.0,305.2,3.0,4.0,212.5
4.0,6.0,23.0,4.0,6.0,195.1,4.0,6.0,49.0,3.0,6.0,101.3,3.0,6.0,197.5,3.0,5.0,313.1
5.0,2.0,73.1,5.0,1.0,369.8,5.0,1.0,118.5,5.0,1.0,236.5,4.0,1.0,362.4,4.0,1.0,329.6
5.0,3.0,42.4,5.0,3.0,499.1,5.0,2.0,229.8,5.0,2.0,392.7,4.0,2.0,765.7,4.0,2.0,589.8
5.0,4.0,71.4,5.0,4.0,666.0,5.0,4.0,137.3,5.0,3.0,254.8,4.0,3.0,407.3,4.0,3.0,297.9
5.0,6.0,39.6,5.0,6.0,394.3,5.0,6.0,82.3,5.0,6.0,148.1,4.0,6.0,260.9,4.0,5.0,518.7
6.0,2.0,56.1,6.0,1.0,233.4,6.0,1.0,57.5,6.0,1.0,131.4,6.0,1.0,276.5,5.0,1.0,455.9
6.0,3.0,27.1,6.0,3.0,264.9,6.0,2.0,130.4,6.0,2.0,244.7,6.0,2.0,605.1,5.0,2.0,1005.0
6.0,4.0,42.4,6.0,4.0,335.4,6.0,4.0,71.1,6.0,3.0,141.9,6.0,3.0,289.1,5.0,3.0,443.5
6.0,5.0,55.5,6.0,5.0,544.9,6.0,5.0,95.9,6.0,5.0,181.2,6.0,4.0,355.9,5.0,4.0,595.3
