1,森定 晃史,森定 晃史.1,2,平岡 重典,平岡 重典.1,3,一瀬 明,一瀬 明.1,4,池田 雄祐,池田 雄祐.1,5,澤崎 雄哉,澤崎 雄哉.1,6,前出 達吉,前出 達吉.1
2.0,3.0,39.8,1.0,3.0,275.9,1.0,2.0,180.5,1.0,2.0,38.2,1.0,2.0,412.3,1.0,2.0,873.0
2.0,4.0,25.6,1.0,4.0,192.3,1.0,4.0,49.2,1.0,3.0,20.3,1.0,3.0,268.4,1.0,3.0,684.7
2.0,5.0,88.0,1.0,5.0,440.9,1.0,5.0,122.6,1.0,5.0,16.3,1.0,4.0,123.5,1.0,4.0,367.1
2.0,6.0,126.6,1.0,6.0,675.6,1.0,6.0,153.0,1.0,6.0,23.7,1.0,6.0,241.6,1.0,5.0,989.2
3.0,2.0,31.5,3.0,1.0,413.9,2.0,1.0,367.9,2.0,1.0,97.8,2.0,1.0,865.6,2.0,1.0,1751.0
3.0,4.0,7.6,3.0,4.0,744.9,2.0,4.0,501.9,2.0,3.0,231.5,2.0,3.0,1457.0,2.0,3.0,2604.0
3.0,5.0,28.4,3.0,5.0,1546.0,2.0,5.0,821.2,2.0,5.0,169.3,2.0,4.0,694.0,2.0,4.0,1493.0
3.0,6.0,42.3,3.0,6.0,2176.0,2.0,6.0,1397.0,2.0,6.0,215.0,2.0,6.0,1072.0,2.0,5.0,2418.0
4.0,2.0,15.9,4.0,1.0,242.0,4.0,1.0,72.5,3.0,1.0,47.3,3.0,1.0,501.1,3.0,1.0,1417.0
4.0,3.0,7.0,4.0,3.0,591.6,4.0,2.0,238.7,3.0,2.0,170.0,3.0,2.0,1360.0,3.0,2.0,2958.0
4.0,5.0,13.0,4.0,5.0,797.6,4.0,5.0,140.3,3.0,5.0,84.8,3.0,4.0,386.1,3.0,4.0,1120.0
4.0,6.0,19.4,4.0,6.0,1084.0,4.0,6.0,175.6,3.0,6.0,99.6,3.0,6.0,748.6,3.0,5.0,2847.0
5.0,2.0,130.7,5.0,1.0,797.6,5.0,1.0,387.6,5.0,1.0,21.5,4.0,1.0,99.2,4.0,1.0,345.8
5.0,3.0,78.4,5.0,3.0,1751.0,5.0,2.0,718.6,5.0,2.0,79.8,4.0,2.0,251.3,4.0,2.0,1002.0
5.0,4.0,45.4,5.0,4.0,1264.0,5.0,4.0,330.4,5.0,3.0,63.3,4.0,3.0,213.9,4.0,3.0,562.1
5.0,6.0,139.3,5.0,6.0,1869.0,5.0,6.0,674.1,5.0,6.0,30.4,4.0,6.0,133.1,4.0,5.0,641.4
6.0,2.0,212.0,6.0,1.0,967.2,6.0,1.0,548.0,6.0,1.0,47.4,6.0,1.0,633.4,5.0,1.0,1313.0
6.0,3.0,150.9,6.0,3.0,3385.0,6.0,2.0,1595.0,6.0,2.0,140.7,6.0,2.0,1176.0,5.0,2.0,2987.0
6.0,4.0,80.9,6.0,4.0,1761.0,6.0,4.0,461.6,6.0,3.0,117.6,6.0,3.0,1248.0,5.0,3.0,2477.0
6.0,5.0,221.1,6.0,5.0,2086.0,6.0,5.0,976.5,6.0,5.0,60.0,6.0,4.0,458.8,5.0,4.0,949.2
