1,藤森 陸斗,藤森 陸斗.1,2,田中 宏典,田中 宏典.1,3,大久保信一郎,大久保信一郎.1,4,渡邉 翼,渡邉 翼.1,5,倉田 茂将,倉田 茂将.1,6,中 亮太,中 亮太.1
2.0,3.0,18.4,1.0,3.0,77.9,1.0,2.0,55.3,1.0,2.0,80.1,1.0,2.0,498.7,1.0,2.0,171.8
2.0,4.0,26.0,1.0,4.0,90.1,1.0,4.0,34.7,1.0,3.0,67.9,1.0,3.0,328.0,1.0,3.0,116.9
2.0,5.0,83.7,1.0,5.0,158.7,1.0,5.0,89.3,1.0,5.0,94.8,1.0,4.0,341.4,1.0,4.0,97.9
2.0,6.0,38.5,1.0,6.0,115.0,1.0,6.0,36.6,1.0,6.0,42.8,1.0,6.0,283.3,1.0,5.0,270.6
3.0,2.0,13.7,3.0,1.0,139.7,2.0,1.0,119.9,2.0,1.0,153.9,2.0,1.0,765.3,2.0,1.0,302.6
3.0,4.0,9.1,3.0,4.0,188.8,2.0,4.0,127.8,2.0,3.0,253.1,2.0,3.0,937.8,2.0,3.0,354.1
3.0,5.0,38.6,3.0,5.0,378.3,2.0,5.0,280.3,2.0,5.0,289.5,2.0,4.0,1008.0,2.0,4.0,357.9
3.0,6.0,12.5,3.0,6.0,220.1,2.0,6.0,150.4,2.0,6.0,149.9,2.0,6.0,788.0,2.0,5.0,652.8
4.0,2.0,25.5,4.0,1.0,171.8,4.0,1.0,59.1,3.0,1.0,97.4,3.0,1.0,418.7,3.0,1.0,162.6
4.0,3.0,15.9,4.0,3.0,252.2,4.0,2.0,109.2,3.0,2.0,173.1,3.0,2.0,662.5,3.0,2.0,373.0
4.0,5.0,66.5,4.0,5.0,484.2,4.0,5.0,120.5,3.0,5.0,174.5,3.0,4.0,398.7,3.0,4.0,188.3
4.0,6.0,17.2,4.0,6.0,239.5,4.0,6.0,55.3,3.0,6.0,83.4,3.0,6.0,398.7,3.0,5.0,438.0
5.0,2.0,155.2,5.0,1.0,456.0,5.0,1.0,202.6,5.0,1.0,136.4,4.0,1.0,364.8,4.0,1.0,118.5
5.0,3.0,103.0,5.0,3.0,586.6,5.0,2.0,302.6,5.0,2.0,233.2,4.0,2.0,628.1,4.0,2.0,257.5
5.0,4.0,132.5,5.0,4.0,752.3,5.0,4.0,197.5,5.0,3.0,203.3,4.0,3.0,382.6,4.0,3.0,151.6
5.0,6.0,119.8,5.0,6.0,586.6,5.0,6.0,203.0,5.0,6.0,92.1,4.0,6.0,232.4,4.0,5.0,228.8
6.0,2.0,65.6,6.0,1.0,293.3,6.0,1.0,85.2,6.0,1.0,60.6,6.0,1.0,456.0,5.0,1.0,512.2
6.0,3.0,32.7,6.0,3.0,367.8,6.0,2.0,154.3,6.0,2.0,120.4,6.0,2.0,783.3,5.0,2.0,905.9
6.0,4.0,39.8,6.0,4.0,366.8,6.0,4.0,79.3,6.0,3.0,92.6,6.0,3.0,472.2,5.0,3.0,594.5
6.0,5.0,118.1,6.0,5.0,715.9,6.0,5.0,190.2,6.0,5.0,94.3,6.0,4.0,320.8,5.0,4.0,394.0
