1,佐々木　翔斗,佐々木　翔斗.1,2,宮迫 暢彦,宮迫 暢彦.1,3,津留　浩一郎,津留　浩一郎.1,4,松崎　祐太郎,松崎　祐太郎.1,5,杉山 勝匡,杉山 勝匡.1,6,川崎 智稔,川崎 智稔.1
2.0,3.0,22.6,1.0,3.0,126.8,1.0,2.0,181.2,1.0,2.0,27.5,1.0,2.0,227.7,1.0,2.0,741.2
2.0,4.0,8.1,1.0,4.0,47.2,1.0,4.0,79.5,1.0,3.0,76.6,1.0,3.0,363.6,1.0,3.0,1164.0
2.0,5.0,27.7,1.0,5.0,146.0,1.0,5.0,232.0,1.0,5.0,36.3,1.0,4.0,140.2,1.0,4.0,389.2
2.0,6.0,28.6,1.0,6.0,152.2,1.0,6.0,178.5,1.0,6.0,34.8,1.0,6.0,180.4,1.0,5.0,737.4
3.0,2.0,31.6,3.0,1.0,314.4,2.0,1.0,358.4,2.0,1.0,60.1,2.0,1.0,442.1,2.0,1.0,1109.0
3.0,4.0,17.6,3.0,4.0,336.9,2.0,4.0,360.0,2.0,3.0,215.2,2.0,3.0,800.1,2.0,3.0,2140.0
3.0,5.0,48.8,3.0,5.0,450.3,2.0,5.0,560.7,2.0,5.0,134.8,2.0,4.0,442.3,2.0,4.0,1020.0
3.0,6.0,46.6,3.0,6.0,654.7,2.0,6.0,623.9,2.0,6.0,133.3,2.0,6.0,627.0,2.0,5.0,1808.0
4.0,2.0,7.4,4.0,1.0,74.0,4.0,1.0,138.5,3.0,1.0,179.5,3.0,1.0,727.0,3.0,1.0,1676.0
4.0,3.0,15.6,4.0,3.0,269.5,4.0,2.0,299.7,3.0,2.0,324.2,3.0,2.0,964.0,3.0,2.0,2385.0
4.0,5.0,13.2,4.0,5.0,179.1,4.0,5.0,262.4,3.0,5.0,262.8,3.0,4.0,734.3,3.0,4.0,1473.0
4.0,6.0,12.3,4.0,6.0,180.6,4.0,6.0,190.9,3.0,6.0,208.2,3.0,6.0,952.5,3.0,5.0,1980.0
5.0,2.0,50.7,5.0,1.0,433.1,5.0,1.0,494.0,5.0,1.0,56.2,4.0,1.0,173.1,4.0,1.0,471.9
5.0,3.0,79.0,5.0,3.0,662.6,5.0,2.0,721.6,5.0,2.0,110.6,4.0,2.0,314.9,4.0,2.0,878.8
5.0,4.0,35.6,5.0,4.0,424.7,5.0,4.0,467.1,5.0,3.0,255.1,4.0,3.0,603.2,4.0,3.0,1344.0
5.0,6.0,50.9,5.0,6.0,612.5,5.0,6.0,549.1,5.0,6.0,67.0,4.0,6.0,190.3,4.0,5.0,630.6
6.0,2.0,77.4,6.0,1.0,538.3,6.0,1.0,529.5,6.0,1.0,81.5,6.0,1.0,344.5,5.0,1.0,854.8
6.0,3.0,120.5,6.0,3.0,1103.0,6.0,2.0,961.9,6.0,2.0,161.8,6.0,2.0,657.1,5.0,2.0,1676.0
6.0,4.0,47.8,6.0,4.0,573.2,6.0,4.0,411.7,6.0,3.0,305.0,6.0,3.0,860.7,5.0,3.0,1733.0
6.0,5.0,87.9,6.0,5.0,878.8,6.0,5.0,740.5,6.0,5.0,108.2,6.0,4.0,342.2,5.0,4.0,681.7
