1,重成 一人,重成 一人.1,2,山崎 郡,山崎 郡.1,3,君島 秀三,君島 秀三.1,4,原田 幸哉,原田 幸哉.1,5,西山 貴浩,西山 貴浩.1,6,久田 敏之,久田 敏之.1
2.0,3.0,12.6,1.0,3.0,21.2,1.0,2.0,77.8,1.0,2.0,168.4,1.0,2.0,73.3,1.0,2.0,594.5
2.0,4.0,14.8,1.0,4.0,29.7,1.0,4.0,121.8,1.0,3.0,290.1,1.0,3.0,107.0,1.0,3.0,889.1
2.0,5.0,11.8,1.0,5.0,19.5,1.0,5.0,76.1,1.0,5.0,144.7,1.0,4.0,147.2,1.0,4.0,971.9
2.0,6.0,36.1,1.0,6.0,42.5,1.0,6.0,137.7,1.0,6.0,270.6,1.0,6.0,126.8,1.0,5.0,634.7
3.0,2.0,21.8,3.0,1.0,44.0,2.0,1.0,87.6,2.0,1.0,219.3,2.0,1.0,99.8,2.0,1.0,676.7
3.0,4.0,32.1,3.0,4.0,73.8,2.0,4.0,108.9,2.0,3.0,348.0,2.0,3.0,143.8,2.0,3.0,955.9
3.0,5.0,23.2,3.0,5.0,45.3,2.0,5.0,72.3,2.0,5.0,181.5,2.0,4.0,156.7,2.0,4.0,1039.0
3.0,6.0,54.4,3.0,6.0,85.6,2.0,6.0,114.9,2.0,6.0,353.1,2.0,6.0,156.8,2.0,5.0,649.7
4.0,2.0,33.6,4.0,1.0,86.1,4.0,1.0,201.3,3.0,1.0,481.4,3.0,1.0,194.3,3.0,1.0,1177.0
4.0,3.0,50.1,4.0,3.0,116.4,4.0,2.0,181.3,3.0,2.0,487.0,3.0,2.0,193.3,3.0,2.0,1122.0
4.0,5.0,34.7,4.0,5.0,72.8,4.0,5.0,155.5,3.0,5.0,451.5,3.0,4.0,356.1,3.0,4.0,1674.0
4.0,6.0,69.5,4.0,6.0,144.3,4.0,6.0,249.0,3.0,6.0,692.9,3.0,6.0,298.4,3.0,5.0,1217.0
5.0,2.0,22.7,5.0,1.0,48.9,5.0,1.0,106.7,5.0,1.0,160.7,4.0,1.0,222.3,4.0,1.0,1206.0
5.0,3.0,37.3,5.0,3.0,64.5,5.0,2.0,106.0,5.0,2.0,171.6,4.0,2.0,213.3,4.0,2.0,1285.0
5.0,4.0,45.6,5.0,4.0,75.0,5.0,4.0,173.1,5.0,3.0,342.2,4.0,3.0,381.9,4.0,3.0,1708.0
5.0,6.0,52.1,5.0,6.0,81.3,5.0,6.0,152.8,5.0,6.0,198.7,4.0,6.0,238.3,4.0,5.0,779.5
6.0,2.0,116.5,6.0,1.0,178.6,6.0,1.0,369.6,6.0,1.0,469.7,6.0,1.0,218.8,5.0,1.0,678.2
6.0,3.0,147.6,6.0,3.0,231.8,6.0,2.0,338.1,6.0,2.0,582.2,6.0,2.0,223.2,5.0,2.0,650.2
6.0,4.0,166.5,6.0,4.0,294.6,6.0,4.0,552.7,6.0,3.0,969.9,6.0,3.0,354.5,5.0,3.0,1135.0
6.0,5.0,120.6,6.0,5.0,165.4,6.0,5.0,373.9,6.0,5.0,401.2,6.0,4.0,261.6,5.0,4.0,671.3
