1,竹井 貴史,竹井 貴史.1,2,加倉 侑征,加倉 侑征.1,3,小林 遼太,小林 遼太.1,4,下河 雅史,下河 雅史.1,5,安河内鈴之介,安河内鈴之介.1,6,山口 隆史,山口 隆史.1
2.0,3.0,7.0,1.0,3.0,98.5,1.0,2.0,114.4,1.0,2.0,176.3,1.0,2.0,323.9,1.0,2.0,572.0
2.0,4.0,9.4,1.0,4.0,121.9,1.0,4.0,82.5,1.0,3.0,160.5,1.0,3.0,304.0,1.0,3.0,497.5
2.0,5.0,28.2,1.0,5.0,249.7,1.0,5.0,157.3,1.0,5.0,252.6,1.0,4.0,422.4,1.0,4.0,563.6
2.0,6.0,21.7,1.0,6.0,218.3,1.0,6.0,144.8,1.0,6.0,180.0,1.0,6.0,389.2,1.0,5.0,1040.0
3.0,2.0,7.0,3.0,1.0,252.6,2.0,1.0,257.2,2.0,1.0,391.2,2.0,1.0,877.5,2.0,1.0,1072.0
3.0,4.0,6.3,3.0,4.0,407.2,2.0,4.0,364.9,2.0,3.0,541.5,2.0,3.0,1629.0,2.0,3.0,1678.0
3.0,5.0,18.0,3.0,5.0,1035.0,2.0,5.0,678.5,2.0,5.0,906.3,2.0,4.0,1804.0,2.0,4.0,2157.0
3.0,6.0,14.8,3.0,6.0,784.7,2.0,6.0,627.8,2.0,6.0,729.9,2.0,6.0,1716.0,2.0,5.0,2738.0
4.0,2.0,13.8,4.0,1.0,376.3,4.0,1.0,219.6,3.0,1.0,279.3,3.0,1.0,643.5,3.0,1.0,944.0
4.0,3.0,12.2,4.0,3.0,512.7,4.0,2.0,370.9,3.0,2.0,508.7,3.0,2.0,1588.0,3.0,2.0,1883.0
4.0,5.0,35.6,4.0,5.0,1241.0,4.0,5.0,549.2,3.0,5.0,745.4,3.0,4.0,1340.0,3.0,4.0,1636.0
4.0,6.0,19.6,4.0,6.0,889.6,4.0,6.0,398.0,3.0,6.0,470.3,3.0,6.0,1575.0,3.0,5.0,2459.0
5.0,2.0,52.2,5.0,1.0,819.7,5.0,1.0,452.1,5.0,1.0,512.0,4.0,1.0,895.8,4.0,1.0,852.3
5.0,3.0,44.7,5.0,3.0,1369.0,5.0,2.0,1052.0,5.0,2.0,1010.0,4.0,2.0,1622.0,4.0,2.0,2206.0
5.0,4.0,63.5,5.0,4.0,1664.0,5.0,4.0,720.3,5.0,3.0,953.3,4.0,3.0,1378.0,4.0,3.0,1731.0
5.0,6.0,63.4,5.0,6.0,1664.0,5.0,6.0,806.0,5.0,6.0,716.3,4.0,6.0,1350.0,4.0,5.0,2231.0
6.0,2.0,50.5,6.0,1.0,755.6,6.0,1.0,486.9,6.0,1.0,414.2,6.0,1.0,1002.0,5.0,1.0,1779.0
6.0,3.0,43.0,6.0,3.0,1374.0,6.0,2.0,1005.0,6.0,2.0,854.2,6.0,2.0,1664.0,5.0,2.0,2818.0
6.0,4.0,50.8,6.0,4.0,1550.0,6.0,4.0,675.0,6.0,3.0,742.5,6.0,3.0,1575.0,5.0,3.0,2491.0
6.0,5.0,96.0,6.0,5.0,1664.0,6.0,5.0,1057.0,6.0,5.0,941.7,6.0,4.0,1419.0,5.0,4.0,2413.0
