1,村松 修二,村松 修二.1,2,板橋 侑我,板橋 侑我.1,3,郷原 章平,郷原 章平.1,4,小池 修平,小池 修平.1,5,森 貴洋,森 貴洋.1,6,佐々木　翔斗,佐々木　翔斗.1
2.0,3.0,19.9,1.0,3.0,83.2,1.0,2.0,36.4,1.0,2.0,89.0,1.0,2.0,290.3,1.0,2.0,577.9
2.0,4.0,21.6,1.0,4.0,86.1,1.0,4.0,17.6,1.0,3.0,69.5,1.0,3.0,154.4,1.0,3.0,321.7
2.0,5.0,43.1,1.0,5.0,140.0,1.0,5.0,23.4,1.0,5.0,80.6,1.0,4.0,252.1,1.0,4.0,627.5
2.0,6.0,55.9,1.0,6.0,177.0,1.0,6.0,31.9,1.0,6.0,100.7,1.0,6.0,223.1,1.0,5.0,587.9
3.0,2.0,14.9,3.0,1.0,169.8,2.0,1.0,108.6,2.0,1.0,170.1,2.0,1.0,559.6,2.0,1.0,1003.0
3.0,4.0,8.2,3.0,4.0,287.2,2.0,4.0,147.7,2.0,3.0,287.1,2.0,3.0,785.0,2.0,3.0,1271.0
3.0,5.0,14.8,3.0,5.0,425.1,2.0,5.0,219.4,2.0,5.0,302.7,2.0,4.0,924.5,2.0,4.0,1567.0
3.0,6.0,20.1,3.0,6.0,533.8,2.0,6.0,246.4,2.0,6.0,320.6,2.0,6.0,816.7,2.0,5.0,1479.0
4.0,2.0,24.6,4.0,1.0,186.7,4.0,1.0,33.4,3.0,1.0,85.4,3.0,1.0,169.8,3.0,1.0,350.4
4.0,3.0,16.1,4.0,3.0,363.5,4.0,2.0,94.3,3.0,2.0,198.1,3.0,2.0,460.7,3.0,2.0,788.6
4.0,5.0,33.1,4.0,5.0,456.3,4.0,5.0,46.3,3.0,5.0,118.0,3.0,4.0,281.0,3.0,4.0,559.2
4.0,6.0,42.8,4.0,6.0,530.5,4.0,6.0,56.7,3.0,6.0,127.9,3.0,6.0,224.8,3.0,5.0,476.8
5.0,2.0,66.6,5.0,1.0,472.0,5.0,1.0,56.6,5.0,1.0,139.5,4.0,1.0,352.0,4.0,1.0,884.9
5.0,3.0,46.3,5.0,3.0,755.6,5.0,2.0,157.5,5.0,2.0,284.5,4.0,2.0,735.9,4.0,2.0,1434.0
5.0,4.0,63.5,5.0,4.0,722.1,5.0,4.0,74.5,5.0,3.0,191.7,4.0,3.0,464.8,4.0,3.0,803.6
5.0,6.0,75.3,5.0,6.0,858.1,5.0,6.0,73.4,5.0,6.0,170.7,4.0,6.0,458.0,4.0,5.0,1002.0
6.0,2.0,137.8,6.0,1.0,766.5,6.0,1.0,92.0,6.0,1.0,235.1,6.0,1.0,362.0,5.0,1.0,785.7
6.0,3.0,84.0,6.0,3.0,1164.0,6.0,2.0,224.2,6.0,2.0,424.9,6.0,2.0,719.0,5.0,2.0,1316.0
6.0,4.0,120.9,6.0,4.0,1080.0,6.0,4.0,122.0,6.0,3.0,290.5,6.0,3.0,331.3,5.0,3.0,579.8
6.0,5.0,125.9,6.0,5.0,1112.0,6.0,5.0,119.8,6.0,5.0,276.4,6.0,4.0,577.1,5.0,4.0,1000.0
