1,向井田　直弥,向井田　直弥.1,2,羽野 諒,羽野 諒.1,3,豊田 泰洋,豊田 泰洋.1,4,中辻 崇人,中辻 崇人.1,5,江夏 満,江夏 満.1,6,中島 浩哉,中島 浩哉.1
2.0,3.0,40.0,1.0,3.0,121.1,1.0,2.0,254.5,1.0,2.0,25.1,1.0,2.0,86.8,1.0,2.0,1167.0
2.0,4.0,16.0,1.0,4.0,47.0,1.0,4.0,217.4,1.0,3.0,80.7,1.0,3.0,200.8,1.0,3.0,1537.0
2.0,5.0,24.2,1.0,5.0,70.1,1.0,5.0,263.1,1.0,5.0,13.1,1.0,4.0,55.1,1.0,4.0,821.4
2.0,6.0,111.6,1.0,6.0,212.3,1.0,6.0,411.8,1.0,6.0,58.1,1.0,6.0,157.6,1.0,5.0,1326.0
3.0,2.0,47.9,3.0,1.0,250.8,2.0,1.0,324.7,2.0,1.0,55.6,2.0,1.0,146.0,2.0,1.0,1584.0
3.0,4.0,36.7,3.0,4.0,359.3,2.0,4.0,491.3,2.0,3.0,189.5,2.0,3.0,437.3,2.0,3.0,1617.0
3.0,5.0,60.0,3.0,5.0,397.0,2.0,5.0,583.6,2.0,5.0,35.8,2.0,4.0,110.0,2.0,4.0,1035.0
3.0,6.0,175.6,3.0,6.0,825.8,2.0,6.0,857.7,2.0,6.0,106.7,2.0,6.0,294.5,2.0,5.0,929.6
4.0,2.0,12.0,4.0,1.0,65.4,4.0,1.0,282.2,3.0,1.0,181.3,3.0,1.0,483.6,3.0,1.0,1617.0
4.0,3.0,31.2,4.0,3.0,252.8,4.0,2.0,438.5,3.0,2.0,246.0,3.0,2.0,577.1,3.0,2.0,1537.0
4.0,5.0,10.4,4.0,5.0,67.0,4.0,5.0,243.7,3.0,5.0,106.7,3.0,4.0,326.1,3.0,4.0,1398.0
4.0,6.0,59.8,4.0,6.0,239.5,4.0,6.0,690.0,3.0,6.0,366.1,3.0,6.0,935.2,3.0,5.0,1568.0
5.0,2.0,34.2,5.0,1.0,138.4,5.0,1.0,391.0,5.0,1.0,12.7,4.0,1.0,38.4,4.0,1.0,887.1
5.0,3.0,68.4,5.0,3.0,337.5,5.0,2.0,546.6,5.0,2.0,18.5,4.0,2.0,51.3,4.0,2.0,995.2
5.0,4.0,23.6,5.0,4.0,109.4,5.0,4.0,320.1,5.0,3.0,47.0,4.0,3.0,131.5,4.0,3.0,1492.0
5.0,6.0,100.0,5.0,6.0,316.1,5.0,6.0,995.2,5.0,6.0,22.5,4.0,6.0,67.2,4.0,5.0,638.8
6.0,2.0,383.3,6.0,1.0,796.1,6.0,1.0,1424.0,6.0,1.0,113.0,6.0,1.0,514.0,5.0,1.0,1350.0
6.0,3.0,546.6,6.0,3.0,1063.0,6.0,2.0,1764.0,6.0,2.0,151.1,6.0,2.0,443.5,5.0,2.0,1108.0
6.0,4.0,245.6,6.0,4.0,663.4,6.0,4.0,1242.0,6.0,3.0,381.4,6.0,3.0,988.8,5.0,3.0,1870.0
6.0,5.0,326.8,6.0,5.0,628.5,6.0,5.0,1304.0,6.0,5.0,85.2,6.0,4.0,336.0,5.0,4.0,742.8
