1,本橋 克洋,本橋 克洋.1,2,古賀 繁輝,古賀 繁輝.1,3,沢田 昭宏,沢田 昭宏.1,4,近藤 稔也,近藤 稔也.1,5,桑島 和宏,桑島 和宏.1,6,森定 晃史,森定 晃史.1
2.0,3.0,16.0,1.0,3.0,25.8,1.0,2.0,277.3,1.0,2.0,194.5,1.0,2.0,60.3,1.0,2.0,108.7
2.0,4.0,20.0,1.0,4.0,30.3,1.0,4.0,504.6,1.0,3.0,648.4,1.0,3.0,227.0,1.0,3.0,387.5
2.0,5.0,9.1,1.0,5.0,11.9,1.0,5.0,328.4,1.0,5.0,239.0,1.0,4.0,174.9,1.0,4.0,328.2
2.0,6.0,12.3,1.0,6.0,13.9,1.0,6.0,392.8,1.0,6.0,249.5,1.0,6.0,70.2,1.0,5.0,153.5
3.0,2.0,39.5,3.0,1.0,99.1,2.0,1.0,338.7,2.0,1.0,238.1,2.0,1.0,68.6,2.0,1.0,112.1
3.0,4.0,80.3,3.0,4.0,245.5,2.0,4.0,596.6,2.0,3.0,690.7,2.0,3.0,223.3,2.0,3.0,338.9
3.0,5.0,58.8,3.0,5.0,133.3,2.0,5.0,376.0,2.0,5.0,213.8,2.0,4.0,172.3,2.0,4.0,265.2
3.0,6.0,74.6,3.0,6.0,121.2,2.0,6.0,386.4,2.0,6.0,203.4,2.0,6.0,59.4,2.0,5.0,106.2
4.0,2.0,53.5,4.0,1.0,88.4,4.0,1.0,883.1,3.0,1.0,917.3,3.0,1.0,455.0,3.0,1.0,691.9
4.0,3.0,147.7,4.0,3.0,274.5,4.0,2.0,987.0,3.0,2.0,1009.0,3.0,2.0,534.1,3.0,2.0,672.3
4.0,5.0,80.8,4.0,5.0,112.5,4.0,5.0,1157.0,3.0,5.0,1144.0,3.0,4.0,1035.0,3.0,4.0,1048.0
4.0,6.0,95.6,4.0,6.0,100.9,4.0,6.0,1157.0,3.0,6.0,1056.0,3.0,6.0,452.4,3.0,5.0,693.1
5.0,2.0,21.6,5.0,1.0,31.7,5.0,1.0,641.2,5.0,1.0,199.2,4.0,1.0,241.8,4.0,1.0,536.9
5.0,3.0,73.8,5.0,3.0,116.3,5.0,2.0,595.7,5.0,2.0,179.2,4.0,2.0,220.3,4.0,2.0,396.7
5.0,4.0,83.0,5.0,4.0,94.0,5.0,4.0,1239.0,5.0,3.0,717.8,4.0,3.0,818.5,4.0,3.0,1195.0
5.0,6.0,37.0,5.0,6.0,31.6,5.0,6.0,604.6,5.0,6.0,141.6,4.0,6.0,164.7,4.0,5.0,370.1
6.0,2.0,38.2,6.0,1.0,45.1,6.0,1.0,825.2,6.0,1.0,285.6,6.0,1.0,82.2,5.0,1.0,155.8
6.0,3.0,136.7,6.0,3.0,141.0,6.0,2.0,783.4,6.0,2.0,242.4,6.0,2.0,61.7,5.0,2.0,112.7
6.0,4.0,136.5,6.0,4.0,119.0,6.0,4.0,1418.0,6.0,3.0,818.5,6.0,3.0,270.2,5.0,3.0,466.6
6.0,5.0,58.0,6.0,5.0,46.1,6.0,5.0,761.2,6.0,5.0,227.3,6.0,4.0,161.9,5.0,4.0,278.3
