1,宇野 博之,宇野 博之.1,2,田中 宏樹,田中 宏樹.1,3,三好 勇人,三好 勇人.1,4,木下 大將,木下 大將.1,5,杉江 浩明,杉江 浩明.1,6,松尾 昂明,松尾 昂明.1
2.0,3.0,22.5,1.0,3.0,28.6,1.0,2.0,66.2,1.0,2.0,60.1,1.0,2.0,551.5,1.0,2.0,148.6
2.0,4.0,19.9,1.0,4.0,31.0,1.0,4.0,38.6,1.0,3.0,70.3,1.0,3.0,686.3,1.0,3.0,164.1
2.0,5.0,91.9,1.0,5.0,128.0,1.0,5.0,146.7,1.0,5.0,120.1,1.0,4.0,518.2,1.0,4.0,152.5
2.0,6.0,31.0,1.0,6.0,34.6,1.0,6.0,50.9,1.0,6.0,44.9,1.0,6.0,426.5,1.0,5.0,416.2
3.0,2.0,24.8,3.0,1.0,57.2,2.0,1.0,81.8,2.0,1.0,83.2,2.0,1.0,591.6,2.0,1.0,151.3
3.0,4.0,17.5,3.0,4.0,46.2,2.0,4.0,61.0,2.0,3.0,113.1,2.0,3.0,1009.0,2.0,3.0,130.4
3.0,5.0,74.4,3.0,5.0,193.0,2.0,5.0,197.4,2.0,5.0,159.8,2.0,4.0,654.3,2.0,4.0,122.3
3.0,6.0,32.5,3.0,6.0,48.2,2.0,6.0,69.4,2.0,6.0,61.9,2.0,6.0,528.8,2.0,5.0,411.8
4.0,2.0,27.2,4.0,1.0,56.2,4.0,1.0,62.9,3.0,1.0,89.5,3.0,1.0,924.7,3.0,1.0,222.5
4.0,3.0,27.3,4.0,3.0,54.8,4.0,2.0,82.9,3.0,2.0,134.9,3.0,2.0,1331.0,3.0,2.0,181.0
4.0,5.0,74.4,4.0,5.0,156.6,4.0,5.0,165.1,3.0,5.0,225.4,3.0,4.0,903.0,3.0,4.0,161.0
4.0,6.0,26.0,4.0,6.0,43.2,4.0,6.0,46.7,3.0,6.0,81.3,3.0,6.0,843.8,3.0,5.0,574.0
5.0,2.0,197.2,5.0,1.0,356.6,5.0,1.0,393.9,5.0,1.0,143.3,4.0,1.0,456.8,4.0,1.0,133.4
5.0,3.0,183.1,5.0,3.0,406.3,5.0,2.0,431.3,5.0,2.0,174.4,4.0,2.0,534.3,4.0,2.0,139.7
5.0,4.0,184.9,5.0,4.0,349.3,5.0,4.0,367.6,5.0,3.0,209.8,4.0,3.0,603.2,4.0,3.0,154.2
5.0,6.0,164.9,5.0,6.0,285.4,5.0,6.0,355.8,5.0,6.0,103.1,4.0,6.0,290.8,4.0,5.0,287.0
6.0,2.0,70.5,6.0,1.0,87.2,6.0,1.0,118.6,6.0,1.0,55.7,6.0,1.0,589.4,5.0,1.0,701.9
6.0,3.0,73.0,6.0,3.0,72.1,6.0,2.0,117.7,6.0,2.0,60.7,6.0,2.0,643.4,5.0,2.0,654.3
6.0,4.0,58.4,6.0,4.0,72.0,6.0,4.0,86.3,6.0,3.0,80.3,6.0,3.0,738.8,5.0,3.0,635.5
6.0,5.0,196.7,6.0,5.0,231.5,6.0,5.0,255.6,6.0,5.0,96.7,6.0,4.0,359.9,5.0,4.0,507.9
