1,後藤 翔之,後藤 翔之.1,2,大塚 浩二,大塚 浩二.1,3,渥美 卓郎,渥美 卓郎.1,4,西村 秀樹,西村 秀樹.1,5,木山 和幸,木山 和幸.1,6,日高 逸子,日高 逸子.1
2.0,3.0,8.0,1.0,3.0,97.9,1.0,2.0,218.6,1.0,2.0,213.3,1.0,2.0,238.3,1.0,2.0,174.8
2.0,4.0,11.0,1.0,4.0,115.6,1.0,4.0,291.8,1.0,3.0,343.9,1.0,3.0,272.2,1.0,3.0,409.8
2.0,5.0,9.3,1.0,5.0,109.9,1.0,5.0,216.3,1.0,5.0,179.5,1.0,4.0,290.8,1.0,4.0,361.1
2.0,6.0,10.1,1.0,6.0,88.0,1.0,6.0,208.1,1.0,6.0,156.9,1.0,6.0,148.5,1.0,5.0,266.2
3.0,2.0,13.7,3.0,1.0,273.1,2.0,1.0,395.4,2.0,1.0,441.8,2.0,1.0,474.6,2.0,1.0,370.1
3.0,4.0,21.3,3.0,4.0,678.1,2.0,4.0,894.5,2.0,3.0,995.1,2.0,3.0,1128.0,2.0,3.0,899.3
3.0,5.0,15.7,3.0,5.0,757.5,2.0,5.0,788.3,2.0,5.0,690.2,2.0,4.0,1040.0,2.0,4.0,1195.0
3.0,6.0,16.9,3.0,6.0,486.5,2.0,6.0,698.8,2.0,6.0,536.7,2.0,6.0,653.5,2.0,5.0,824.4
4.0,2.0,18.3,4.0,1.0,372.6,4.0,1.0,659.5,3.0,1.0,717.6,3.0,1.0,835.3,3.0,1.0,869.8
4.0,3.0,30.8,4.0,3.0,904.1,4.0,2.0,1108.0,3.0,2.0,1449.0,3.0,2.0,1776.0,3.0,2.0,1374.0
4.0,5.0,24.2,4.0,5.0,891.4,4.0,5.0,987.3,3.0,5.0,1409.0,3.0,4.0,1940.0,3.0,4.0,2174.0
4.0,6.0,21.3,4.0,6.0,625.9,4.0,6.0,1141.0,3.0,6.0,1068.0,3.0,6.0,1264.0,3.0,5.0,1889.0
5.0,2.0,19.7,5.0,1.0,287.6,5.0,1.0,573.3,5.0,1.0,242.1,4.0,1.0,416.2,4.0,1.0,705.6
5.0,3.0,26.5,5.0,3.0,748.5,5.0,2.0,1033.0,5.0,2.0,429.3,4.0,2.0,782.2,4.0,2.0,1242.0
5.0,4.0,37.5,5.0,4.0,1087.0,5.0,4.0,1239.0,5.0,3.0,722.8,4.0,3.0,1261.0,4.0,3.0,1940.0
5.0,6.0,21.1,5.0,6.0,403.3,5.0,6.0,950.1,5.0,6.0,262.6,4.0,6.0,480.9,4.0,5.0,1189.0
6.0,2.0,30.6,6.0,1.0,246.5,6.0,1.0,662.9,6.0,1.0,296.0,6.0,1.0,313.1,5.0,1.0,487.9
6.0,3.0,42.5,6.0,3.0,697.8,6.0,2.0,946.6,6.0,2.0,536.7,6.0,2.0,681.8,5.0,2.0,944.8
6.0,4.0,48.6,6.0,4.0,843.7,6.0,4.0,1606.0,6.0,3.0,892.9,6.0,3.0,1011.0,5.0,3.0,1562.0
6.0,5.0,37.6,6.0,5.0,530.5,6.0,5.0,1195.0,6.0,5.0,421.5,6.0,4.0,697.8,5.0,4.0,1290.0
