1,井手 良太,井手 良太.1,2,岡崎 恭裕,岡崎 恭裕.1,3,山田 丈,山田 丈.1,4,松田 竜馬,松田 竜馬.1,5,川上 昇平,川上 昇平.1,6,濱崎 直矢,濱崎 直矢.1
2.0,3.0,12.0,1.0,3.0,9.6,1.0,2.0,45.9,1.0,2.0,103.0,1.0,2.0,864.2,1.0,2.0,253.6
2.0,4.0,14.6,1.0,4.0,12.8,1.0,4.0,70.2,1.0,3.0,191.6,1.0,3.0,847.8,1.0,3.0,485.1
2.0,5.0,87.1,1.0,5.0,76.2,1.0,5.0,152.3,1.0,5.0,252.5,1.0,4.0,903.7,1.0,4.0,487.7
2.0,6.0,29.3,1.0,6.0,22.3,1.0,6.0,99.2,1.0,6.0,139.2,1.0,6.0,798.4,1.0,5.0,903.7
3.0,2.0,21.2,3.0,1.0,18.4,2.0,1.0,44.4,2.0,1.0,87.8,2.0,1.0,890.2,2.0,1.0,233.3
3.0,4.0,37.7,3.0,4.0,21.2,2.0,4.0,44.3,2.0,3.0,103.6,2.0,3.0,989.1,2.0,3.0,242.8
3.0,5.0,133.0,3.0,5.0,84.7,2.0,5.0,121.6,2.0,5.0,181.1,2.0,4.0,760.8,2.0,4.0,177.3
3.0,6.0,64.1,3.0,6.0,27.2,2.0,6.0,56.3,2.0,6.0,63.7,2.0,6.0,843.8,2.0,5.0,700.9
4.0,2.0,34.8,4.0,1.0,32.8,4.0,1.0,130.7,3.0,1.0,293.8,3.0,1.0,1035.0,3.0,1.0,554.6
4.0,3.0,55.7,4.0,3.0,35.0,4.0,2.0,80.2,3.0,2.0,157.1,3.0,2.0,1219.0,3.0,2.0,284.4
4.0,5.0,178.5,4.0,5.0,117.5,4.0,5.0,238.9,3.0,5.0,525.2,3.0,4.0,1633.0,3.0,4.0,640.4
4.0,6.0,73.4,4.0,6.0,27.0,4.0,6.0,118.5,3.0,6.0,249.3,3.0,6.0,1148.0,3.0,5.0,1280.0
5.0,2.0,260.6,5.0,1.0,279.9,5.0,1.0,420.9,5.0,1.0,356.8,4.0,1.0,864.2,4.0,1.0,554.6
5.0,3.0,291.8,5.0,3.0,262.9,5.0,2.0,348.4,5.0,2.0,332.1,4.0,2.0,802.0,4.0,2.0,194.7
5.0,4.0,351.1,5.0,4.0,329.1,5.0,4.0,635.8,5.0,3.0,622.5,4.0,3.0,1496.0,4.0,3.0,591.5
5.0,6.0,344.3,5.0,6.0,270.5,5.0,6.0,417.9,5.0,6.0,240.9,4.0,6.0,633.6,4.0,5.0,839.8
6.0,2.0,113.3,6.0,1.0,68.0,6.0,1.0,212.7,6.0,1.0,159.1,6.0,1.0,1534.0,5.0,1.0,1745.0
6.0,3.0,165.0,6.0,3.0,60.3,6.0,2.0,134.3,6.0,2.0,85.8,6.0,2.0,1262.0,5.0,2.0,1348.0
6.0,4.0,174.5,6.0,4.0,48.9,6.0,4.0,217.9,6.0,3.0,228.5,6.0,3.0,1816.0,5.0,3.0,2046.0
6.0,5.0,376.4,6.0,5.0,179.2,6.0,5.0,340.4,6.0,5.0,230.9,6.0,4.0,978.2,5.0,4.0,1085.0
