1,山口 修路,山口 修路.1,2,北川 潤二,北川 潤二.1,3,岩永 節也,岩永 節也.1,4,山本 浩輔,山本 浩輔.1,5,郷原 章平,郷原 章平.1,6,大田 直弥,大田 直弥.1
2.0,3.0,19.3,1.0,3.0,24.8,1.0,2.0,130.4,1.0,2.0,201.4,1.0,2.0,80.3,1.0,2.0,875.5
2.0,4.0,20.9,1.0,4.0,24.8,1.0,4.0,219.2,1.0,3.0,494.0,1.0,3.0,232.1,1.0,3.0,2052.0
2.0,5.0,13.8,1.0,5.0,14.2,1.0,5.0,142.2,1.0,5.0,252.2,1.0,4.0,200.1,1.0,4.0,1400.0
2.0,6.0,23.2,1.0,6.0,28.5,1.0,6.0,283.5,1.0,6.0,353.3,1.0,6.0,164.2,1.0,5.0,945.0
3.0,2.0,37.8,3.0,1.0,44.0,2.0,1.0,125.6,2.0,1.0,185.1,2.0,1.0,61.1,2.0,1.0,850.5
3.0,4.0,72.8,3.0,4.0,38.0,2.0,4.0,97.3,2.0,3.0,208.8,2.0,3.0,85.9,2.0,3.0,654.2
3.0,5.0,47.7,3.0,5.0,23.4,2.0,5.0,57.9,2.0,5.0,93.0,2.0,4.0,82.9,2.0,4.0,668.9
3.0,6.0,126.8,3.0,6.0,54.2,2.0,6.0,121.3,2.0,6.0,180.6,2.0,6.0,63.5,2.0,5.0,246.0
4.0,2.0,55.3,4.0,1.0,65.4,4.0,1.0,354.3,3.0,1.0,592.3,3.0,1.0,276.9,3.0,1.0,1952.0
4.0,3.0,133.6,4.0,3.0,53.0,4.0,2.0,178.5,3.0,2.0,283.5,3.0,2.0,145.9,3.0,2.0,930.2
4.0,5.0,97.9,4.0,5.0,30.0,4.0,5.0,203.1,3.0,5.0,313.3,3.0,4.0,293.2,3.0,4.0,2018.0
4.0,6.0,140.4,4.0,6.0,68.7,4.0,6.0,322.6,3.0,6.0,502.4,3.0,6.0,271.8,3.0,5.0,1134.0
5.0,2.0,34.8,5.0,1.0,22.7,5.0,1.0,209.6,5.0,1.0,232.5,4.0,1.0,291.8,4.0,1.0,1112.0
5.0,3.0,66.5,5.0,3.0,29.6,5.0,2.0,101.5,5.0,2.0,108.5,4.0,2.0,123.6,4.0,2.0,744.2
5.0,4.0,104.7,5.0,4.0,27.6,5.0,4.0,221.7,5.0,3.0,302.2,4.0,3.0,352.2,4.0,3.0,1178.0
5.0,6.0,116.7,5.0,6.0,28.5,5.0,6.0,200.1,5.0,6.0,178.7,4.0,6.0,212.2,4.0,5.0,668.9
6.0,2.0,126.1,6.0,1.0,119.9,6.0,1.0,726.0,6.0,1.0,480.1,6.0,1.0,250.1,5.0,1.0,700.4
6.0,3.0,351.2,6.0,3.0,146.2,6.0,2.0,385.3,6.0,2.0,274.9,6.0,2.0,123.2,5.0,2.0,247.0
6.0,4.0,331.6,6.0,4.0,153.0,6.0,4.0,882.0,6.0,3.0,626.6,6.0,3.0,316.6,5.0,3.0,730.5
6.0,5.0,239.5,6.0,5.0,71.2,6.0,5.0,496.1,6.0,5.0,347.1,6.0,4.0,256.0,5.0,4.0,583.6
