1,佐藤　謙史朗,佐藤　謙史朗.1,2,藤森 陸斗,藤森 陸斗.1,3,上之 晃弘,上之 晃弘.1,4,山戸 信二,山戸 信二.1,5,安井 瑞紀,安井 瑞紀.1,6,西村 秀樹,西村 秀樹.1
2.0,3.0,8.8,1.0,3.0,28.4,1.0,2.0,33.2,1.0,2.0,94.7,1.0,2.0,149.6,1.0,2.0,852.7
2.0,4.0,16.9,1.0,4.0,46.1,1.0,4.0,22.7,1.0,3.0,78.5,1.0,3.0,85.0,1.0,3.0,693.2
2.0,5.0,21.9,1.0,5.0,72.6,1.0,5.0,32.4,1.0,5.0,107.5,1.0,4.0,147.0,1.0,4.0,1254.0
2.0,6.0,69.2,1.0,6.0,178.7,1.0,6.0,98.9,1.0,6.0,166.5,1.0,6.0,215.3,1.0,5.0,1122.0
3.0,2.0,8.3,3.0,1.0,70.5,2.0,1.0,58.7,2.0,1.0,168.1,2.0,1.0,228.6,2.0,1.0,1137.0
3.0,4.0,10.2,3.0,4.0,110.4,2.0,4.0,84.5,2.0,3.0,200.6,2.0,3.0,293.0,2.0,3.0,980.1
3.0,5.0,14.6,3.0,5.0,187.4,2.0,5.0,115.7,2.0,5.0,262.3,2.0,4.0,448.8,2.0,4.0,1705.0
3.0,6.0,45.1,3.0,6.0,311.2,2.0,6.0,213.1,2.0,6.0,380.6,2.0,6.0,484.5,2.0,5.0,1705.0
4.0,2.0,32.7,4.0,1.0,102.3,4.0,1.0,54.5,3.0,1.0,109.6,3.0,1.0,128.4,3.0,1.0,926.9
4.0,3.0,25.5,4.0,3.0,153.3,4.0,2.0,83.2,3.0,2.0,193.3,3.0,2.0,271.5,3.0,2.0,1470.0
4.0,5.0,48.0,4.0,5.0,220.3,4.0,5.0,96.2,3.0,5.0,172.9,3.0,4.0,257.6,3.0,4.0,1608.0
4.0,6.0,92.5,4.0,6.0,492.9,4.0,6.0,192.0,3.0,6.0,305.6,3.0,6.0,435.0,3.0,5.0,1740.0
5.0,2.0,50.8,5.0,1.0,200.6,5.0,1.0,86.3,5.0,1.0,133.4,4.0,1.0,204.9,4.0,1.0,1470.0
5.0,3.0,38.1,5.0,3.0,310.0,5.0,2.0,143.0,5.0,2.0,201.1,4.0,2.0,369.1,4.0,2.0,1672.0
5.0,4.0,63.4,5.0,4.0,315.8,5.0,4.0,138.2,5.0,3.0,205.9,4.0,3.0,264.0,4.0,3.0,1895.0
5.0,6.0,139.3,5.0,6.0,636.3,5.0,6.0,272.4,5.0,6.0,213.1,4.0,6.0,353.8,4.0,5.0,1470.0
6.0,2.0,157.3,6.0,1.0,775.2,6.0,1.0,303.4,6.0,1.0,304.5,6.0,1.0,375.6,5.0,1.0,1254.0
6.0,3.0,154.2,6.0,3.0,827.9,6.0,2.0,432.8,6.0,2.0,365.9,6.0,2.0,444.1,5.0,2.0,1550.0
6.0,4.0,198.7,6.0,4.0,1201.0,6.0,4.0,413.9,6.0,3.0,465.9,6.0,3.0,536.3,5.0,3.0,1672.0
6.0,5.0,218.0,6.0,5.0,958.1,6.0,5.0,451.1,6.0,5.0,384.1,6.0,4.0,536.3,5.0,4.0,1332.0
