1,平川 香織,平川 香織.1,2,森田 梨湖,森田 梨湖.1,3,筒井 美琴,筒井 美琴.1,4,平高 奈菜,平高 奈菜.1,5,犬童 千秋,犬童 千秋.1,6,岩崎 芳美,岩崎 芳美.1
2.0,3.0,91.6,1.0,3.0,607.7,1.0,2.0,419.2,1.0,2.0,148.8,1.0,2.0,365.1,1.0,2.0,552.2
2.0,4.0,70.6,1.0,4.0,635.7,1.0,4.0,136.8,1.0,3.0,87.1,1.0,3.0,217.2,1.0,3.0,467.9
2.0,5.0,120.9,1.0,5.0,908.8,1.0,5.0,178.5,1.0,5.0,17.7,1.0,4.0,60.5,1.0,4.0,113.2
2.0,6.0,125.2,1.0,6.0,945.6,1.0,6.0,237.6,1.0,6.0,17.4,1.0,6.0,64.0,1.0,5.0,180.2
3.0,2.0,86.9,3.0,1.0,769.3,2.0,1.0,701.6,2.0,1.0,488.1,2.0,1.0,1102.0,2.0,1.0,1367.0
3.0,4.0,21.3,3.0,4.0,1167.0,2.0,4.0,886.2,2.0,3.0,844.2,2.0,3.0,1667.0,2.0,3.0,2064.0
3.0,5.0,32.6,3.0,5.0,1501.0,2.0,5.0,1179.0,2.0,5.0,529.7,2.0,4.0,1145.0,2.0,4.0,1422.0
3.0,6.0,44.3,3.0,6.0,1684.0,2.0,6.0,1319.0,2.0,6.0,522.8,2.0,6.0,1275.0,2.0,5.0,1655.0
4.0,2.0,45.9,4.0,1.0,844.2,4.0,1.0,173.5,3.0,1.0,199.1,3.0,1.0,434.8,3.0,1.0,1033.0
4.0,3.0,17.6,4.0,3.0,1275.0,4.0,2.0,708.9,3.0,2.0,710.4,3.0,2.0,1346.0,3.0,2.0,2015.0
4.0,5.0,6.5,4.0,5.0,1149.0,4.0,5.0,200.1,3.0,5.0,211.1,3.0,4.0,541.2,3.0,4.0,877.0
4.0,6.0,7.0,4.0,6.0,1085.0,4.0,6.0,215.1,3.0,6.0,216.3,3.0,6.0,624.0,3.0,5.0,1231.0
5.0,2.0,104.5,5.0,1.0,1549.0,5.0,1.0,316.0,5.0,1.0,27.2,4.0,1.0,66.8,4.0,1.0,122.2
5.0,3.0,43.3,5.0,3.0,1956.0,5.0,2.0,1117.0,5.0,2.0,238.4,4.0,2.0,482.5,4.0,2.0,756.4
5.0,4.0,15.3,5.0,4.0,1542.0,5.0,4.0,294.5,5.0,3.0,152.5,4.0,3.0,312.4,4.0,3.0,558.1
5.0,6.0,19.5,5.0,6.0,1860.0,5.0,6.0,401.8,5.0,6.0,21.9,4.0,6.0,58.0,4.0,5.0,133.8
6.0,2.0,147.1,6.0,1.0,1745.0,6.0,1.0,549.5,6.0,1.0,32.9,6.0,1.0,104.5,5.0,1.0,228.4
6.0,3.0,74.0,6.0,3.0,2763.0,6.0,2.0,1870.0,6.0,2.0,260.6,6.0,2.0,563.2,5.0,2.0,1187.0
6.0,4.0,21.3,6.0,4.0,1680.0,6.0,4.0,451.9,6.0,3.0,179.4,6.0,3.0,390.9,5.0,3.0,820.6
6.0,5.0,31.4,6.0,5.0,2498.0,6.0,5.0,582.6,6.0,5.0,32.6,6.0,4.0,87.6,5.0,4.0,159.0
