1,石田 政吾,石田 政吾.1,2,新田 泰章,新田 泰章.1,3,高木 圭大,高木 圭大.1,4,北川 潤二,北川 潤二.1,5,熊本 英一,熊本 英一.1,6,尾嶋 一広,尾嶋 一広.1
2.0,3.0,18.4,1.0,3.0,32.6,1.0,2.0,295.3,1.0,2.0,51.1,1.0,2.0,1088.0,1.0,2.0,75.8
2.0,4.0,6.2,1.0,4.0,10.3,1.0,4.0,334.6,1.0,3.0,188.9,1.0,3.0,2192.0,1.0,3.0,287.2
2.0,5.0,65.1,1.0,5.0,85.9,1.0,5.0,733.9,1.0,5.0,226.9,1.0,4.0,1491.0,1.0,4.0,105.7
2.0,6.0,9.3,1.0,6.0,13.7,1.0,6.0,362.9,1.0,6.0,51.9,1.0,6.0,1471.0,1.0,5.0,528.5
3.0,2.0,38.4,3.0,1.0,110.8,2.0,1.0,362.9,2.0,1.0,60.1,2.0,1.0,1378.0,2.0,1.0,80.8
3.0,4.0,52.1,3.0,4.0,111.0,2.0,4.0,311.6,2.0,3.0,228.7,2.0,3.0,2134.0,2.0,3.0,279.8
3.0,5.0,188.0,3.0,5.0,311.3,2.0,5.0,737.2,2.0,5.0,256.9,2.0,4.0,1130.0,2.0,4.0,86.4
3.0,6.0,71.1,3.0,6.0,105.7,2.0,6.0,293.9,2.0,6.0,49.9,2.0,6.0,1317.0,2.0,5.0,517.6
4.0,2.0,15.1,4.0,1.0,27.9,4.0,1.0,501.7,3.0,1.0,468.6,3.0,1.0,3140.0,3.0,1.0,733.9
4.0,3.0,48.9,4.0,3.0,93.5,4.0,2.0,461.3,3.0,2.0,412.3,3.0,2.0,2767.0,3.0,2.0,574.0
4.0,5.0,127.5,4.0,5.0,171.0,4.0,5.0,1134.0,3.0,5.0,1004.0,3.0,4.0,3589.0,3.0,4.0,787.0
4.0,6.0,20.0,4.0,6.0,25.2,4.0,6.0,446.8,3.0,6.0,353.1,3.0,6.0,3202.0,3.0,5.0,2107.0
5.0,2.0,264.2,5.0,1.0,444.3,5.0,1.0,1616.0,5.0,1.0,364.9,4.0,1.0,1285.0,4.0,1.0,130.9
5.0,3.0,366.5,5.0,3.0,637.9,5.0,2.0,1360.0,5.0,2.0,318.6,4.0,2.0,892.4,4.0,2.0,103.2
5.0,4.0,401.7,5.0,4.0,469.2,5.0,4.0,1814.0,5.0,3.0,729.0,4.0,3.0,2493.0,4.0,3.0,415.5
5.0,6.0,324.9,5.0,6.0,394.4,5.0,6.0,1674.0,5.0,6.0,245.5,4.0,6.0,885.1,4.0,5.0,498.6
6.0,2.0,28.6,6.0,1.0,38.5,6.0,1.0,670.6,6.0,1.0,60.1,6.0,1.0,1692.0,5.0,1.0,1192.0
6.0,3.0,96.8,6.0,3.0,125.7,6.0,2.0,499.4,6.0,2.0,52.5,6.0,2.0,1383.0,5.0,2.0,1166.0
6.0,4.0,39.3,6.0,4.0,39.2,6.0,4.0,637.9,6.0,3.0,209.9,6.0,3.0,2634.0,5.0,3.0,2177.0
6.0,5.0,231.3,6.0,5.0,252.8,6.0,5.0,1794.0,6.0,5.0,192.8,6.0,4.0,1366.0,5.0,4.0,1023.0
