1,奥田 誠,奥田 誠.1,2,菊池 峰晴,菊池 峰晴.1,3,植田 太一,植田 太一.1,4,佐藤　隆太郎,佐藤　隆太郎.1,5,坂東 満,坂東 満.1,6,藤田 竜弘,藤田 竜弘.1
2.0,3.0,40.6,1.0,3.0,71.2,1.0,2.0,69.8,1.0,2.0,16.7,1.0,2.0,474.4,1.0,2.0,917.1
2.0,4.0,23.7,1.0,4.0,38.4,1.0,4.0,41.0,1.0,3.0,22.9,1.0,3.0,552.3,1.0,3.0,1401.0
2.0,5.0,158.9,1.0,5.0,182.1,1.0,5.0,177.8,1.0,5.0,39.8,1.0,4.0,420.3,1.0,4.0,649.5
2.0,6.0,129.1,1.0,6.0,148.0,1.0,6.0,161.6,1.0,6.0,30.4,1.0,6.0,792.3,1.0,5.0,1250.0
3.0,2.0,40.6,3.0,1.0,108.8,2.0,1.0,110.2,2.0,1.0,27.4,2.0,1.0,879.8,2.0,1.0,1441.0
3.0,4.0,27.2,3.0,4.0,55.4,2.0,4.0,45.2,2.0,3.0,23.7,2.0,3.0,1050.0,2.0,3.0,1121.0
3.0,5.0,131.7,3.0,5.0,210.4,2.0,5.0,182.3,2.0,5.0,51.3,2.0,4.0,684.7,2.0,4.0,507.8
3.0,6.0,141.5,3.0,6.0,182.5,2.0,6.0,172.7,2.0,6.0,36.7,2.0,6.0,1043.0,2.0,5.0,1644.0
4.0,2.0,15.7,4.0,1.0,47.6,4.0,1.0,39.5,3.0,1.0,32.5,3.0,1.0,1293.0,3.0,1.0,1058.0
4.0,3.0,20.3,4.0,3.0,42.8,4.0,2.0,34.5,3.0,2.0,26.3,3.0,2.0,1250.0,3.0,2.0,1155.0
4.0,5.0,64.9,4.0,5.0,104.1,4.0,5.0,70.8,3.0,5.0,63.2,3.0,4.0,809.2,3.0,4.0,507.8
4.0,6.0,52.4,4.0,6.0,81.4,4.0,6.0,51.4,3.0,6.0,39.8,3.0,6.0,1498.0,3.0,5.0,1593.0
5.0,2.0,295.5,5.0,1.0,439.9,5.0,1.0,314.6,5.0,1.0,48.1,4.0,1.0,289.9,4.0,1.0,475.8
5.0,3.0,271.2,5.0,3.0,481.9,5.0,2.0,308.8,5.0,2.0,45.9,4.0,2.0,271.2,4.0,2.0,389.0
5.0,4.0,207.3,5.0,4.0,339.3,5.0,4.0,190.5,5.0,3.0,69.7,4.0,3.0,347.8,4.0,3.0,422.7
5.0,6.0,468.5,5.0,6.0,617.6,5.0,6.0,422.7,5.0,6.0,35.3,4.0,6.0,277.1,4.0,5.0,562.5
6.0,2.0,320.6,6.0,1.0,496.1,6.0,1.0,308.8,6.0,1.0,48.5,6.0,1.0,900.8,5.0,1.0,1441.0
6.0,3.0,326.8,6.0,3.0,453.1,6.0,2.0,389.0,6.0,2.0,48.4,6.0,2.0,995.6,5.0,2.0,1681.0
6.0,4.0,204.2,6.0,4.0,254.3,6.0,4.0,153.6,6.0,3.0,59.6,6.0,3.0,1080.0,5.0,3.0,1991.0
6.0,5.0,501.1,6.0,5.0,703.8,6.0,5.0,437.3,6.0,5.0,47.4,6.0,4.0,527.3,5.0,4.0,809.2
