1,田頭 虎親,田頭 虎親.1,2,林 祐介,林 祐介.1,3,永井 源,永井 源.1,4,杉江 浩明,杉江 浩明.1,5,河野 大,河野 大.1,6,桂林 寛,桂林 寛.1
2.0,3.0,9.7,1.0,3.0,56.1,1.0,2.0,22.1,1.0,2.0,407.2,1.0,2.0,62.7,1.0,2.0,595.2
2.0,4.0,70.5,1.0,4.0,184.8,1.0,4.0,63.5,1.0,3.0,381.3,1.0,3.0,50.1,1.0,3.0,425.7
2.0,5.0,15.2,1.0,5.0,73.5,1.0,5.0,14.8,1.0,5.0,429.9,1.0,4.0,228.1,1.0,4.0,1044.0
2.0,6.0,53.2,1.0,6.0,226.8,1.0,6.0,42.0,1.0,6.0,749.5,1.0,6.0,112.3,1.0,5.0,513.8
3.0,2.0,7.2,3.0,1.0,93.4,2.0,1.0,60.7,2.0,1.0,574.4,2.0,1.0,141.5,2.0,1.0,943.0
3.0,4.0,33.4,3.0,4.0,401.6,2.0,4.0,290.0,2.0,3.0,845.9,2.0,3.0,157.6,2.0,3.0,1091.0
3.0,5.0,6.7,3.0,5.0,143.6,2.0,5.0,66.0,2.0,5.0,571.9,2.0,4.0,515.8,2.0,4.0,1624.0
3.0,6.0,26.7,3.0,6.0,372.6,2.0,6.0,201.4,2.0,6.0,974.4,2.0,6.0,292.9,2.0,5.0,749.5
4.0,2.0,128.1,4.0,1.0,526.1,4.0,1.0,205.8,3.0,1.0,455.9,3.0,1.0,71.3,3.0,1.0,518.9
4.0,3.0,112.9,4.0,3.0,1035.0,4.0,2.0,422.3,3.0,2.0,832.5,3.0,2.0,134.7,3.0,2.0,1044.0
4.0,5.0,163.3,4.0,5.0,946.4,4.0,5.0,256.4,3.0,5.0,585.9,3.0,4.0,362.8,3.0,4.0,1246.0
4.0,6.0,223.5,4.0,6.0,1399.0,4.0,6.0,394.4,3.0,6.0,963.7,3.0,6.0,175.5,3.0,5.0,707.2
5.0,2.0,16.6,5.0,1.0,163.8,5.0,1.0,31.9,5.0,1.0,520.9,4.0,1.0,414.3,4.0,1.0,1556.0
5.0,3.0,13.3,5.0,3.0,207.3,5.0,2.0,52.0,5.0,2.0,617.6,4.0,2.0,627.9,4.0,2.0,1644.0
5.0,4.0,98.5,5.0,4.0,753.8,5.0,4.0,163.0,5.0,3.0,616.1,4.0,3.0,548.1,4.0,3.0,1686.0
5.0,6.0,50.8,5.0,6.0,502.0,5.0,6.0,90.5,5.0,6.0,780.7,4.0,6.0,451.2,4.0,5.0,1235.0
6.0,2.0,134.8,6.0,1.0,635.5,6.0,1.0,153.8,6.0,1.0,1315.0,6.0,1.0,166.8,5.0,1.0,494.5
6.0,3.0,85.5,6.0,3.0,865.4,6.0,2.0,294.6,6.0,2.0,1529.0,6.0,2.0,242.2,5.0,2.0,756.0
6.0,4.0,250.0,6.0,4.0,1566.0,6.0,4.0,429.1,6.0,3.0,1503.0,6.0,3.0,208.1,5.0,3.0,627.9
6.0,5.0,127.9,6.0,5.0,879.9,6.0,5.0,194.4,6.0,5.0,1114.0,6.0,4.0,301.7,5.0,4.0,819.6
