1,大石 真央,大石 真央.1,2,田村 美和,田村 美和.1,3,加藤 綾,加藤 綾.1,4,福島 陽子,福島 陽子.1,5,大橋　栄里佳,大橋　栄里佳.1,6,伊藤 玲奈,伊藤 玲奈.1
2.0,3.0,12.4,1.0,3.0,104.7,1.0,2.0,46.7,1.0,2.0,250.9,1.0,2.0,179.2,1.0,2.0,566.4
2.0,4.0,31.5,1.0,4.0,172.4,1.0,4.0,36.9,1.0,3.0,148.8,1.0,3.0,74.6,1.0,3.0,403.8
2.0,5.0,26.8,1.0,5.0,154.2,1.0,5.0,21.6,1.0,5.0,168.8,1.0,4.0,188.1,1.0,4.0,884.2
2.0,6.0,32.9,1.0,6.0,241.4,1.0,6.0,47.7,1.0,6.0,280.1,1.0,6.0,124.4,1.0,5.0,426.8
3.0,2.0,11.4,3.0,1.0,171.9,2.0,1.0,118.7,2.0,1.0,404.5,2.0,1.0,330.0,2.0,1.0,793.8
3.0,4.0,10.9,3.0,4.0,303.7,2.0,4.0,182.7,2.0,3.0,531.9,2.0,3.0,403.0,2.0,3.0,970.2
3.0,5.0,7.5,3.0,5.0,272.8,2.0,5.0,158.8,2.0,5.0,566.4,2.0,4.0,597.0,2.0,4.0,1529.0
3.0,6.0,17.3,3.0,6.0,355.8,2.0,6.0,191.9,2.0,6.0,673.8,2.0,6.0,451.6,2.0,5.0,1541.0
4.0,2.0,46.6,4.0,1.0,362.5,4.0,1.0,68.9,3.0,1.0,166.7,3.0,1.0,86.8,3.0,1.0,486.2
4.0,3.0,26.0,4.0,3.0,414.1,4.0,2.0,172.4,3.0,2.0,411.7,3.0,2.0,274.6,3.0,2.0,1007.0
4.0,5.0,39.2,4.0,5.0,544.3,4.0,5.0,74.9,3.0,5.0,214.5,3.0,4.0,240.3,3.0,4.0,818.6
4.0,6.0,58.4,4.0,6.0,631.2,4.0,6.0,124.2,3.0,6.0,345.8,3.0,6.0,150.3,3.0,5.0,488.5
5.0,2.0,38.3,5.0,1.0,341.3,5.0,1.0,41.1,5.0,1.0,216.7,4.0,1.0,299.3,4.0,1.0,1225.0
5.0,3.0,18.0,5.0,3.0,425.1,5.0,2.0,121.3,5.0,2.0,475.2,4.0,2.0,629.3,4.0,2.0,1435.0
5.0,4.0,46.2,5.0,4.0,730.2,5.0,4.0,84.9,5.0,3.0,280.9,4.0,3.0,355.8,4.0,3.0,961.3
5.0,6.0,34.5,5.0,6.0,616.4,5.0,6.0,63.2,5.0,6.0,296.8,4.0,6.0,376.2,4.0,5.0,1254.0
6.0,2.0,96.0,6.0,1.0,684.8,6.0,1.0,148.8,6.0,1.0,552.9,6.0,1.0,207.7,5.0,1.0,448.7
6.0,3.0,72.9,6.0,3.0,884.2,6.0,2.0,368.9,6.0,2.0,911.2,6.0,2.0,526.5,5.0,2.0,1218.0
6.0,4.0,139.4,6.0,4.0,1151.0,6.0,4.0,244.5,6.0,3.0,590.3,6.0,3.0,238.6,5.0,3.0,488.5
6.0,5.0,85.9,6.0,5.0,1053.0,6.0,5.0,142.4,6.0,5.0,545.7,6.0,4.0,484.0,5.0,4.0,1037.0
