1,中田 元泰,中田 元泰.1,2,田村 慶,田村 慶.1,3,山下 和彦,山下 和彦.1,4,柘植 政浩,柘植 政浩.1,5,今垣　光太郎,今垣　光太郎.1,6,濱本 優一,濱本 優一.1
2.0,3.0,11.4,1.0,3.0,81.3,1.0,2.0,153.2,1.0,2.0,211.4,1.0,2.0,60.7,1.0,2.0,774.9
2.0,4.0,15.0,1.0,4.0,84.3,1.0,4.0,129.9,1.0,3.0,256.4,1.0,3.0,49.0,1.0,3.0,777.6
2.0,5.0,9.8,1.0,5.0,63.0,1.0,5.0,79.0,1.0,5.0,129.0,1.0,4.0,65.7,1.0,4.0,990.8
2.0,6.0,43.8,1.0,6.0,162.7,1.0,6.0,219.0,1.0,6.0,266.5,1.0,6.0,60.5,1.0,5.0,523.6
3.0,2.0,14.8,3.0,1.0,287.2,2.0,1.0,388.4,2.0,1.0,424.7,2.0,1.0,146.3,2.0,1.0,1320.0
3.0,4.0,13.7,3.0,4.0,720.4,2.0,4.0,710.0,2.0,3.0,831.9,2.0,3.0,291.0,2.0,3.0,1959.0
3.0,5.0,8.8,3.0,5.0,483.4,2.0,5.0,473.0,2.0,5.0,580.1,2.0,4.0,321.1,2.0,4.0,2284.0
3.0,6.0,34.6,3.0,6.0,1042.0,2.0,6.0,1008.0,2.0,6.0,1054.0,2.0,6.0,274.5,2.0,5.0,1591.0
4.0,2.0,22.6,4.0,1.0,340.2,4.0,1.0,332.7,3.0,1.0,432.6,3.0,1.0,130.4,3.0,1.0,1270.0
4.0,3.0,23.7,4.0,3.0,731.2,4.0,2.0,769.4,3.0,2.0,887.1,3.0,2.0,368.3,3.0,2.0,2505.0
4.0,5.0,19.3,4.0,5.0,558.1,4.0,5.0,375.8,3.0,5.0,560.9,3.0,4.0,302.8,3.0,4.0,1633.0
4.0,6.0,46.1,4.0,6.0,1044.0,4.0,6.0,748.5,3.0,6.0,920.5,3.0,6.0,287.8,3.0,5.0,1603.0
5.0,2.0,14.3,5.0,1.0,176.0,5.0,1.0,152.4,5.0,1.0,152.3,4.0,1.0,148.7,4.0,1.0,1455.0
5.0,3.0,13.0,5.0,3.0,391.9,5.0,2.0,412.8,5.0,2.0,381.4,4.0,2.0,361.7,4.0,2.0,2396.0
5.0,4.0,21.3,5.0,4.0,491.0,5.0,4.0,339.9,5.0,3.0,385.4,4.0,3.0,316.0,4.0,3.0,2060.0
5.0,6.0,29.2,5.0,6.0,591.8,5.0,6.0,403.7,5.0,6.0,277.6,4.0,6.0,225.1,4.0,5.0,1413.0
6.0,2.0,108.4,6.0,1.0,734.8,6.0,1.0,666.0,6.0,1.0,634.4,6.0,1.0,149.0,5.0,1.0,576.3
6.0,3.0,108.0,6.0,3.0,1332.0,6.0,2.0,984.1,6.0,2.0,1191.0,6.0,2.0,324.2,5.0,2.0,1249.0
6.0,4.0,120.7,6.0,4.0,1829.0,6.0,4.0,1238.0,6.0,3.0,1211.0,6.0,3.0,308.3,5.0,3.0,1201.0
6.0,5.0,84.9,6.0,5.0,1133.0,6.0,5.0,807.5,6.0,5.0,615.8,6.0,4.0,313.3,5.0,4.0,896.1
