1,金子 萌,金子 萌.1,2,立間 充宏,立間 充宏.1,3,田中 堅,田中 堅.1,4,久富 政弘,久富 政弘.1,5,池田 雄一,池田 雄一.1,6,松下 知幸,松下 知幸.1
2.0,3.0,9.4,1.0,3.0,22.1,1.0,2.0,124.5,1.0,2.0,299.5,1.0,2.0,33.3,1.0,2.0,1250.0
2.0,4.0,13.7,1.0,4.0,30.0,1.0,4.0,251.2,1.0,3.0,482.4,1.0,3.0,79.0,1.0,3.0,2703.0
2.0,5.0,5.4,1.0,5.0,11.8,1.0,5.0,131.9,1.0,5.0,244.0,1.0,4.0,119.9,1.0,4.0,2488.0
2.0,6.0,82.9,1.0,6.0,133.7,1.0,6.0,587.9,1.0,6.0,745.4,1.0,6.0,164.7,1.0,5.0,1673.0
3.0,2.0,17.9,3.0,1.0,60.4,2.0,1.0,143.8,2.0,1.0,399.6,2.0,1.0,43.2,2.0,1.0,1616.0
3.0,4.0,37.5,3.0,4.0,107.9,2.0,4.0,203.8,2.0,3.0,756.2,2.0,3.0,99.1,2.0,3.0,2118.0
3.0,5.0,20.2,3.0,5.0,51.7,2.0,5.0,117.4,2.0,5.0,348.9,2.0,4.0,160.0,2.0,4.0,2528.0
3.0,6.0,150.4,3.0,6.0,293.6,2.0,6.0,498.2,2.0,6.0,1054.0,2.0,6.0,203.0,2.0,5.0,1722.0
4.0,2.0,34.5,4.0,1.0,107.0,4.0,1.0,549.4,3.0,1.0,1009.0,3.0,1.0,192.6,3.0,1.0,3458.0
4.0,3.0,63.7,4.0,3.0,203.7,4.0,2.0,519.1,3.0,2.0,867.8,3.0,2.0,197.1,3.0,2.0,2375.0
4.0,5.0,40.8,4.0,5.0,100.5,4.0,5.0,515.1,3.0,5.0,1000.0,3.0,4.0,435.9,3.0,4.0,3383.0
4.0,6.0,207.5,4.0,6.0,470.8,4.0,6.0,1438.0,3.0,6.0,1851.0,3.0,6.0,576.4,3.0,5.0,2703.0
5.0,2.0,10.9,5.0,1.0,26.6,5.0,1.0,217.6,5.0,1.0,339.3,4.0,1.0,253.8,4.0,1.0,1984.0
5.0,3.0,24.1,5.0,3.0,50.7,5.0,2.0,183.3,5.0,2.0,342.3,4.0,2.0,275.0,4.0,2.0,3115.0
5.0,4.0,35.9,5.0,4.0,77.6,5.0,4.0,433.5,5.0,3.0,725.8,4.0,3.0,548.2,4.0,3.0,3484.0
5.0,6.0,103.9,5.0,6.0,183.0,5.0,6.0,700.9,5.0,6.0,730.3,4.0,6.0,581.4,4.0,5.0,4020.0
6.0,2.0,362.9,6.0,1.0,669.0,6.0,1.0,2045.0,6.0,1.0,1735.0,6.0,1.0,416.6,5.0,1.0,1959.0
6.0,3.0,490.4,6.0,3.0,863.0,6.0,2.0,1599.0,6.0,2.0,1599.0,6.0,2.0,396.2,5.0,2.0,1656.0
6.0,4.0,456.2,6.0,4.0,922.2,6.0,4.0,2239.0,6.0,3.0,2283.0,6.0,3.0,793.2,5.0,3.0,2570.0
6.0,5.0,397.6,6.0,5.0,512.3,6.0,5.0,1451.0,6.0,5.0,1621.0,6.0,4.0,835.4,5.0,4.0,3433.0
