1,小林 文彦,小林 文彦.1,2,嘉手苅　徹哉,嘉手苅　徹哉.1,3,竹下 大樹,竹下 大樹.1,4,齊藤 廉,齊藤 廉.1,5,佐藤　謙史朗,佐藤　謙史朗.1,6,今井 貴士,今井 貴士.1
2.0,3.0,71.0,1.0,3.0,321.8,1.0,2.0,93.7,1.0,2.0,906.2,1.0,2.0,213.7,1.0,2.0,107.4
2.0,4.0,223.6,1.0,4.0,862.9,1.0,4.0,77.6,1.0,3.0,534.6,1.0,3.0,75.5,1.0,3.0,17.5
2.0,5.0,164.3,1.0,5.0,652.5,1.0,5.0,32.9,1.0,5.0,759.1,1.0,4.0,166.3,1.0,4.0,102.8
2.0,6.0,82.5,1.0,6.0,347.2,1.0,6.0,11.5,1.0,6.0,496.5,1.0,6.0,68.1,1.0,5.0,35.8
3.0,2.0,38.9,3.0,1.0,419.5,2.0,1.0,264.5,2.0,1.0,1321.0,2.0,1.0,492.5,2.0,1.0,292.0
3.0,4.0,51.6,3.0,4.0,1334.0,2.0,4.0,626.2,2.0,3.0,1910.0,2.0,3.0,520.4,2.0,3.0,295.5
3.0,5.0,20.7,3.0,5.0,736.5,2.0,5.0,389.0,2.0,5.0,1750.0,2.0,4.0,664.1,2.0,4.0,615.8
3.0,6.0,6.5,3.0,6.0,445.8,2.0,6.0,238.5,2.0,6.0,1688.0,2.0,6.0,460.3,2.0,5.0,428.4
4.0,2.0,386.3,4.0,1.0,1635.0,4.0,1.0,217.4,3.0,1.0,673.5,3.0,1.0,97.4,3.0,1.0,23.0
4.0,3.0,173.6,4.0,3.0,2157.0,4.0,2.0,638.8,3.0,2.0,1603.0,3.0,2.0,336.9,3.0,2.0,143.2
4.0,5.0,346.7,4.0,5.0,2222.0,4.0,5.0,353.8,3.0,5.0,996.7,3.0,4.0,228.8,3.0,4.0,103.1
4.0,6.0,178.9,4.0,6.0,1827.0,4.0,6.0,169.3,3.0,6.0,582.0,3.0,6.0,82.6,3.0,5.0,37.9
5.0,2.0,183.9,5.0,1.0,1133.0,5.0,1.0,72.2,5.0,1.0,790.5,4.0,1.0,216.8,4.0,1.0,250.4
5.0,3.0,55.1,5.0,3.0,1073.0,5.0,2.0,275.8,5.0,2.0,1376.0,4.0,2.0,425.1,4.0,2.0,554.1
5.0,4.0,223.9,5.0,4.0,1807.0,5.0,4.0,208.1,5.0,3.0,865.2,4.0,3.0,290.6,4.0,3.0,257.9
5.0,6.0,52.8,5.0,6.0,985.0,5.0,6.0,55.3,5.0,6.0,544.2,4.0,6.0,216.2,4.0,5.0,281.0
6.0,2.0,48.2,6.0,1.0,417.2,6.0,1.0,16.0,6.0,1.0,616.4,6.0,1.0,70.0,5.0,1.0,49.9
6.0,3.0,7.8,6.0,3.0,436.5,6.0,2.0,102.4,6.0,2.0,1359.0,6.0,2.0,263.3,5.0,2.0,201.4
6.0,4.0,66.1,6.0,4.0,1017.0,6.0,4.0,71.6,6.0,3.0,645.5,6.0,3.0,69.5,5.0,3.0,51.8
6.0,5.0,22.0,6.0,5.0,682.4,6.0,5.0,26.9,6.0,5.0,668.8,6.0,4.0,154.3,5.0,4.0,123.2
