1,今井 貴士,今井 貴士.1,2,松崎　祐太郎,松崎　祐太郎.1,3,岩崎 正哉,岩崎 正哉.1,4,松尾 宣邦,松尾 宣邦.1,5,藤井 公人,藤井 公人.1,6,山口 広樹,山口 広樹.1
2.0,3.0,3.8,1.0,3.0,33.0,1.0,2.0,40.6,1.0,2.0,361.5,1.0,2.0,616.6,1.0,2.0,348.9
2.0,4.0,16.7,1.0,4.0,89.8,1.0,4.0,57.5,1.0,3.0,308.9,1.0,3.0,440.7,1.0,3.0,290.7
2.0,5.0,25.0,1.0,5.0,135.5,1.0,5.0,75.9,1.0,5.0,659.3,1.0,4.0,913.1,1.0,4.0,779.8
2.0,6.0,20.5,1.0,6.0,101.6,1.0,6.0,62.5,1.0,6.0,491.9,1.0,6.0,1028.0,1.0,5.0,1198.0
3.0,2.0,4.9,3.0,1.0,77.6,2.0,1.0,85.9,2.0,1.0,623.3,2.0,1.0,1421.0,2.0,1.0,585.0
3.0,4.0,9.5,3.0,4.0,216.8,2.0,4.0,242.2,2.0,3.0,805.1,2.0,3.0,1666.0,2.0,3.0,733.7
3.0,5.0,14.5,3.0,5.0,325.5,2.0,5.0,344.5,2.0,5.0,1843.0,2.0,4.0,3158.0,2.0,4.0,1601.0
3.0,6.0,10.7,3.0,6.0,226.5,2.0,6.0,248.9,2.0,6.0,1048.0,2.0,6.0,3089.0,2.0,5.0,2381.0
4.0,2.0,43.0,4.0,1.0,387.5,4.0,1.0,213.9,3.0,1.0,440.7,3.0,1.0,807.3,3.0,1.0,425.6
4.0,3.0,29.9,4.0,3.0,500.5,4.0,2.0,358.1,3.0,2.0,739.4,3.0,2.0,1524.0,3.0,2.0,774.5
4.0,5.0,114.7,4.0,5.0,1221.0,4.0,5.0,610.0,3.0,5.0,1064.0,3.0,4.0,2012.0,3.0,4.0,1354.0
4.0,6.0,76.7,4.0,6.0,876.7,4.0,6.0,389.9,3.0,6.0,898.7,3.0,6.0,2086.0,3.0,5.0,2125.0
5.0,2.0,82.0,5.0,1.0,647.3,5.0,1.0,277.7,5.0,1.0,1164.0,4.0,1.0,2109.0,4.0,1.0,1404.0
5.0,3.0,59.0,5.0,3.0,874.0,5.0,2.0,568.2,5.0,2.0,1880.0,4.0,2.0,3089.0,4.0,2.0,1971.0
5.0,4.0,190.1,5.0,4.0,1892.0,5.0,4.0,836.9,5.0,3.0,1661.0,4.0,3.0,2496.0,4.0,3.0,1753.0
5.0,6.0,195.4,5.0,6.0,1950.0,5.0,6.0,860.8,5.0,6.0,1131.0,4.0,6.0,2442.0,4.0,5.0,2507.0
6.0,2.0,54.1,6.0,1.0,479.1,6.0,1.0,254.6,6.0,1.0,874.0,6.0,1.0,2381.0,5.0,1.0,2540.0
6.0,3.0,40.9,6.0,3.0,676.4,6.0,2.0,488.1,6.0,2.0,1123.0,6.0,2.0,3572.0,5.0,2.0,3736.0
6.0,4.0,115.5,6.0,4.0,1154.0,6.0,4.0,550.7,6.0,3.0,1253.0,6.0,3.0,2872.0,5.0,3.0,3266.0
6.0,5.0,204.4,6.0,5.0,1924.0,6.0,5.0,903.0,6.0,5.0,1275.0,6.0,4.0,3008.0,5.0,4.0,3089.0
