1,中田 元泰,中田 元泰.1,2,下田 哲也,下田 哲也.1,3,川村 正輝,川村 正輝.1,4,谷口 健一,谷口 健一.1,5,木山 誠一,木山 誠一.1,6,井川 大作,井川 大作.1
2.0,3.0,4.7,1.0,3.0,56.6,1.0,2.0,42.4,1.0,2.0,311.8,1.0,2.0,333.3,1.0,2.0,864.4
2.0,4.0,9.5,1.0,4.0,91.6,1.0,4.0,92.8,1.0,3.0,317.8,1.0,3.0,286.0,1.0,3.0,810.0
2.0,5.0,14.6,1.0,5.0,132.2,1.0,5.0,124.2,1.0,5.0,408.6,1.0,4.0,420.4,1.0,4.0,1188.0
2.0,6.0,24.4,1.0,6.0,213.7,1.0,6.0,188.6,1.0,6.0,489.8,1.0,6.0,388.7,1.0,5.0,1176.0
3.0,2.0,5.6,3.0,1.0,141.0,2.0,1.0,109.0,2.0,1.0,579.2,2.0,1.0,600.2,2.0,1.0,1395.0
3.0,4.0,8.5,3.0,4.0,298.1,2.0,4.0,320.0,2.0,3.0,1048.0,2.0,3.0,1087.0,2.0,3.0,1963.0
3.0,5.0,12.9,3.0,5.0,456.0,2.0,5.0,402.2,2.0,5.0,1457.0,2.0,4.0,1387.0,2.0,4.0,1824.0
3.0,6.0,21.0,3.0,6.0,617.8,2.0,6.0,533.8,2.0,6.0,1092.0,2.0,6.0,1082.0,2.0,5.0,2603.0
4.0,2.0,22.0,4.0,1.0,314.3,4.0,1.0,276.4,3.0,1.0,500.3,3.0,1.0,617.8,3.0,1.0,941.7
4.0,3.0,21.1,4.0,3.0,477.6,4.0,2.0,532.6,3.0,2.0,957.3,3.0,2.0,1152.0,3.0,2.0,1716.0
4.0,5.0,37.2,4.0,5.0,815.7,4.0,5.0,508.0,3.0,5.0,1072.0,3.0,4.0,919.3,3.0,4.0,454.2
4.0,6.0,52.8,4.0,6.0,894.5,4.0,6.0,308.9,3.0,6.0,414.4,3.0,6.0,1158.0,3.0,5.0,2227.0
5.0,2.0,37.8,5.0,1.0,409.3,5.0,1.0,447.2,5.0,1.0,555.5,4.0,1.0,660.0,4.0,1.0,1554.0
5.0,3.0,38.9,5.0,3.0,726.2,5.0,2.0,652.6,5.0,2.0,901.4,4.0,2.0,1412.0,4.0,2.0,2106.0
5.0,4.0,61.0,5.0,4.0,1007.0,5.0,4.0,675.4,5.0,3.0,957.3,4.0,3.0,985.8,4.0,3.0,565.0
5.0,6.0,75.9,5.0,6.0,1135.0,5.0,6.0,961.3,5.0,6.0,762.1,4.0,6.0,1176.0,4.0,5.0,2491.0
6.0,2.0,87.1,6.0,1.0,754.6,6.0,1.0,614.5,6.0,1.0,757.1,6.0,1.0,744.9,5.0,1.0,1586.0
6.0,3.0,84.6,6.0,3.0,1294.0,6.0,2.0,1124.0,6.0,2.0,1141.0,6.0,2.0,1412.0,5.0,2.0,3357.0
6.0,4.0,144.0,6.0,4.0,1524.0,6.0,4.0,467.1,6.0,3.0,495.0,6.0,3.0,1339.0,5.0,3.0,3217.0
6.0,5.0,140.7,6.0,5.0,1728.0,6.0,5.0,1755.0,6.0,5.0,1219.0,6.0,4.0,1206.0,5.0,4.0,2293.0
