1,西村 秀樹,西村 秀樹.1,2,福嶋 智之,福嶋 智之.1,3,北中 元樹,北中 元樹.1,4,上之 晃弘,上之 晃弘.1,5,中村 守成,中村 守成.1,6,嶋田 有里,嶋田 有里.1
2.0,3.0,15.0,1.0,3.0,20.9,1.0,2.0,28.8,1.0,2.0,69.6,1.0,2.0,389.8,1.0,2.0,1603.0
2.0,4.0,17.6,1.0,4.0,26.8,1.0,4.0,23.9,1.0,3.0,58.0,1.0,3.0,392.5,1.0,3.0,1275.0
2.0,5.0,49.0,1.0,5.0,57.9,1.0,5.0,49.3,1.0,5.0,115.3,1.0,4.0,436.8,1.0,4.0,1935.0
2.0,6.0,183.1,1.0,6.0,224.1,1.0,6.0,173.5,1.0,6.0,307.6,1.0,6.0,1049.0,1.0,5.0,2440.0
3.0,2.0,17.9,3.0,1.0,24.6,2.0,1.0,26.9,2.0,1.0,76.4,2.0,1.0,515.0,2.0,1.0,2878.0
3.0,4.0,14.9,3.0,4.0,22.2,2.0,4.0,20.0,2.0,3.0,60.7,2.0,3.0,417.3,2.0,3.0,1840.0
3.0,5.0,34.9,3.0,5.0,55.9,2.0,5.0,48.7,2.0,5.0,121.1,2.0,4.0,558.5,2.0,4.0,2004.0
3.0,6.0,149.5,3.0,6.0,239.3,2.0,6.0,173.2,2.0,6.0,349.7,2.0,6.0,1336.0,2.0,5.0,2806.0
4.0,2.0,26.6,4.0,1.0,49.3,4.0,1.0,24.2,3.0,1.0,62.9,3.0,1.0,450.9,3.0,1.0,1969.0
4.0,3.0,22.8,4.0,3.0,35.6,4.0,2.0,22.5,3.0,2.0,54.8,3.0,2.0,387.1,3.0,2.0,2118.0
4.0,5.0,71.5,4.0,5.0,96.2,4.0,5.0,28.6,3.0,5.0,82.3,3.0,4.0,334.1,3.0,4.0,2118.0
4.0,6.0,181.9,4.0,6.0,303.4,4.0,6.0,146.3,3.0,6.0,361.0,3.0,6.0,1581.0,3.0,5.0,2673.0
5.0,2.0,119.3,5.0,1.0,205.6,5.0,1.0,77.1,5.0,1.0,147.5,4.0,1.0,539.7,4.0,1.0,2291.0
5.0,3.0,102.6,5.0,3.0,175.4,5.0,2.0,72.7,5.0,2.0,157.9,4.0,2.0,542.3,4.0,2.0,2041.0
5.0,4.0,147.3,5.0,4.0,216.7,5.0,4.0,74.7,5.0,3.0,134.6,4.0,3.0,371.7,4.0,3.0,2245.0
5.0,6.0,463.9,5.0,6.0,743.5,5.0,6.0,280.6,5.0,6.0,433.4,4.0,6.0,1049.0,4.0,5.0,3508.0
6.0,2.0,473.7,6.0,1.0,967.8,6.0,1.0,870.3,6.0,1.0,637.9,6.0,1.0,2551.0,5.0,1.0,3871.0
6.0,3.0,379.3,6.0,3.0,1030.0,6.0,2.0,719.7,6.0,2.0,668.3,6.0,2.0,2291.0,5.0,2.0,4158.0
6.0,4.0,458.2,6.0,4.0,1145.0,6.0,4.0,733.8,6.0,3.0,1030.0,6.0,3.0,2673.0,5.0,3.0,3302.0
6.0,5.0,785.1,6.0,5.0,1497.0,6.0,5.0,935.6,6.0,5.0,993.5,6.0,4.0,2245.0,5.0,4.0,3742.0
