1,黒井 達矢,黒井 達矢.1,2,平石 和男,平石 和男.1,3,原村 拓也,原村 拓也.1,4,仲谷 颯仁,仲谷 颯仁.1,5,廣中 良一,廣中 良一.1,6,芝田 浩治,芝田 浩治.1
2.0,3.0,18.1,1.0,3.0,106.9,1.0,2.0,162.2,1.0,2.0,16.4,1.0,2.0,1180.0,1.0,2.0,723.2
2.0,4.0,7.2,1.0,4.0,45.8,1.0,4.0,84.2,1.0,3.0,31.6,1.0,3.0,1300.0,1.0,3.0,1304.0
2.0,5.0,68.8,1.0,5.0,256.2,1.0,5.0,309.0,1.0,5.0,53.7,1.0,4.0,846.4,1.0,4.0,450.0
2.0,6.0,39.3,1.0,6.0,149.3,1.0,6.0,241.6,1.0,6.0,24.0,1.0,6.0,1582.0,1.0,5.0,1979.0
3.0,2.0,22.0,3.0,1.0,276.5,2.0,1.0,291.7,2.0,1.0,41.1,2.0,1.0,1868.0,2.0,1.0,1026.0
3.0,4.0,12.5,3.0,4.0,233.6,2.0,4.0,203.1,2.0,3.0,93.7,2.0,3.0,2311.0,2.0,3.0,1731.0
3.0,5.0,79.6,3.0,5.0,890.4,2.0,5.0,683.4,2.0,5.0,167.8,2.0,4.0,1762.0,2.0,4.0,739.4
3.0,6.0,54.7,3.0,6.0,541.8,2.0,6.0,534.2,2.0,6.0,73.5,2.0,6.0,2311.0,2.0,5.0,2643.0
4.0,2.0,5.4,4.0,1.0,74.6,4.0,1.0,104.8,3.0,1.0,74.8,3.0,1.0,2028.0,3.0,1.0,1731.0
4.0,3.0,7.9,4.0,3.0,161.3,4.0,2.0,152.0,3.0,2.0,110.5,3.0,2.0,2574.0,3.0,2.0,1971.0
4.0,5.0,37.6,4.0,5.0,486.6,4.0,5.0,421.8,3.0,5.0,278.6,3.0,4.0,2132.0,3.0,4.0,1368.0
4.0,6.0,13.7,4.0,6.0,175.1,4.0,6.0,231.4,3.0,6.0,136.8,3.0,6.0,3474.0,3.0,5.0,3144.0
5.0,2.0,229.8,5.0,1.0,1124.0,5.0,1.0,1075.0,5.0,1.0,113.5,4.0,1.0,765.6,4.0,1.0,435.8
5.0,3.0,286.5,5.0,3.0,1690.0,5.0,2.0,1368.0,5.0,2.0,173.1,4.0,2.0,1318.0,4.0,2.0,590.8
5.0,4.0,167.9,5.0,4.0,1242.0,5.0,4.0,1139.0,5.0,3.0,292.2,4.0,3.0,1562.0,4.0,3.0,983.9
5.0,6.0,296.1,5.0,6.0,1134.0,5.0,6.0,1713.0,5.0,6.0,117.3,4.0,6.0,959.2,4.0,5.0,1134.0
6.0,2.0,133.2,6.0,1.0,622.6,6.0,1.0,918.4,6.0,1.0,60.6,6.0,1.0,2447.0,5.0,1.0,3269.0
6.0,3.0,189.5,6.0,3.0,1119.0,6.0,2.0,1087.0,6.0,2.0,81.2,6.0,2.0,2922.0,5.0,2.0,3736.0
6.0,4.0,90.5,6.0,4.0,455.8,6.0,4.0,737.2,6.0,3.0,167.8,6.0,3.0,3822.0,5.0,3.0,5342.0
6.0,5.0,327.1,6.0,5.0,1762.0,6.0,5.0,2198.0,6.0,5.0,143.5,6.0,4.0,1587.0,5.0,4.0,1903.0
