1,森安 弘雅,森安 弘雅.1,2,伊藤 誠二,伊藤 誠二.1,3,山本 修一,山本 修一.1,4,石丸 小槙,石丸 小槙.1,5,橋口 真樹,橋口 真樹.1,6,菊池 峰晴,菊池 峰晴.1
2.0,3.0,6.7,1.0,3.0,15.1,1.0,2.0,16.2,1.0,2.0,172.1,1.0,2.0,433.2,1.0,2.0,309.4
2.0,4.0,32.6,1.0,4.0,53.5,1.0,4.0,55.7,1.0,3.0,184.9,1.0,3.0,415.0,1.0,3.0,333.1
2.0,5.0,35.9,1.0,5.0,63.9,1.0,5.0,53.4,1.0,5.0,270.6,1.0,4.0,767.5,1.0,4.0,679.6
2.0,6.0,19.2,1.0,6.0,34.8,1.0,6.0,31.3,1.0,6.0,202.6,1.0,6.0,505.8,1.0,5.0,674.4
3.0,2.0,8.0,3.0,1.0,24.3,2.0,1.0,23.2,2.0,1.0,220.9,2.0,1.0,522.1,2.0,1.0,343.7
3.0,4.0,31.5,3.0,4.0,84.8,2.0,4.0,79.2,2.0,3.0,236.3,2.0,3.0,412.1,2.0,3.0,264.9
3.0,5.0,30.5,3.0,5.0,83.8,2.0,5.0,75.6,2.0,5.0,340.4,2.0,4.0,726.7,2.0,4.0,594.5
3.0,6.0,18.3,3.0,6.0,40.8,2.0,6.0,35.9,2.0,6.0,229.0,2.0,6.0,511.6,2.0,5.0,716.5
4.0,2.0,76.5,4.0,1.0,163.0,4.0,1.0,133.6,3.0,1.0,266.5,3.0,1.0,510.2,3.0,1.0,378.0
4.0,3.0,84.7,4.0,3.0,176.9,4.0,2.0,136.1,3.0,2.0,275.6,3.0,2.0,423.9,3.0,2.0,274.3
4.0,5.0,189.2,4.0,5.0,356.1,4.0,5.0,202.2,3.0,5.0,423.4,3.0,4.0,782.7,3.0,4.0,726.7
4.0,6.0,124.5,4.0,6.0,223.8,4.0,6.0,167.5,3.0,6.0,321.9,3.0,6.0,369.4,3.0,5.0,491.8
5.0,2.0,114.4,5.0,1.0,252.0,5.0,1.0,194.6,5.0,1.0,279.5,4.0,1.0,666.9,4.0,1.0,757.7
5.0,3.0,118.0,5.0,3.0,216.3,5.0,2.0,173.6,5.0,2.0,280.8,4.0,2.0,535.5,4.0,2.0,712.2
5.0,4.0,276.0,5.0,4.0,465.5,5.0,4.0,298.0,5.0,3.0,380.4,4.0,3.0,731.2,4.0,3.0,927.4
5.0,6.0,183.7,5.0,6.0,312.6,5.0,6.0,182.2,5.0,6.0,263.2,4.0,6.0,527.6,4.0,5.0,1126.0
6.0,2.0,75.4,6.0,1.0,133.5,6.0,1.0,100.6,6.0,1.0,235.0,6.0,1.0,589.6,5.0,1.0,994.7
6.0,3.0,84.7,6.0,3.0,114.6,6.0,2.0,81.2,6.0,2.0,246.2,6.0,2.0,534.7,5.0,2.0,798.4
6.0,4.0,180.5,6.0,4.0,255.2,6.0,4.0,213.2,6.0,3.0,334.7,6.0,3.0,331.5,5.0,3.0,542.0
6.0,5.0,229.9,6.0,5.0,293.1,6.0,5.0,166.3,6.0,5.0,336.2,6.0,4.0,751.3,5.0,4.0,1123.0
