1,溝口　海義也,溝口　海義也.1,2,中尾 優香,中尾 優香.1,3,仲谷 颯仁,仲谷 颯仁.1,4,富永 修一,富永 修一.1,5,上野 秀和,上野 秀和.1,6,竹井 貴史,竹井 貴史.1
2.0,3.0,57.5,1.0,3.0,431.1,1.0,2.0,88.8,1.0,2.0,392.3,1.0,2.0,981.7,1.0,2.0,479.5
2.0,4.0,113.3,1.0,4.0,649.8,1.0,4.0,13.6,1.0,3.0,94.7,1.0,3.0,317.9,1.0,3.0,82.1
2.0,5.0,155.7,1.0,5.0,1079.0,1.0,5.0,26.2,1.0,5.0,207.8,1.0,4.0,687.9,1.0,4.0,168.6
2.0,6.0,117.0,1.0,6.0,641.6,1.0,6.0,10.9,1.0,6.0,96.1,1.0,6.0,383.8,1.0,5.0,268.0
3.0,2.0,30.6,3.0,1.0,593.3,2.0,1.0,309.7,2.0,1.0,907.7,2.0,1.0,1688.0,2.0,1.0,1021.0
3.0,4.0,6.0,3.0,4.0,844.1,2.0,4.0,439.4,2.0,3.0,1322.0,2.0,3.0,2287.0,2.0,3.0,1003.0
3.0,5.0,13.4,3.0,5.0,1669.0,2.0,5.0,644.3,2.0,5.0,1434.0,2.0,4.0,2691.0,2.0,4.0,1434.0
3.0,6.0,5.6,3.0,6.0,988.1,2.0,6.0,366.8,2.0,6.0,758.7,2.0,6.0,2299.0,2.0,5.0,2486.0
4.0,2.0,86.6,4.0,1.0,1115.0,4.0,1.0,38.7,3.0,1.0,111.3,3.0,1.0,350.5,3.0,1.0,101.1
4.0,3.0,17.9,4.0,3.0,1545.0,4.0,2.0,281.1,3.0,2.0,625.8,3.0,2.0,1719.0,3.0,2.0,756.2
4.0,5.0,59.5,4.0,5.0,1955.0,4.0,5.0,96.3,3.0,5.0,243.8,3.0,4.0,850.3,3.0,4.0,188.9
4.0,6.0,25.5,4.0,6.0,1622.0,4.0,6.0,40.3,3.0,6.0,111.2,3.0,6.0,507.2,3.0,5.0,397.1
5.0,2.0,186.5,5.0,1.0,1434.0,5.0,1.0,93.3,5.0,1.0,293.8,4.0,1.0,836.3,4.0,1.0,246.7
5.0,3.0,50.9,5.0,3.0,1997.0,5.0,2.0,492.9,5.0,2.0,876.4,4.0,2.0,1766.0,4.0,2.0,1152.0
5.0,4.0,117.7,5.0,4.0,2707.0,5.0,4.0,185.5,5.0,3.0,366.5,4.0,3.0,975.4,4.0,3.0,249.5
5.0,6.0,75.6,5.0,6.0,2599.0,5.0,6.0,120.4,5.0,6.0,306.2,4.0,6.0,935.5,4.0,5.0,722.7
6.0,2.0,125.3,6.0,1.0,1357.0,6.0,1.0,33.6,6.0,1.0,132.1,6.0,1.0,494.0,5.0,1.0,437.8
6.0,3.0,18.1,6.0,3.0,1572.0,6.0,2.0,259.9,6.0,2.0,540.1,6.0,2.0,1732.0,5.0,2.0,1681.0
6.0,4.0,38.7,6.0,4.0,1997.0,6.0,4.0,55.1,6.0,3.0,147.5,6.0,3.0,610.0,5.0,3.0,631.0
6.0,5.0,69.9,6.0,5.0,2555.0,6.0,5.0,106.7,6.0,5.0,273.9,6.0,4.0,1012.0,5.0,4.0,990.2
