1,佐藤　謙史朗,佐藤　謙史朗.1,2,中渡 修作,中渡 修作.1,3,樋口 亮,樋口 亮.1,4,古川 誠之,古川 誠之.1,5,木山 誠一,木山 誠一.1,6,富田 恕生,富田 恕生.1
2.0,3.0,21.4,1.0,3.0,86.6,1.0,2.0,43.8,1.0,2.0,127.5,1.0,2.0,686.9,1.0,2.0,541.7
2.0,4.0,27.5,1.0,4.0,103.5,1.0,4.0,13.8,1.0,3.0,46.8,1.0,3.0,389.4,1.0,3.0,243.1
2.0,5.0,89.6,1.0,5.0,310.8,1.0,5.0,56.2,1.0,5.0,149.3,1.0,4.0,555.7,1.0,4.0,302.8
2.0,6.0,56.1,1.0,6.0,191.8,1.0,6.0,27.7,1.0,6.0,71.1,1.0,6.0,575.4,1.0,5.0,775.3
3.0,2.0,16.7,3.0,1.0,139.1,2.0,1.0,107.6,2.0,1.0,197.6,2.0,1.0,1031.0,2.0,1.0,840.8
3.0,4.0,7.3,3.0,4.0,183.2,2.0,4.0,97.1,2.0,3.0,199.6,2.0,3.0,1275.0,2.0,3.0,857.5
3.0,5.0,42.6,3.0,5.0,644.2,2.0,5.0,318.9,2.0,5.0,464.1,2.0,4.0,1210.0,2.0,4.0,905.4
3.0,6.0,15.7,3.0,6.0,319.3,2.0,6.0,165.1,2.0,6.0,210.2,2.0,6.0,1392.0,2.0,5.0,1550.0
4.0,2.0,29.2,4.0,1.0,214.3,4.0,1.0,20.1,3.0,1.0,50.1,3.0,1.0,480.4,3.0,1.0,299.3
4.0,3.0,11.8,4.0,3.0,235.2,4.0,2.0,64.1,3.0,2.0,130.1,3.0,2.0,1092.0,3.0,2.0,727.4
4.0,5.0,65.8,4.0,5.0,830.0,4.0,5.0,50.9,3.0,5.0,119.8,3.0,4.0,459.1,3.0,4.0,184.3
4.0,6.0,23.3,4.0,6.0,352.8,4.0,6.0,20.9,3.0,6.0,54.2,3.0,6.0,633.1,3.0,5.0,733.6
5.0,2.0,207.0,5.0,1.0,846.3,5.0,1.0,183.1,5.0,1.0,208.6,4.0,1.0,523.1,4.0,1.0,317.3
5.0,3.0,119.0,5.0,3.0,1057.0,5.0,2.0,380.8,5.0,2.0,370.4,4.0,2.0,911.8,4.0,2.0,683.2
5.0,4.0,171.7,5.0,4.0,1239.0,5.0,4.0,147.6,5.0,3.0,194.5,4.0,3.0,461.6,4.0,3.0,194.2
5.0,6.0,162.3,5.0,6.0,1193.0,5.0,6.0,180.2,5.0,6.0,158.1,4.0,6.0,389.4,4.0,5.0,540.6
6.0,2.0,127.8,6.0,1.0,558.1,6.0,1.0,84.3,6.0,1.0,101.8,6.0,1.0,685.1,5.0,1.0,1145.0
6.0,3.0,47.5,6.0,3.0,616.5,6.0,2.0,210.0,6.0,2.0,214.0,6.0,2.0,1161.0,5.0,2.0,1773.0
6.0,4.0,59.7,6.0,4.0,634.7,6.0,4.0,58.1,6.0,3.0,80.7,6.0,3.0,657.2,5.0,3.0,915.0
6.0,5.0,194.5,6.0,5.0,1334.0,6.0,5.0,181.4,6.0,5.0,174.3,6.0,4.0,510.7,5.0,4.0,669.1
