1,松村 敏,松村 敏.1,2,柴田 光,柴田 光.1,3,水摩 敦,水摩 敦.1,4,渡邉 英児,渡邉 英児.1,5,岡村 将也,岡村 将也.1,6,大田 直弥,大田 直弥.1
2.0,3.0,4.7,1.0,3.0,32.5,1.0,2.0,59.5,1.0,2.0,231.6,1.0,2.0,515.8,1.0,2.0,1354.0
2.0,4.0,6.8,1.0,4.0,38.0,1.0,4.0,60.2,1.0,3.0,242.8,1.0,3.0,512.4,1.0,3.0,2470.0
2.0,5.0,13.5,1.0,5.0,77.7,1.0,5.0,74.9,1.0,5.0,290.9,1.0,4.0,687.8,1.0,4.0,2767.0
2.0,6.0,24.4,1.0,6.0,103.9,1.0,6.0,138.4,1.0,6.0,404.7,1.0,6.0,868.0,1.0,5.0,3646.0
3.0,2.0,7.6,3.0,1.0,122.8,2.0,1.0,132.6,2.0,1.0,425.9,2.0,1.0,1104.0,2.0,1.0,1877.0
3.0,4.0,10.5,3.0,4.0,273.3,2.0,4.0,266.2,2.0,3.0,824.4,2.0,3.0,2045.0,2.0,3.0,4389.0
3.0,5.0,15.9,3.0,5.0,496.5,2.0,5.0,400.4,2.0,5.0,1018.0,2.0,4.0,2591.0,2.0,4.0,4389.0
3.0,6.0,38.5,3.0,6.0,605.1,2.0,6.0,487.0,2.0,6.0,1007.0,2.0,6.0,1958.0,2.0,5.0,4994.0
4.0,2.0,15.2,4.0,1.0,212.1,4.0,1.0,104.6,3.0,1.0,323.1,3.0,1.0,817.5,3.0,1.0,3132.0
4.0,3.0,19.4,4.0,3.0,394.7,4.0,2.0,199.0,3.0,2.0,637.5,3.0,2.0,1740.0,3.0,2.0,4594.0
4.0,5.0,33.0,4.0,5.0,574.8,4.0,5.0,131.1,3.0,5.0,451.6,3.0,4.0,1346.0,3.0,4.0,4228.0
4.0,6.0,47.3,4.0,6.0,618.6,4.0,6.0,225.4,3.0,6.0,630.5,3.0,6.0,1689.0,3.0,5.0,4786.0
5.0,2.0,38.3,5.0,1.0,586.0,5.0,1.0,181.6,5.0,1.0,553.1,4.0,1.0,1088.0,4.0,1.0,3646.0
5.0,3.0,39.2,5.0,3.0,1180.0,5.0,2.0,423.8,5.0,2.0,1058.0,4.0,2.0,2127.0,4.0,2.0,5182.0
5.0,4.0,70.9,5.0,4.0,1126.0,5.0,4.0,242.3,5.0,3.0,847.7,4.0,3.0,1660.0,4.0,3.0,5426.0
5.0,6.0,107.3,5.0,6.0,1566.0,5.0,6.0,341.7,5.0,6.0,828.3,4.0,6.0,1852.0,4.0,5.0,5105.0
6.0,2.0,146.2,6.0,1.0,851.9,6.0,1.0,600.8,6.0,1.0,1202.0,6.0,1.0,2581.0,5.0,1.0,4688.0
6.0,3.0,190.6,6.0,3.0,1676.0,6.0,2.0,930.1,6.0,2.0,1877.0,6.0,2.0,3049.0,5.0,2.0,4923.0
6.0,4.0,217.7,6.0,4.0,1823.0,6.0,4.0,865.8,6.0,3.0,1936.0,6.0,3.0,3009.0,5.0,3.0,5221.0
6.0,5.0,292.6,6.0,5.0,2297.0,6.0,5.0,981.7,6.0,5.0,1518.0,6.0,4.0,3534.0,5.0,4.0,5105.0
