1,田中 京介,田中 京介.1,2,川添 英正,川添 英正.1,3,小川 広大,小川 広大.1,4,今井 貴士,今井 貴士.1,5,江藤 敦宏,江藤 敦宏.1,6,富永 修一,富永 修一.1
2.0,3.0,31.6,1.0,3.0,134.5,1.0,2.0,264.7,1.0,2.0,21.2,1.0,2.0,526.8,1.0,2.0,97.2
2.0,4.0,15.6,1.0,4.0,66.4,1.0,4.0,153.6,1.0,3.0,47.3,1.0,3.0,897.5,1.0,3.0,131.9
2.0,5.0,107.9,1.0,5.0,308.6,1.0,5.0,474.2,1.0,5.0,41.0,1.0,4.0,342.0,1.0,4.0,38.9
2.0,6.0,25.5,1.0,6.0,129.3,1.0,6.0,243.1,1.0,6.0,16.3,1.0,6.0,477.3,1.0,5.0,132.2
3.0,2.0,40.5,3.0,1.0,251.2,2.0,1.0,401.4,2.0,1.0,54.2,2.0,1.0,997.8,2.0,1.0,202.3
3.0,4.0,27.3,3.0,4.0,244.2,2.0,4.0,324.2,2.0,3.0,122.1,2.0,3.0,1467.0,2.0,3.0,402.7
3.0,5.0,131.5,3.0,5.0,832.6,2.0,5.0,913.3,2.0,5.0,128.4,2.0,4.0,839.3,2.0,4.0,135.4
3.0,6.0,43.2,3.0,6.0,479.9,2.0,6.0,570.3,2.0,6.0,62.3,2.0,6.0,1050.0,2.0,5.0,476.0
4.0,2.0,11.2,4.0,1.0,89.4,4.0,1.0,204.4,3.0,1.0,125.7,3.0,1.0,1527.0,3.0,1.0,356.9
4.0,3.0,22.8,4.0,3.0,204.9,4.0,2.0,300.9,3.0,2.0,179.9,3.0,2.0,1843.0,3.0,2.0,582.5
4.0,5.0,39.8,4.0,5.0,367.2,4.0,5.0,495.1,3.0,5.0,287.8,3.0,4.0,1488.0,3.0,4.0,271.8
4.0,6.0,11.4,4.0,6.0,129.9,4.0,6.0,208.9,3.0,6.0,131.3,3.0,6.0,1779.0,3.0,5.0,701.7
5.0,2.0,228.6,5.0,1.0,822.0,5.0,1.0,1130.0,5.0,1.0,83.7,4.0,1.0,300.5,4.0,1.0,30.8
5.0,3.0,261.9,5.0,3.0,1275.0,5.0,2.0,1407.0,5.0,2.0,135.7,4.0,2.0,469.1,4.0,2.0,55.1
5.0,4.0,142.6,5.0,4.0,892.9,5.0,4.0,995.9,5.0,3.0,240.5,4.0,3.0,738.7,4.0,3.0,104.7
5.0,6.0,212.1,5.0,6.0,1210.0,5.0,6.0,1128.0,5.0,6.0,69.5,4.0,6.0,209.0,4.0,5.0,48.6
6.0,2.0,32.5,6.0,1.0,274.3,6.0,1.0,409.7,6.0,1.0,22.4,6.0,1.0,630.8,5.0,1.0,282.8
6.0,3.0,49.5,6.0,3.0,575.4,6.0,2.0,641.7,6.0,2.0,37.9,6.0,2.0,986.4,5.0,2.0,524.7
6.0,4.0,19.0,6.0,4.0,206.1,6.0,4.0,295.4,6.0,3.0,77.8,6.0,3.0,1207.0,5.0,3.0,641.7
6.0,5.0,94.2,6.0,5.0,838.0,6.0,5.0,906.9,6.0,5.0,41.5,6.0,4.0,259.3,5.0,4.0,145.4
