1,浦田 信義,浦田 信義.1,2,古田 祐貴,古田 祐貴.1,3,平田 忠則,平田 忠則.1,4,岩永 雅人,岩永 雅人.1,5,中尾 彩香,中尾 彩香.1,6,深尾 巴恵,深尾 巴恵.1
2.0,3.0,17.5,1.0,3.0,15.0,1.0,2.0,23.2,1.0,2.0,102.9,1.0,2.0,418.8,1.0,2.0,514.9
2.0,4.0,29.2,1.0,4.0,25.4,1.0,4.0,25.5,1.0,3.0,89.5,1.0,3.0,321.8,1.0,3.0,501.9
2.0,5.0,87.6,1.0,5.0,82.3,1.0,5.0,62.6,1.0,5.0,213.2,1.0,4.0,617.9,1.0,4.0,832.6
2.0,6.0,128.2,1.0,6.0,112.4,1.0,6.0,78.3,1.0,6.0,193.3,1.0,6.0,620.7,1.0,5.0,1188.0
3.0,2.0,17.4,3.0,1.0,20.7,2.0,1.0,25.3,2.0,1.0,97.1,2.0,1.0,503.7,2.0,1.0,658.9
3.0,4.0,21.0,3.0,4.0,19.4,2.0,4.0,17.2,2.0,3.0,58.1,2.0,3.0,343.3,2.0,3.0,425.2
3.0,5.0,56.8,3.0,5.0,63.9,2.0,5.0,54.2,2.0,5.0,177.1,2.0,4.0,511.1,2.0,4.0,491.3
3.0,6.0,75.3,3.0,6.0,79.8,2.0,6.0,58.1,2.0,6.0,146.0,2.0,6.0,538.9,2.0,5.0,863.6
4.0,2.0,45.2,4.0,1.0,46.4,4.0,1.0,30.2,3.0,1.0,73.0,3.0,1.0,350.2,3.0,1.0,626.3
4.0,3.0,38.8,4.0,3.0,34.2,4.0,2.0,20.1,3.0,2.0,48.2,3.0,2.0,329.4,3.0,2.0,448.5
4.0,5.0,130.4,4.0,5.0,115.8,4.0,5.0,51.9,3.0,5.0,128.3,3.0,4.0,401.8,3.0,4.0,500.1
4.0,6.0,130.3,4.0,6.0,124.8,4.0,6.0,53.0,3.0,6.0,120.0,3.0,6.0,594.2,3.0,5.0,933.1
5.0,2.0,255.5,5.0,1.0,250.9,5.0,1.0,123.1,5.0,1.0,272.6,4.0,1.0,747.5,4.0,1.0,1198.0
5.0,3.0,192.0,5.0,3.0,186.6,5.0,2.0,110.7,5.0,2.0,239.7,4.0,2.0,596.7,4.0,2.0,567.5
5.0,4.0,302.9,5.0,4.0,305.5,5.0,4.0,130.0,5.0,3.0,240.9,4.0,3.0,482.7,4.0,3.0,541.0
5.0,6.0,322.6,5.0,6.0,311.0,5.0,6.0,158.5,5.0,6.0,256.5,4.0,6.0,579.3,4.0,5.0,993.1
6.0,2.0,349.3,6.0,1.0,275.8,6.0,1.0,168.9,6.0,1.0,295.8,6.0,1.0,586.6,5.0,1.0,1241.0
6.0,3.0,300.3,6.0,3.0,250.9,6.0,2.0,110.4,6.0,2.0,215.9,6.0,2.0,543.1,5.0,2.0,1069.0
6.0,4.0,324.1,6.0,4.0,273.7,6.0,4.0,122.6,6.0,3.0,244.3,6.0,3.0,541.0,5.0,3.0,1029.0
6.0,5.0,532.7,6.0,5.0,389.4,6.0,5.0,220.3,6.0,5.0,355.6,6.0,4.0,709.4,5.0,4.0,1061.0
