1,山田 佑樹,山田 佑樹.1,2,三好 勇人,三好 勇人.1,3,川島 圭司,川島 圭司.1,4,高倉 和士,高倉 和士.1,5,岡本 慎治,岡本 慎治.1,6,梅原 祥平,梅原 祥平.1
2.0,3.0,24.7,1.0,3.0,59.5,1.0,2.0,108.0,1.0,2.0,14.0,1.0,2.0,575.6,1.0,2.0,1577.0
2.0,4.0,9.0,1.0,4.0,29.6,1.0,4.0,52.6,1.0,3.0,19.2,1.0,3.0,677.9,1.0,3.0,2448.0
2.0,5.0,64.7,1.0,5.0,149.5,1.0,5.0,139.8,1.0,5.0,24.0,1.0,4.0,306.3,1.0,4.0,1028.0
2.0,6.0,171.2,1.0,6.0,334.8,1.0,6.0,386.0,1.0,6.0,67.9,1.0,6.0,1061.0,1.0,5.0,1918.0
3.0,2.0,29.4,3.0,1.0,154.9,2.0,1.0,249.3,2.0,1.0,33.0,2.0,1.0,919.1,2.0,1.0,2232.0
3.0,4.0,11.7,3.0,4.0,138.9,2.0,4.0,176.9,2.0,3.0,66.6,2.0,3.0,1339.0,2.0,3.0,3728.0
3.0,5.0,55.5,3.0,5.0,407.6,2.0,5.0,433.4,2.0,5.0,71.9,2.0,4.0,538.7,2.0,4.0,2360.0
3.0,6.0,167.3,3.0,6.0,1206.0,2.0,6.0,1065.0,2.0,6.0,176.5,2.0,6.0,2262.0,2.0,5.0,4434.0
4.0,2.0,6.6,4.0,1.0,46.9,4.0,1.0,62.2,3.0,1.0,54.6,3.0,1.0,1215.0,3.0,1.0,2780.0
4.0,3.0,7.7,4.0,3.0,93.0,4.0,2.0,113.2,3.0,2.0,80.2,3.0,2.0,1885.0,3.0,2.0,3953.0
4.0,5.0,17.3,4.0,5.0,142.9,4.0,5.0,145.3,3.0,5.0,105.8,3.0,4.0,1028.0,3.0,4.0,1736.0
4.0,6.0,55.9,4.0,6.0,403.5,4.0,6.0,358.9,3.0,6.0,249.3,3.0,6.0,2583.0,3.0,5.0,3860.0
5.0,2.0,144.9,5.0,1.0,526.6,5.0,1.0,535.2,5.0,1.0,44.0,4.0,1.0,271.8,4.0,1.0,1003.0
5.0,3.0,131.9,5.0,3.0,727.5,5.0,2.0,680.7,5.0,2.0,65.8,4.0,2.0,369.5,4.0,2.0,1754.0
5.0,4.0,81.6,5.0,4.0,358.2,5.0,4.0,427.8,5.0,3.0,105.7,4.0,3.0,627.3,4.0,3.0,1555.0
5.0,6.0,349.4,5.0,6.0,1562.0,5.0,6.0,1281.0,5.0,6.0,94.0,4.0,6.0,686.4,4.0,5.0,1674.0
6.0,2.0,401.6,6.0,1.0,1061.0,6.0,1.0,1307.0,6.0,1.0,163.1,6.0,1.0,1657.0,5.0,1.0,2430.0
6.0,3.0,445.8,6.0,3.0,2000.0,6.0,2.0,1247.0,6.0,2.0,238.4,6.0,2.0,2217.0,5.0,2.0,3771.0
6.0,4.0,260.6,6.0,4.0,1242.0,6.0,4.0,865.7,6.0,3.0,298.8,6.0,3.0,2504.0,5.0,3.0,4206.0
6.0,5.0,577.6,6.0,5.0,2232.0,6.0,5.0,1458.0,6.0,5.0,217.5,6.0,4.0,1439.0,5.0,4.0,2144.0
