1,大神 康司,大神 康司.1,2,尾形 栄治,尾形 栄治.1,3,伊藤 尚汰,伊藤 尚汰.1,4,岩津 徹郎,岩津 徹郎.1,5,鈴木 智啓,鈴木 智啓.1,6,天野 友和,天野 友和.1
2.0,3.0,13.8,1.0,3.0,70.1,1.0,2.0,63.7,1.0,2.0,111.7,1.0,2.0,194.1,1.0,2.0,391.1
2.0,4.0,12.3,1.0,4.0,60.2,1.0,4.0,39.0,1.0,3.0,101.0,1.0,3.0,186.7,1.0,3.0,421.0
2.0,5.0,21.9,1.0,5.0,88.0,1.0,5.0,46.6,1.0,5.0,100.1,1.0,4.0,187.3,1.0,4.0,354.6
2.0,6.0,25.3,1.0,6.0,98.5,1.0,6.0,55.3,1.0,6.0,88.4,1.0,6.0,152.7,1.0,5.0,524.9
3.0,2.0,16.2,3.0,1.0,164.0,2.0,1.0,139.9,2.0,1.0,207.0,2.0,1.0,377.9,2.0,1.0,689.4
3.0,4.0,10.3,3.0,4.0,246.1,2.0,4.0,160.5,2.0,3.0,350.1,2.0,3.0,758.1,2.0,3.0,942.0
3.0,5.0,17.5,3.0,5.0,339.8,2.0,5.0,223.6,2.0,5.0,392.7,2.0,4.0,646.1,2.0,4.0,753.6
3.0,6.0,23.7,3.0,6.0,345.6,2.0,6.0,222.1,2.0,6.0,329.8,2.0,6.0,523.5,2.0,5.0,1112.0
4.0,2.0,18.3,4.0,1.0,170.0,4.0,1.0,68.5,3.0,1.0,134.8,3.0,1.0,306.1,3.0,1.0,591.8
4.0,3.0,17.4,4.0,3.0,309.6,4.0,2.0,126.0,3.0,2.0,270.1,3.0,2.0,598.4,3.0,2.0,973.3
4.0,5.0,29.0,4.0,5.0,382.1,4.0,5.0,85.0,3.0,5.0,189.9,3.0,4.0,457.9,3.0,4.0,716.7
4.0,6.0,24.4,4.0,6.0,301.1,4.0,6.0,82.8,3.0,6.0,177.9,3.0,6.0,432.9,3.0,5.0,926.0
5.0,2.0,38.8,5.0,1.0,268.7,5.0,1.0,109.6,5.0,1.0,148.7,4.0,1.0,289.8,4.0,1.0,473.9
5.0,3.0,35.7,5.0,3.0,469.2,5.0,2.0,208.2,5.0,2.0,300.3,4.0,2.0,528.5,4.0,2.0,708.7
5.0,4.0,41.9,5.0,4.0,434.4,5.0,4.0,137.0,5.0,3.0,259.7,4.0,3.0,455.2,4.0,3.0,730.5
5.0,6.0,49.5,5.0,6.0,484.8,5.0,6.0,143.9,5.0,6.0,146.2,4.0,6.0,280.0,4.0,5.0,683.2
6.0,2.0,77.6,6.0,1.0,374.5,6.0,1.0,149.7,6.0,1.0,160.5,6.0,1.0,327.8,5.0,1.0,724.9
6.0,3.0,83.4,6.0,3.0,628.0,6.0,2.0,282.9,6.0,2.0,336.2,6.0,2.0,612.8,5.0,2.0,1139.0
6.0,4.0,65.9,6.0,4.0,443.5,6.0,4.0,173.3,6.0,3.0,305.2,6.0,3.0,586.4,5.0,3.0,988.5
6.0,5.0,97.6,6.0,5.0,703.4,6.0,5.0,222.6,6.0,5.0,222.6,6.0,4.0,398.1,5.0,4.0,724.9
