1,水摩 敦,水摩 敦.1,2,竹下 大樹,竹下 大樹.1,3,嘉手苅　徹哉,嘉手苅　徹哉.1,4,溝口　海義也,溝口　海義也.1,5,小川　日紀太,小川　日紀太.1,6,齊藤 廉,齊藤 廉.1
2.0,3.0,38.0,1.0,3.0,152.7,1.0,2.0,555.2,1.0,2.0,13.1,1.0,2.0,244.2,1.0,2.0,586.4
2.0,4.0,3.6,1.0,4.0,18.3,1.0,4.0,489.1,1.0,3.0,130.8,1.0,3.0,612.0,1.0,3.0,1792.0
2.0,5.0,20.3,1.0,5.0,73.1,1.0,5.0,916.6,1.0,5.0,24.8,1.0,4.0,217.1,1.0,4.0,605.6
2.0,6.0,24.3,1.0,6.0,99.8,1.0,6.0,1207.0,1.0,6.0,45.2,1.0,6.0,565.2,1.0,5.0,1352.0
3.0,2.0,97.7,3.0,1.0,639.9,2.0,1.0,805.9,2.0,1.0,24.3,2.0,1.0,398.6,2.0,1.0,752.2
3.0,4.0,84.3,3.0,4.0,681.7,2.0,4.0,839.1,2.0,3.0,228.3,2.0,3.0,1334.0,2.0,3.0,2188.0
3.0,5.0,205.9,3.0,5.0,1283.0,2.0,5.0,1485.0,2.0,5.0,55.4,2.0,4.0,441.9,2.0,4.0,757.9
3.0,6.0,289.4,3.0,6.0,1761.0,2.0,6.0,1602.0,2.0,6.0,86.2,2.0,6.0,950.9,2.0,5.0,1892.0
4.0,2.0,4.7,4.0,1.0,38.6,4.0,1.0,682.8,3.0,1.0,399.4,3.0,1.0,1627.0,3.0,1.0,2787.0
4.0,3.0,48.2,4.0,3.0,284.0,4.0,2.0,922.8,3.0,2.0,505.5,3.0,2.0,2408.0,3.0,2.0,3990.0
4.0,5.0,14.9,4.0,5.0,123.8,4.0,5.0,1296.0,3.0,5.0,488.0,3.0,4.0,2153.0,3.0,4.0,3363.0
4.0,6.0,26.6,4.0,6.0,173.3,4.0,6.0,1928.0,3.0,6.0,722.9,3.0,6.0,2380.0,3.0,5.0,3733.0
5.0,2.0,64.1,5.0,1.0,224.2,5.0,1.0,1884.0,5.0,1.0,49.1,4.0,1.0,209.8,4.0,1.0,582.2
5.0,3.0,202.0,5.0,3.0,906.4,5.0,2.0,2768.0,5.0,2.0,63.1,4.0,2.0,275.1,4.0,2.0,749.5
5.0,4.0,59.2,5.0,4.0,250.9,5.0,4.0,1800.0,5.0,3.0,349.6,4.0,3.0,770.8,4.0,3.0,2312.0
5.0,6.0,180.2,5.0,6.0,660.7,5.0,6.0,2299.0,5.0,6.0,92.5,4.0,6.0,552.9,4.0,5.0,1365.0
6.0,2.0,124.6,6.0,1.0,459.8,6.0,1.0,3037.0,6.0,1.0,112.8,6.0,1.0,1169.0,5.0,1.0,2352.0
6.0,3.0,531.3,6.0,3.0,2024.0,6.0,2.0,2768.0,6.0,2.0,142.1,6.0,2.0,1218.0,5.0,2.0,2749.0
6.0,4.0,133.8,6.0,4.0,450.2,6.0,4.0,2119.0,6.0,3.0,794.9,6.0,3.0,2695.0,5.0,3.0,3508.0
6.0,5.0,357.0,6.0,5.0,1384.0,6.0,5.0,2826.0,6.0,5.0,159.4,6.0,4.0,1048.0,5.0,4.0,1800.0
