1,宗行 治哉,宗行 治哉.1,2,和合 俊介,和合 俊介.1,3,渡辺 史之,渡辺 史之.1,4,冨田 秀幸,冨田 秀幸.1,5,河合 三弘,河合 三弘.1,6,吉永 泰弘,吉永 泰弘.1
2.0,3.0,8.6,1.0,3.0,90.2,1.0,2.0,105.8,1.0,2.0,190.2,1.0,2.0,318.3,1.0,2.0,1142.0
2.0,4.0,8.2,1.0,4.0,91.3,1.0,4.0,81.5,1.0,3.0,230.6,1.0,3.0,335.2,1.0,3.0,1804.0
2.0,5.0,14.4,1.0,5.0,141.2,1.0,5.0,96.6,1.0,5.0,165.4,1.0,4.0,239.7,1.0,4.0,1281.0
2.0,6.0,34.4,1.0,6.0,245.5,1.0,6.0,195.2,1.0,6.0,300.7,1.0,6.0,266.0,1.0,5.0,1277.0
3.0,2.0,8.7,3.0,1.0,209.3,2.0,1.0,222.8,2.0,1.0,371.2,2.0,1.0,668.9,2.0,1.0,2028.0
3.0,4.0,7.5,3.0,4.0,411.3,2.0,4.0,375.0,2.0,3.0,814.2,2.0,3.0,1289.0,2.0,3.0,3779.0
3.0,5.0,10.5,3.0,5.0,643.5,2.0,5.0,495.1,2.0,5.0,753.2,2.0,4.0,1335.0,2.0,4.0,3509.0
3.0,6.0,28.8,3.0,6.0,898.6,2.0,6.0,785.3,2.0,6.0,1052.0,2.0,6.0,1304.0,2.0,5.0,2498.0
4.0,2.0,14.2,4.0,1.0,264.2,4.0,1.0,183.6,3.0,1.0,400.8,3.0,1.0,757.1,3.0,1.0,2555.0
4.0,3.0,16.7,4.0,3.0,671.9,4.0,2.0,396.5,3.0,2.0,835.8,3.0,2.0,1426.0,3.0,2.0,4093.0
4.0,5.0,16.6,4.0,5.0,795.2,4.0,5.0,307.0,3.0,5.0,793.8,3.0,4.0,1386.0,3.0,4.0,3113.0
4.0,6.0,33.2,4.0,6.0,1002.0,4.0,6.0,620.9,3.0,6.0,1208.0,3.0,6.0,1819.0,3.0,5.0,4132.0
5.0,2.0,26.9,5.0,1.0,455.3,5.0,1.0,263.6,5.0,1.0,261.1,4.0,1.0,441.2,4.0,1.0,1768.0
5.0,3.0,25.4,5.0,3.0,907.9,5.0,2.0,566.8,5.0,2.0,698.4,4.0,2.0,1315.0,4.0,2.0,3624.0
5.0,4.0,23.4,5.0,4.0,1075.0,5.0,4.0,482.6,5.0,3.0,785.3,4.0,3.0,1352.0,4.0,3.0,3349.0
5.0,6.0,36.1,5.0,6.0,1339.0,5.0,6.0,770.2,5.0,6.0,503.0,4.0,6.0,829.5,4.0,5.0,2600.0
6.0,2.0,101.9,6.0,1.0,858.5,6.0,1.0,779.8,6.0,1.0,749.4,6.0,1.0,711.9,5.0,1.0,1315.0
6.0,3.0,108.3,6.0,3.0,2199.0,6.0,2.0,1430.0,6.0,2.0,1292.0,6.0,2.0,1905.0,5.0,2.0,3747.0
6.0,4.0,87.2,6.0,4.0,1768.0,6.0,4.0,1488.0,6.0,3.0,1579.0,6.0,3.0,2221.0,5.0,3.0,4654.0
6.0,5.0,87.2,6.0,5.0,1849.0,6.0,5.0,1377.0,6.0,5.0,928.8,6.0,4.0,1435.0,5.0,4.0,2555.0
