1,谷村 啓司,谷村 啓司.1,2,古賀 智之,古賀 智之.1,3,松尾 怜実,松尾 怜実.1,4,長尾　京志郎,長尾　京志郎.1,5,小川 晃司,小川 晃司.1,6,仲本 舜,仲本 舜.1
2.0,3.0,15.5,1.0,3.0,39.4,1.0,2.0,131.5,1.0,2.0,43.1,1.0,2.0,73.9,1.0,2.0,533.9
2.0,4.0,11.6,1.0,4.0,23.4,1.0,4.0,124.3,1.0,3.0,96.7,1.0,3.0,123.9,1.0,3.0,641.0
2.0,5.0,13.0,1.0,5.0,24.0,1.0,5.0,107.6,1.0,5.0,36.8,1.0,4.0,91.6,1.0,4.0,613.5
2.0,6.0,67.8,1.0,6.0,110.7,1.0,6.0,280.6,1.0,6.0,137.7,1.0,6.0,290.5,1.0,5.0,384.4
3.0,2.0,35.8,3.0,1.0,95.4,2.0,1.0,161.9,2.0,1.0,57.6,2.0,1.0,92.5,2.0,1.0,725.8
3.0,4.0,37.3,3.0,4.0,105.1,2.0,4.0,164.3,2.0,3.0,126.0,2.0,3.0,160.0,2.0,3.0,1109.0
3.0,5.0,36.0,3.0,5.0,87.2,2.0,5.0,131.3,2.0,5.0,43.9,2.0,4.0,98.5,2.0,4.0,748.6
3.0,6.0,92.8,3.0,6.0,334.5,2.0,6.0,443.3,2.0,6.0,188.6,2.0,6.0,400.9,2.0,5.0,522.2
4.0,2.0,19.1,4.0,1.0,42.9,4.0,1.0,174.3,3.0,1.0,178.5,3.0,1.0,241.3,3.0,1.0,973.2
4.0,3.0,38.7,4.0,3.0,81.9,4.0,2.0,173.3,3.0,2.0,193.4,3.0,2.0,259.2,3.0,2.0,1209.0
4.0,5.0,20.5,4.0,5.0,36.1,4.0,5.0,129.3,3.0,5.0,140.5,3.0,4.0,270.3,3.0,4.0,1305.0
4.0,6.0,90.8,4.0,6.0,163.6,4.0,6.0,377.6,3.0,6.0,391.4,3.0,6.0,720.9,3.0,5.0,846.3
5.0,2.0,28.7,5.0,1.0,56.2,5.0,1.0,173.7,5.0,1.0,50.5,4.0,1.0,112.0,4.0,1.0,673.3
5.0,3.0,54.2,5.0,3.0,104.4,5.0,2.0,184.7,5.0,2.0,48.7,4.0,2.0,102.6,4.0,2.0,644.9
5.0,4.0,33.6,5.0,4.0,59.6,5.0,4.0,173.5,5.0,3.0,102.7,4.0,3.0,194.8,4.0,3.0,1081.0
5.0,6.0,121.3,5.0,6.0,228.0,5.0,6.0,404.7,5.0,6.0,105.4,4.0,6.0,290.1,4.0,5.0,296.1
6.0,2.0,194.8,6.0,1.0,359.8,6.0,1.0,517.1,6.0,1.0,217.3,6.0,1.0,426.5,5.0,1.0,416.5
6.0,3.0,238.4,6.0,3.0,577.1,6.0,2.0,677.5,6.0,2.0,222.1,6.0,2.0,491.0,5.0,2.0,450.7
6.0,4.0,218.0,6.0,4.0,380.3,6.0,4.0,711.3,6.0,3.0,418.1,6.0,3.0,728.2,5.0,3.0,673.3
6.0,5.0,152.3,6.0,5.0,282.8,6.0,5.0,492.2,6.0,5.0,118.5,6.0,4.0,420.6,5.0,4.0,313.9
