1,西山 貴浩,西山 貴浩.1,2,三原 司,三原 司.1,3,枝尾 賢,枝尾 賢.1,4,犬童 千秋,犬童 千秋.1,5,溝口　海義也,溝口　海義也.1,6,松田 隆司,松田 隆司.1
2.0,3.0,10.7,1.0,3.0,154.1,1.0,2.0,57.0,1.0,2.0,339.5,1.0,2.0,168.1,1.0,2.0,1328.0
2.0,4.0,28.2,1.0,4.0,297.5,1.0,4.0,44.1,1.0,3.0,196.0,1.0,3.0,82.7,1.0,3.0,705.5
2.0,5.0,19.3,1.0,5.0,229.6,1.0,5.0,24.0,1.0,5.0,175.7,1.0,4.0,194.6,1.0,4.0,1504.0
2.0,6.0,50.7,1.0,6.0,453.9,1.0,6.0,55.6,1.0,6.0,362.1,1.0,6.0,145.1,1.0,5.0,1033.0
3.0,2.0,7.3,3.0,1.0,329.2,2.0,1.0,220.1,2.0,1.0,927.7,2.0,1.0,519.0,2.0,1.0,2144.0
3.0,4.0,9.0,3.0,4.0,1108.0,2.0,4.0,613.4,2.0,3.0,1691.0,2.0,3.0,812.1,2.0,3.0,3443.0
3.0,5.0,5.1,3.0,5.0,801.5,2.0,5.0,450.2,2.0,5.0,1365.0,2.0,4.0,1518.0,2.0,4.0,4746.0
3.0,6.0,11.5,3.0,6.0,1231.0,2.0,6.0,761.5,2.0,6.0,1987.0,2.0,6.0,929.5,2.0,5.0,4569.0
4.0,2.0,45.6,4.0,1.0,953.0,4.0,1.0,165.5,3.0,1.0,350.4,3.0,1.0,133.4,3.0,1.0,997.8
4.0,3.0,28.1,4.0,3.0,2028.0,4.0,2.0,591.9,3.0,2.0,1253.0,3.0,2.0,507.7,3.0,2.0,2981.0
4.0,5.0,34.1,4.0,5.0,1572.0,4.0,5.0,229.3,3.0,5.0,671.6,3.0,4.0,519.5,3.0,4.0,2295.0
4.0,6.0,72.3,4.0,6.0,2328.0,4.0,6.0,430.0,3.0,6.0,945.7,3.0,6.0,367.6,3.0,5.0,1709.0
5.0,2.0,25.3,5.0,1.0,653.6,5.0,1.0,78.9,5.0,1.0,226.9,4.0,1.0,367.3,4.0,1.0,2028.0
5.0,3.0,12.6,5.0,3.0,1276.0,5.0,2.0,313.0,5.0,2.0,646.7,4.0,2.0,956.8,4.0,2.0,5146.0
5.0,4.0,36.2,5.0,4.0,1797.0,5.0,4.0,243.2,5.0,3.0,492.8,4.0,3.0,710.6,4.0,3.0,2793.0
5.0,6.0,39.4,5.0,6.0,2080.0,5.0,6.0,300.1,5.0,6.0,463.8,4.0,6.0,604.3,4.0,5.0,3543.0
6.0,2.0,133.1,6.0,1.0,1582.0,6.0,1.0,387.7,6.0,1.0,762.7,6.0,1.0,413.3,5.0,1.0,1195.0
6.0,3.0,56.9,6.0,3.0,3114.0,6.0,2.0,1279.0,6.0,2.0,2222.0,6.0,2.0,854.7,5.0,2.0,4040.0
6.0,4.0,167.7,6.0,4.0,4007.0,6.0,4.0,1025.0,6.0,3.0,1608.0,6.0,3.0,579.9,5.0,3.0,1902.0
6.0,5.0,103.3,6.0,5.0,3543.0,6.0,5.0,638.2,6.0,5.0,1325.0,6.0,4.0,966.2,5.0,4.0,2859.0
