1,長野　壮志郎,長野　壮志郎.1,2,乙津 康志,乙津 康志.1,3,酒見 峻介,酒見 峻介.1,4,仲谷 颯仁,仲谷 颯仁.1,5,芝田 浩治,芝田 浩治.1,6,大庭 元明,大庭 元明.1
2.0,3.0,22.3,1.0,3.0,196.0,1.0,2.0,107.1,1.0,2.0,80.4,1.0,2.0,514.8,1.0,2.0,631.3
2.0,4.0,15.7,1.0,4.0,188.3,1.0,4.0,31.3,1.0,3.0,39.2,1.0,3.0,296.6,1.0,3.0,1377.0
2.0,5.0,36.9,1.0,5.0,345.9,1.0,5.0,51.9,1.0,5.0,41.5,1.0,4.0,244.0,1.0,4.0,1141.0
2.0,6.0,69.8,1.0,6.0,292.6,1.0,6.0,129.5,1.0,6.0,92.4,1.0,6.0,581.2,1.0,5.0,2059.0
3.0,2.0,18.5,3.0,1.0,380.3,2.0,1.0,284.1,2.0,1.0,200.7,2.0,1.0,1123.0,2.0,1.0,758.7
3.0,4.0,6.3,3.0,4.0,591.6,2.0,4.0,329.1,2.0,3.0,415.4,2.0,3.0,1794.0,2.0,3.0,1888.0
3.0,5.0,14.6,3.0,5.0,1027.0,2.0,5.0,511.1,2.0,5.0,329.3,2.0,4.0,1578.0,2.0,4.0,2883.0
3.0,6.0,49.2,3.0,6.0,1359.0,2.0,6.0,721.9,2.0,6.0,586.7,2.0,6.0,1619.0,2.0,5.0,3133.0
4.0,2.0,11.2,4.0,1.0,356.2,4.0,1.0,42.0,3.0,1.0,55.1,3.0,1.0,416.6,3.0,1.0,1872.0
4.0,3.0,7.4,4.0,3.0,624.9,4.0,2.0,135.1,3.0,2.0,181.4,3.0,2.0,1355.0,3.0,2.0,2485.0
4.0,5.0,10.7,4.0,5.0,743.0,4.0,5.0,43.2,3.0,5.0,59.9,3.0,4.0,480.5,3.0,4.0,1930.0
4.0,6.0,33.1,4.0,6.0,834.8,4.0,6.0,84.2,3.0,6.0,106.3,3.0,6.0,1094.0,3.0,5.0,3251.0
5.0,2.0,55.9,5.0,1.0,1032.0,5.0,1.0,101.9,5.0,1.0,82.3,4.0,1.0,292.8,4.0,1.0,1470.0
5.0,3.0,40.1,5.0,3.0,1772.0,5.0,2.0,272.8,5.0,2.0,198.4,4.0,2.0,879.0,4.0,2.0,3227.0
5.0,4.0,33.1,5.0,4.0,1555.0,5.0,4.0,100.5,5.0,3.0,111.3,4.0,3.0,474.1,4.0,3.0,2079.0
5.0,6.0,108.2,5.0,6.0,2079.0,5.0,6.0,229.9,5.0,6.0,153.9,4.0,6.0,655.2,4.0,5.0,2416.0
6.0,2.0,139.8,6.0,1.0,631.3,6.0,1.0,457.1,6.0,1.0,337.6,6.0,1.0,1512.0,5.0,1.0,2864.0
6.0,3.0,214.5,6.0,3.0,2130.0,6.0,2.0,844.6,6.0,2.0,777.8,6.0,2.0,2457.0,5.0,2.0,3793.0
6.0,4.0,157.8,6.0,4.0,2162.0,6.0,4.0,435.5,6.0,3.0,586.7,6.0,3.0,2195.0,5.0,3.0,3665.0
6.0,5.0,276.5,6.0,5.0,2264.0,6.0,5.0,565.3,6.0,5.0,447.2,6.0,4.0,1601.0,5.0,4.0,2621.0
