1,松江 秀徳,松江 秀徳.1,2,内山 峻輔,内山 峻輔.1,3,堀本 翔太,堀本 翔太.1,4,金山 立樹,金山 立樹.1,5,白水 勝也,白水 勝也.1,6,渡辺 真至,渡辺 真至.1
2.0,3.0,21.8,1.0,3.0,73.4,1.0,2.0,373.5,1.0,2.0,135.5,1.0,2.0,52.9,1.0,2.0,355.8
2.0,4.0,10.3,1.0,4.0,30.5,1.0,4.0,431.7,1.0,3.0,417.0,1.0,3.0,176.4,1.0,3.0,913.8
2.0,5.0,7.2,1.0,5.0,21.5,1.0,5.0,300.1,1.0,5.0,85.6,1.0,4.0,121.5,1.0,4.0,594.9
2.0,6.0,16.3,1.0,6.0,41.5,1.0,6.0,455.2,1.0,6.0,129.2,1.0,6.0,52.3,1.0,5.0,261.2
3.0,2.0,45.7,3.0,1.0,249.3,2.0,1.0,499.7,2.0,1.0,210.0,2.0,1.0,83.8,2.0,1.0,497.0
3.0,4.0,58.8,3.0,4.0,319.7,2.0,4.0,633.8,2.0,3.0,719.3,2.0,3.0,406.5,2.0,3.0,1681.0
3.0,5.0,40.9,3.0,5.0,222.5,2.0,5.0,523.1,2.0,5.0,195.4,2.0,4.0,232.6,2.0,4.0,757.8
3.0,6.0,71.8,3.0,6.0,291.1,2.0,6.0,690.9,2.0,6.0,234.8,2.0,6.0,96.2,2.0,5.0,391.8
4.0,2.0,20.7,4.0,1.0,107.7,4.0,1.0,844.7,3.0,1.0,954.1,3.0,1.0,520.9,3.0,1.0,1608.0
4.0,3.0,61.9,4.0,3.0,288.6,4.0,2.0,900.4,3.0,2.0,1092.0,3.0,2.0,780.2,3.0,2.0,2471.0
4.0,5.0,18.6,4.0,5.0,103.6,4.0,5.0,608.7,3.0,5.0,781.9,3.0,4.0,1014.0,3.0,4.0,2259.0
4.0,6.0,31.3,4.0,6.0,128.0,4.0,6.0,768.8,3.0,6.0,907.1,3.0,6.0,835.1,3.0,5.0,1928.0
5.0,2.0,13.2,5.0,1.0,62.7,5.0,1.0,536.0,5.0,1.0,115.9,4.0,1.0,173.7,4.0,1.0,850.5
5.0,3.0,46.5,5.0,3.0,213.0,5.0,2.0,814.8,5.0,2.0,173.8,4.0,2.0,230.7,4.0,2.0,979.5
5.0,4.0,21.9,5.0,4.0,115.1,5.0,4.0,902.6,5.0,3.0,544.8,4.0,3.0,673.3,4.0,3.0,1959.0
5.0,6.0,18.0,5.0,6.0,76.7,5.0,6.0,747.0,5.0,6.0,98.3,4.0,6.0,166.4,4.0,5.0,612.8
6.0,2.0,54.6,6.0,1.0,169.0,6.0,1.0,1061.0,6.0,1.0,291.3,6.0,1.0,91.3,5.0,1.0,252.9
6.0,3.0,158.1,6.0,3.0,427.2,6.0,2.0,1497.0,6.0,2.0,384.4,6.0,2.0,110.5,5.0,2.0,369.7
6.0,4.0,76.1,6.0,4.0,226.3,6.0,4.0,1433.0,6.0,3.0,932.3,6.0,3.0,465.6,5.0,3.0,1119.0
6.0,5.0,44.8,6.0,5.0,144.9,6.0,5.0,1096.0,6.0,5.0,185.5,6.0,4.0,214.8,5.0,4.0,484.5
