1,下寺 秀和,下寺 秀和.1,2,百武 翔,百武 翔.1,3,柴田 朋哉,柴田 朋哉.1,4,白水 勝也,白水 勝也.1,5,稗田 聖也,稗田 聖也.1,6,荒井 輝年,荒井 輝年.1
2.0,3.0,12.1,1.0,3.0,58.6,1.0,2.0,102.6,1.0,2.0,67.0,1.0,2.0,274.2,1.0,2.0,207.6
2.0,4.0,8.3,1.0,4.0,35.3,1.0,4.0,69.0,1.0,3.0,95.8,1.0,3.0,348.7,1.0,3.0,347.2
2.0,5.0,24.2,1.0,5.0,99.2,1.0,5.0,120.5,1.0,5.0,86.2,1.0,4.0,269.3,1.0,4.0,163.2
2.0,6.0,21.2,1.0,6.0,79.6,1.0,6.0,98.3,1.0,6.0,61.2,1.0,6.0,293.4,1.0,5.0,459.0
3.0,2.0,15.0,3.0,1.0,181.5,2.0,1.0,204.9,2.0,1.0,148.5,2.0,1.0,479.8,2.0,1.0,394.2
3.0,4.0,11.5,3.0,4.0,225.1,2.0,4.0,319.5,2.0,3.0,349.0,2.0,3.0,945.1,2.0,3.0,1112.0
3.0,5.0,23.3,3.0,5.0,511.4,2.0,5.0,449.3,2.0,5.0,322.6,2.0,4.0,532.5,2.0,4.0,560.7
3.0,6.0,22.8,3.0,6.0,399.6,2.0,6.0,339.6,2.0,6.0,233.8,2.0,6.0,811.7,2.0,5.0,1327.0
4.0,2.0,11.9,4.0,1.0,100.4,4.0,1.0,128.1,3.0,1.0,172.5,3.0,1.0,627.9,3.0,1.0,556.0
4.0,3.0,17.6,4.0,3.0,205.9,4.0,2.0,277.0,3.0,2.0,408.0,3.0,2.0,1035.0,3.0,2.0,1320.0
4.0,5.0,24.5,4.0,5.0,338.1,4.0,5.0,234.3,3.0,5.0,362.6,3.0,4.0,835.0,3.0,4.0,695.4
4.0,6.0,17.2,4.0,6.0,215.9,4.0,6.0,190.5,3.0,6.0,277.5,3.0,6.0,904.7,3.0,5.0,1407.0
5.0,2.0,48.7,5.0,1.0,342.1,5.0,1.0,305.5,5.0,1.0,145.8,4.0,1.0,384.4,4.0,1.0,238.8
5.0,3.0,59.9,5.0,3.0,842.6,5.0,2.0,625.4,5.0,2.0,280.3,4.0,2.0,539.3,4.0,2.0,465.9
5.0,4.0,53.6,5.0,4.0,514.8,5.0,4.0,377.9,5.0,3.0,366.3,4.0,3.0,741.9,4.0,3.0,663.7
5.0,6.0,55.7,5.0,6.0,632.2,5.0,6.0,403.4,5.0,6.0,151.0,4.0,6.0,373.6,4.0,5.0,462.2
6.0,2.0,53.1,6.0,1.0,297.5,6.0,1.0,313.3,6.0,1.0,118.9,6.0,1.0,523.5,5.0,1.0,806.1
6.0,3.0,71.0,6.0,3.0,717.9,6.0,2.0,606.7,6.0,2.0,226.8,6.0,2.0,899.5,5.0,2.0,1312.0
6.0,4.0,44.9,6.0,4.0,395.8,6.0,4.0,389.9,6.0,3.0,310.0,6.0,3.0,947.0,5.0,3.0,1320.0
6.0,5.0,83.6,6.0,5.0,821.8,6.0,5.0,571.7,6.0,5.0,186.2,6.0,4.0,473.0,5.0,4.0,585.3
