1,和合 俊介,和合 俊介.1,2,西尾 亮輔,西尾 亮輔.1,3,木場　雄二郎,木場　雄二郎.1,4,籾山 佳岳,籾山 佳岳.1,5,花田 凱成,花田 凱成.1,6,松山 裕基,松山 裕基.1
2.0,3.0,9.3,1.0,3.0,20.6,1.0,2.0,38.6,1.0,2.0,52.0,1.0,2.0,556.6,1.0,2.0,331.5
2.0,4.0,12.3,1.0,4.0,18.4,1.0,4.0,26.2,1.0,3.0,45.8,1.0,3.0,652.3,1.0,3.0,387.6
2.0,5.0,94.2,1.0,5.0,127.8,1.0,5.0,163.9,1.0,5.0,195.0,1.0,4.0,693.3,1.0,4.0,416.9
2.0,6.0,40.4,1.0,6.0,45.2,1.0,6.0,61.0,1.0,6.0,76.3,1.0,6.0,631.9,1.0,5.0,1019.0
3.0,2.0,11.4,3.0,1.0,47.1,2.0,1.0,59.9,2.0,1.0,72.0,2.0,1.0,767.9,2.0,1.0,459.6
3.0,4.0,10.6,3.0,4.0,48.6,2.0,4.0,49.3,2.0,3.0,95.1,2.0,3.0,1073.0,2.0,3.0,561.7
3.0,5.0,77.5,3.0,5.0,276.3,2.0,5.0,208.1,2.0,5.0,322.7,2.0,4.0,1134.0,2.0,4.0,491.2
3.0,6.0,32.7,3.0,6.0,112.0,2.0,6.0,105.3,2.0,6.0,109.5,2.0,6.0,1011.0,2.0,5.0,1838.0
4.0,2.0,18.7,4.0,1.0,46.4,4.0,1.0,44.1,3.0,1.0,67.7,3.0,1.0,1037.0,3.0,1.0,503.4
4.0,3.0,17.4,4.0,3.0,56.7,4.0,2.0,55.8,3.0,2.0,104.2,3.0,2.0,1263.0,3.0,2.0,615.9
4.0,5.0,130.7,4.0,5.0,280.2,4.0,5.0,211.7,3.0,5.0,306.4,3.0,4.0,1178.0,3.0,4.0,401.7
4.0,6.0,45.6,4.0,6.0,84.2,4.0,6.0,60.8,3.0,6.0,98.7,3.0,6.0,1263.0,3.0,5.0,1516.0
5.0,2.0,262.6,5.0,1.0,459.6,5.0,1.0,525.2,5.0,1.0,380.3,4.0,1.0,793.0,4.0,1.0,459.6
5.0,3.0,311.9,5.0,3.0,674.1,5.0,2.0,681.6,5.0,2.0,493.2,4.0,2.0,963.0,4.0,2.0,468.4
5.0,4.0,354.7,5.0,4.0,697.3,5.0,4.0,509.8,5.0,3.0,589.0,4.0,3.0,1134.0,4.0,3.0,459.6
5.0,6.0,312.7,5.0,6.0,735.3,5.0,6.0,580.5,5.0,6.0,346.6,4.0,6.0,860.5,4.0,5.0,1103.0
6.0,2.0,127.4,6.0,1.0,183.5,6.0,1.0,186.9,6.0,1.0,140.6,6.0,1.0,1002.0,5.0,1.0,1617.0
6.0,3.0,134.8,6.0,3.0,213.6,6.0,2.0,263.7,6.0,2.0,157.9,6.0,2.0,1083.0,5.0,2.0,1733.0
6.0,4.0,142.0,6.0,4.0,178.4,6.0,4.0,164.8,6.0,3.0,149.2,6.0,3.0,1263.0,5.0,3.0,1733.0
6.0,5.0,438.0,6.0,5.0,842.6,6.0,5.0,569.6,6.0,5.0,351.7,6.0,4.0,1238.0,5.0,4.0,1516.0
