1,寺田 千恵,寺田 千恵.1,2,仁科　さやか,仁科　さやか.1,3,真子　奈津実,真子　奈津実.1,4,犬童 千秋,犬童 千秋.1,5,堀之内紀代子,堀之内紀代子.1,6,松本 怜,松本 怜.1
2.0,3.0,21.2,1.0,3.0,173.3,1.0,2.0,157.2,1.0,2.0,312.7,1.0,2.0,37.8,1.0,2.0,989.9
2.0,4.0,30.3,1.0,4.0,221.3,1.0,4.0,113.7,1.0,3.0,218.8,1.0,3.0,20.7,1.0,3.0,1208.0
2.0,5.0,15.9,1.0,5.0,131.7,1.0,5.0,51.4,1.0,5.0,100.1,1.0,4.0,31.2,1.0,4.0,1390.0
2.0,6.0,82.7,1.0,6.0,366.4,1.0,6.0,292.1,1.0,6.0,355.2,1.0,6.0,32.1,1.0,5.0,458.4
3.0,2.0,21.0,3.0,1.0,401.2,2.0,1.0,325.8,2.0,1.0,589.3,2.0,1.0,125.1,2.0,1.0,1414.0
3.0,4.0,17.9,3.0,4.0,1031.0,2.0,4.0,773.2,2.0,3.0,954.9,2.0,3.0,271.9,2.0,3.0,2774.0
3.0,5.0,8.3,3.0,5.0,806.0,2.0,5.0,545.0,2.0,5.0,793.2,2.0,4.0,379.3,2.0,4.0,2798.0
3.0,6.0,58.6,3.0,6.0,1644.0,2.0,6.0,1355.0,2.0,6.0,1270.0,2.0,6.0,273.2,2.0,5.0,1863.0
4.0,2.0,40.3,4.0,1.0,540.5,4.0,1.0,226.3,3.0,1.0,344.4,3.0,1.0,52.9,3.0,1.0,1800.0
4.0,3.0,27.2,4.0,3.0,1158.0,4.0,2.0,695.8,3.0,2.0,1061.0,3.0,2.0,211.5,3.0,2.0,2925.0
4.0,5.0,16.9,4.0,5.0,901.6,4.0,5.0,260.8,3.0,5.0,464.4,3.0,4.0,154.1,3.0,4.0,2739.0
4.0,6.0,90.3,4.0,6.0,1363.0,4.0,6.0,838.4,3.0,6.0,1252.0,3.0,6.0,177.3,3.0,5.0,1800.0
5.0,2.0,14.1,5.0,1.0,238.9,5.0,1.0,80.6,5.0,1.0,110.0,4.0,1.0,79.5,4.0,1.0,2260.0
5.0,3.0,7.3,5.0,3.0,581.8,5.0,2.0,348.5,5.0,2.0,466.7,4.0,2.0,333.4,4.0,2.0,2739.0
5.0,4.0,11.2,5.0,4.0,677.6,5.0,4.0,230.2,5.0,3.0,323.5,4.0,3.0,194.3,4.0,3.0,2992.0
5.0,6.0,21.6,5.0,6.0,866.5,5.0,6.0,403.0,5.0,6.0,319.4,4.0,6.0,215.4,4.0,5.0,1958.0
6.0,2.0,201.2,6.0,1.0,915.6,6.0,1.0,979.4,6.0,1.0,745.6,6.0,1.0,71.5,5.0,1.0,435.9
6.0,3.0,163.0,6.0,3.0,1761.0,6.0,2.0,1565.0,6.0,2.0,1439.0,6.0,2.0,188.0,5.0,2.0,1215.0
6.0,4.0,217.0,6.0,4.0,1423.0,6.0,4.0,1815.0,6.0,3.0,1723.0,6.0,3.0,157.2,5.0,3.0,1192.0
6.0,5.0,100.0,6.0,5.0,1674.0,6.0,5.0,1052.0,6.0,5.0,791.2,6.0,4.0,215.7,5.0,4.0,1243.0
