1,野相 弘司,野相 弘司.1,2,石丸 小槙,石丸 小槙.1,3,森 智也,森 智也.1,4,西丸　侑太朗,西丸　侑太朗.1,5,小川　日紀太,小川　日紀太.1,6,高濱 芳久,高濱 芳久.1
2.0,3.0,38.3,1.0,3.0,57.7,1.0,2.0,60.8,1.0,2.0,95.4,1.0,2.0,782.6,1.0,2.0,85.9
2.0,4.0,46.9,1.0,4.0,71.3,1.0,4.0,27.7,1.0,3.0,59.2,1.0,3.0,332.8,1.0,3.0,39.9
2.0,5.0,146.3,1.0,5.0,159.0,1.0,5.0,53.3,1.0,5.0,89.6,1.0,4.0,405.1,1.0,4.0,78.3
2.0,6.0,59.7,1.0,6.0,97.9,1.0,6.0,51.2,1.0,6.0,75.9,1.0,6.0,467.7,1.0,5.0,183.7
3.0,2.0,34.7,3.0,1.0,56.7,2.0,1.0,64.2,2.0,1.0,120.2,2.0,1.0,782.6,2.0,1.0,141.3
3.0,4.0,19.5,3.0,4.0,40.4,2.0,4.0,46.8,2.0,3.0,101.1,2.0,3.0,662.9,2.0,3.0,121.4
3.0,5.0,54.6,3.0,5.0,85.6,2.0,5.0,91.6,2.0,5.0,154.8,2.0,4.0,660.2,2.0,4.0,166.0
3.0,6.0,33.2,3.0,6.0,72.9,2.0,6.0,76.8,2.0,6.0,149.5,2.0,6.0,871.9,2.0,5.0,490.6
4.0,2.0,73.5,4.0,1.0,78.9,4.0,1.0,30.2,3.0,1.0,66.6,3.0,1.0,345.7,3.0,1.0,69.0
4.0,3.0,39.5,4.0,3.0,54.2,4.0,2.0,57.7,3.0,2.0,97.0,3.0,2.0,614.7,3.0,2.0,131.2
4.0,5.0,86.4,4.0,5.0,105.0,4.0,5.0,32.9,3.0,5.0,59.1,3.0,4.0,229.2,3.0,4.0,72.2
4.0,6.0,71.0,4.0,6.0,102.3,4.0,6.0,42.6,3.0,6.0,73.7,3.0,6.0,370.5,3.0,5.0,146.6
5.0,2.0,253.8,5.0,1.0,383.8,5.0,1.0,73.6,5.0,1.0,96.3,4.0,1.0,342.0,4.0,1.0,148.2
5.0,3.0,135.8,5.0,3.0,263.0,5.0,2.0,144.2,5.0,2.0,138.0,4.0,2.0,486.1,4.0,2.0,195.4
5.0,4.0,158.3,5.0,4.0,250.6,5.0,4.0,55.5,5.0,3.0,85.8,4.0,3.0,219.7,4.0,3.0,90.5
5.0,6.0,230.1,5.0,6.0,459.7,5.0,6.0,108.8,5.0,6.0,111.4,4.0,6.0,411.3,4.0,5.0,274.7
6.0,2.0,46.6,6.0,1.0,162.0,6.0,1.0,80.2,6.0,1.0,110.5,6.0,1.0,619.4,5.0,1.0,483.2
6.0,3.0,29.1,6.0,3.0,103.0,6.0,2.0,118.2,6.0,2.0,160.2,6.0,2.0,906.4,5.0,2.0,881.5
6.0,4.0,57.6,6.0,4.0,164.8,6.0,4.0,54.6,6.0,3.0,86.1,6.0,3.0,412.4,5.0,3.0,299.8
6.0,5.0,122.6,6.0,5.0,372.2,6.0,5.0,104.1,6.0,5.0,162.3,6.0,4.0,603.1,5.0,4.0,481.8
