1,山口 隆史,山口 隆史.1,2,白水 勝也,白水 勝也.1,3,柘植 政浩,柘植 政浩.1,4,間野 兼礼,間野 兼礼.1,5,柴田 朋哉,柴田 朋哉.1,6,深山 祐二,深山 祐二.1
2.0,3.0,8.1,1.0,3.0,10.9,1.0,2.0,34.2,1.0,2.0,107.9,1.0,2.0,152.7,1.0,2.0,1277.0
2.0,4.0,16.5,1.0,4.0,23.9,1.0,4.0,59.5,1.0,3.0,158.2,1.0,3.0,185.0,1.0,3.0,1831.0
2.0,5.0,16.6,1.0,5.0,20.2,1.0,5.0,49.9,1.0,5.0,237.0,1.0,4.0,370.8,1.0,4.0,2554.0
2.0,6.0,97.8,1.0,6.0,108.9,1.0,6.0,203.0,1.0,6.0,542.9,1.0,6.0,477.2,1.0,5.0,2706.0
3.0,2.0,11.7,3.0,1.0,21.1,2.0,1.0,40.2,2.0,1.0,122.1,2.0,1.0,169.6,2.0,1.0,1405.0
3.0,4.0,22.3,3.0,4.0,40.5,2.0,4.0,51.4,2.0,3.0,105.4,2.0,3.0,161.9,2.0,3.0,1200.0
3.0,5.0,18.8,3.0,5.0,33.1,2.0,5.0,49.5,2.0,5.0,146.1,2.0,4.0,299.7,2.0,4.0,1373.0
3.0,6.0,104.4,3.0,6.0,151.7,2.0,6.0,204.9,2.0,6.0,477.2,2.0,6.0,509.3,2.0,5.0,2518.0
4.0,2.0,36.4,4.0,1.0,76.2,4.0,1.0,116.2,3.0,1.0,234.2,3.0,1.0,234.2,3.0,1.0,2014.0
4.0,3.0,48.2,4.0,3.0,64.6,4.0,2.0,80.9,3.0,2.0,138.8,3.0,2.0,189.4,3.0,2.0,1242.0
4.0,5.0,74.0,4.0,5.0,112.8,4.0,5.0,102.5,3.0,5.0,188.5,3.0,4.0,212.0,3.0,4.0,1576.0
4.0,6.0,238.6,4.0,6.0,358.3,4.0,6.0,483.5,3.0,6.0,813.1,3.0,6.0,618.8,3.0,5.0,1949.0
5.0,2.0,45.7,5.0,1.0,80.2,5.0,1.0,104.5,5.0,1.0,223.3,4.0,1.0,438.0,4.0,1.0,3181.0
5.0,3.0,56.0,5.0,3.0,68.5,5.0,2.0,83.4,5.0,2.0,181.7,4.0,2.0,349.3,4.0,2.0,1549.0
5.0,4.0,116.6,5.0,4.0,142.0,5.0,4.0,95.2,5.0,3.0,224.7,4.0,3.0,424.6,4.0,3.0,2833.0
5.0,6.0,273.5,5.0,6.0,322.6,5.0,6.0,400.3,5.0,6.0,404.7,4.0,6.0,638.5,4.0,5.0,2789.0
6.0,2.0,417.8,6.0,1.0,492.7,6.0,1.0,740.1,6.0,1.0,996.3,6.0,1.0,1133.0,5.0,1.0,3297.0
6.0,3.0,538.0,6.0,3.0,482.2,6.0,2.0,533.3,6.0,2.0,805.9,6.0,2.0,1225.0,5.0,2.0,2878.0
6.0,4.0,457.9,6.0,4.0,586.8,6.0,4.0,384.1,6.0,3.0,1314.0,6.0,3.0,1314.0,5.0,3.0,2184.0
6.0,5.0,439.0,6.0,5.0,631.8,6.0,5.0,863.5,6.0,5.0,996.3,6.0,4.0,1066.0,5.0,4.0,3238.0
