1,古川 誠之,古川 誠之.1,2,白井 友晴,白井 友晴.1,3,泉 具巳,泉 具巳.1,4,鳥飼 眞,鳥飼 眞.1,5,岡部 大輔,岡部 大輔.1,6,百武 翔,百武 翔.1
2.0,3.0,7.9,1.0,3.0,100.5,1.0,2.0,77.2,1.0,2.0,92.7,1.0,2.0,232.1,1.0,2.0,917.2
2.0,4.0,10.1,1.0,4.0,108.4,1.0,4.0,57.5,1.0,3.0,95.3,1.0,3.0,174.0,1.0,3.0,790.8
2.0,5.0,21.0,1.0,5.0,157.6,1.0,5.0,56.7,1.0,5.0,73.5,1.0,4.0,200.4,1.0,4.0,1025.0
2.0,6.0,41.7,1.0,6.0,255.3,1.0,6.0,109.4,1.0,6.0,96.0,1.0,6.0,226.0,1.0,5.0,830.6
3.0,2.0,8.3,3.0,1.0,230.8,2.0,1.0,192.6,2.0,1.0,260.1,2.0,1.0,509.4,2.0,1.0,1475.0
3.0,4.0,8.3,3.0,4.0,498.8,2.0,4.0,331.8,2.0,3.0,528.3,2.0,3.0,868.9,2.0,3.0,2423.0
3.0,5.0,12.7,3.0,5.0,592.9,2.0,5.0,382.5,2.0,5.0,436.6,2.0,4.0,877.5,2.0,4.0,2358.0
3.0,6.0,25.8,3.0,6.0,846.6,2.0,6.0,615.0,2.0,6.0,468.3,2.0,6.0,868.9,2.0,5.0,2192.0
4.0,2.0,12.7,4.0,1.0,344.6,4.0,1.0,134.0,3.0,1.0,188.9,3.0,1.0,287.4,3.0,1.0,1029.0
4.0,3.0,14.3,4.0,3.0,788.5,4.0,2.0,295.3,3.0,2.0,435.9,3.0,2.0,889.4,3.0,2.0,2780.0
4.0,5.0,21.9,4.0,5.0,889.4,4.0,5.0,203.8,3.0,5.0,321.3,3.0,4.0,792.0,3.0,4.0,2016.0
4.0,6.0,32.4,4.0,6.0,978.3,4.0,6.0,282.8,3.0,6.0,341.7,3.0,6.0,733.7,3.0,5.0,1709.0
5.0,2.0,38.6,5.0,1.0,536.9,5.0,1.0,170.6,5.0,1.0,117.5,4.0,1.0,316.1,4.0,1.0,1266.0
5.0,3.0,33.2,5.0,3.0,866.0,5.0,2.0,457.8,5.0,2.0,250.6,4.0,2.0,527.7,4.0,2.0,2174.0
5.0,4.0,47.4,5.0,4.0,1116.0,5.0,4.0,331.6,5.0,3.0,298.6,4.0,3.0,628.9,4.0,3.0,2008.0
5.0,6.0,52.2,5.0,6.0,1131.0,5.0,6.0,331.6,5.0,6.0,146.2,4.0,6.0,327.3,4.0,5.0,1257.0
6.0,2.0,132.3,6.0,1.0,1050.0,6.0,1.0,469.6,6.0,1.0,245.4,6.0,1.0,465.8,5.0,1.0,964.0
6.0,3.0,112.5,6.0,3.0,1873.0,6.0,2.0,1073.0,6.0,2.0,529.3,6.0,2.0,998.6,5.0,2.0,2317.0
6.0,4.0,120.0,6.0,4.0,1860.0,6.0,4.0,764.5,6.0,3.0,579.9,6.0,3.0,786.1,5.0,3.0,1693.0
6.0,5.0,115.7,6.0,5.0,1761.0,6.0,5.0,627.4,6.0,5.0,284.3,6.0,4.0,628.1,5.0,4.0,1347.0
