1,中北 涼,中北 涼.1,2,林 恵祐,林 恵祐.1,3,中村 守成,中村 守成.1,4,菊池 宏志,菊池 宏志.1,5,西村 秀樹,西村 秀樹.1,6,増本 杏珠,増本 杏珠.1
2.0,3.0,14.0,1.0,3.0,29.8,1.0,2.0,76.5,1.0,2.0,16.7,1.0,2.0,208.7,1.0,2.0,1141.0
2.0,4.0,12.1,1.0,4.0,22.7,1.0,4.0,63.9,1.0,3.0,27.7,1.0,3.0,288.0,1.0,3.0,2491.0
2.0,5.0,49.1,1.0,5.0,71.9,1.0,5.0,121.8,1.0,5.0,22.0,1.0,4.0,153.9,1.0,4.0,1718.0
2.0,6.0,230.3,1.0,6.0,425.8,1.0,6.0,670.3,1.0,6.0,189.4,1.0,6.0,559.8,1.0,5.0,2020.0
3.0,2.0,27.0,3.0,1.0,63.1,2.0,1.0,90.6,2.0,1.0,24.4,2.0,1.0,255.9,2.0,1.0,1322.0
3.0,4.0,22.9,3.0,4.0,48.4,2.0,4.0,66.6,2.0,3.0,35.2,2.0,3.0,346.8,2.0,3.0,3321.0
3.0,5.0,55.4,3.0,5.0,111.2,2.0,5.0,141.8,2.0,5.0,34.3,2.0,4.0,192.8,2.0,4.0,1801.0
3.0,6.0,398.6,3.0,6.0,695.2,2.0,6.0,762.7,2.0,6.0,212.9,2.0,6.0,889.8,2.0,5.0,1941.0
4.0,2.0,15.2,4.0,1.0,33.2,4.0,1.0,74.4,3.0,1.0,47.0,3.0,1.0,526.3,3.0,1.0,3559.0
4.0,3.0,23.4,4.0,3.0,40.7,4.0,2.0,72.2,3.0,2.0,52.7,3.0,2.0,461.3,3.0,2.0,3833.0
4.0,5.0,31.7,4.0,5.0,65.4,4.0,5.0,97.5,3.0,5.0,58.0,3.0,4.0,411.8,3.0,4.0,3050.0
4.0,6.0,210.2,4.0,6.0,443.5,4.0,6.0,679.4,3.0,6.0,428.3,3.0,6.0,2105.0,3.0,5.0,3476.0
5.0,2.0,98.6,5.0,1.0,190.1,5.0,1.0,243.4,5.0,1.0,21.6,4.0,1.0,119.9,4.0,1.0,1235.0
5.0,3.0,103.0,5.0,3.0,179.0,5.0,2.0,212.6,5.0,2.0,26.7,4.0,2.0,119.6,4.0,2.0,1660.0
5.0,4.0,73.7,5.0,4.0,133.7,5.0,4.0,191.4,5.0,3.0,44.7,4.0,3.0,219.5,4.0,3.0,2768.0
5.0,6.0,505.0,5.0,6.0,900.5,5.0,6.0,1149.0,5.0,6.0,104.6,4.0,6.0,398.6,4.0,5.0,1509.0
6.0,2.0,940.1,6.0,1.0,1557.0,6.0,1.0,1941.0,6.0,1.0,428.3,6.0,1.0,970.7,5.0,1.0,1941.0
6.0,3.0,1225.0,6.0,3.0,1993.0,6.0,2.0,2577.0,6.0,2.0,412.9,6.0,2.0,1465.0,5.0,2.0,2135.0
6.0,4.0,825.9,6.0,4.0,1679.0,6.0,4.0,1941.0,6.0,3.0,633.4,6.0,3.0,2264.0,5.0,3.0,3397.0
6.0,5.0,1235.0,6.0,5.0,1941.0,6.0,5.0,2450.0,6.0,5.0,308.8,6.0,4.0,830.4,5.0,4.0,1892.0
